axis	weighted_score	strong_disease_count	supportive_disease_count	weak_or_contradictory_count	supporting_diseases	strong_diseases
ifn_apc	21.799999999999994	12	14	0	MS;MS;RA;SLE_LN;Crohn;UC;psoriasis;Sjogren;AITD;T1D;MG;SpA_AS_PsA;Celiac;PBC	RA;SLE_LN;Crohn;UC;psoriasis;Sjogren;AITD;T1D;MG;SpA_AS_PsA;Celiac;PBC
lysosomal_apc	18.299999999999997	8	14	0	MS;MS;RA;SLE_LN;Crohn;UC;psoriasis;Sjogren;AITD;T1D;MG;SpA_AS_PsA;Celiac;PBC	MS;SLE_LN;Crohn;UC;psoriasis;SpA_AS_PsA;Celiac;PBC
hif_nampt_metabolic	11.899999999999999	3	11	3	MS;RA;SLE_LN;Crohn;UC;psoriasis;AITD;T1D;SpA_AS_PsA;Celiac;PBC	Crohn;UC;T1D
complement_phagocytosis	10.2	3	9	5	MS;RA;SLE_LN;Crohn;UC;psoriasis;MG;SpA_AS_PsA;PBC	RA;SLE_LN;MG
lipid_loader_repair	5.7	1	5	9	MS;MS;RA;SLE_LN;Crohn	MS
