kind	target	axis	n_genes	genes_present	mean_percent_change	median_percent_change	positive_fraction
state_predicted	IL-36-alpha	interferon_apc	0				
state_predicted	IL-36-alpha	metabolic_hif_nampt	0				
state_predicted	IL-36-alpha	inflammatory_cytokine	0				
state_predicted	IL-36-alpha	complement_phagocytosis	0				
state_predicted	IL-36-alpha	lipid_loader	0				
state_predicted	IL-4	lysosomal_antigen_processing	0				
state_predicted	IL-4	interferon_apc	0				
state_predicted	IL-4	metabolic_hif_nampt	0				
state_predicted	IL-4	inflammatory_cytokine	0				
state_predicted	IL-4	complement_phagocytosis	0				
state_predicted	IL-4	lipid_loader	0				
state_predicted	IL-6	lysosomal_antigen_processing	0				
state_predicted	IL-6	interferon_apc	0				
state_predicted	IL-6	metabolic_hif_nampt	0				
state_predicted	IL-6	inflammatory_cytokine	0				
state_predicted	IL-6	complement_phagocytosis	0				
state_predicted	IL-6	lipid_loader	0				
state_predicted	IL-7	lysosomal_antigen_processing	0				
state_predicted	IL-7	interferon_apc	0				
state_predicted	IL-7	metabolic_hif_nampt	0				
state_predicted	IL-7	inflammatory_cytokine	0				
state_predicted	IL-7	complement_phagocytosis	0				
state_predicted	IL-7	lipid_loader	0				
state_predicted	IL-8	lysosomal_antigen_processing	0				
state_predicted	IL-8	interferon_apc	0				
state_predicted	IL-8	metabolic_hif_nampt	0				
state_predicted	IL-8	inflammatory_cytokine	0				
state_predicted	IL-8	complement_phagocytosis	0				
state_predicted	IL-8	lipid_loader	0				
state_predicted	IL-9	lysosomal_antigen_processing	0				
state_predicted	IL-9	interferon_apc	0				
state_predicted	IL-9	metabolic_hif_nampt	0				
state_predicted	IL-9	inflammatory_cytokine	0				
state_predicted	IL-9	complement_phagocytosis	0				
state_predicted	IL-9	lipid_loader	0				
state_predicted	LIF	lysosomal_antigen_processing	0				
state_predicted	LIF	interferon_apc	0				
state_predicted	LIF	metabolic_hif_nampt	0				
state_predicted	LIF	inflammatory_cytokine	0				
state_predicted	LIF	complement_phagocytosis	0				
state_predicted	LIF	lipid_loader	0				
state_predicted	LIGHT	lysosomal_antigen_processing	0				
state_predicted	LIGHT	interferon_apc	0				
state_predicted	LIGHT	metabolic_hif_nampt	0				
state_predicted	LIGHT	inflammatory_cytokine	0				
state_predicted	LIGHT	complement_phagocytosis	0				
state_predicted	LIGHT	lipid_loader	0				
state_predicted	LT-alpha1-beta2	lysosomal_antigen_processing	0				
state_predicted	LT-alpha1-beta2	interferon_apc	0				
state_predicted	LT-alpha1-beta2	metabolic_hif_nampt	0				
state_predicted	LT-alpha1-beta2	inflammatory_cytokine	0				
state_predicted	LT-alpha1-beta2	complement_phagocytosis	0				
state_predicted	LT-alpha1-beta2	lipid_loader	0				
state_predicted	Leptin	lysosomal_antigen_processing	0				
state_predicted	Leptin	interferon_apc	0				
state_predicted	Leptin	metabolic_hif_nampt	0				
state_predicted	Leptin	inflammatory_cytokine	0				
state_predicted	Leptin	complement_phagocytosis	0				
state_predicted	Leptin	lipid_loader	0				
state_predicted	Noggin	lysosomal_antigen_processing	0				
state_predicted	Noggin	interferon_apc	0				
state_predicted	Noggin	metabolic_hif_nampt	0				
state_predicted	Noggin	inflammatory_cytokine	0				
state_predicted	Noggin	complement_phagocytosis	0				
state_predicted	Noggin	lipid_loader	0				
state_predicted	OSM	lysosomal_antigen_processing	0				
state_predicted	OSM	interferon_apc	0				
state_predicted	OSM	metabolic_hif_nampt	0				
state_predicted	OSM	inflammatory_cytokine	0				
state_predicted	OSM	complement_phagocytosis	0				
state_predicted	OSM	lipid_loader	0				
state_predicted	PRL	lysosomal_antigen_processing	0				
state_predicted	PRL	interferon_apc	0				
state_predicted	PRL	metabolic_hif_nampt	0				
state_predicted	PRL	inflammatory_cytokine	0				
state_predicted	PRL	complement_phagocytosis	0				
state_predicted	PRL	lipid_loader	0				
state_predicted	PSPN	lysosomal_antigen_processing	0				
state_predicted	PSPN	interferon_apc	0				
state_predicted	PSPN	metabolic_hif_nampt	0				
state_predicted	PSPN	inflammatory_cytokine	0				
state_predicted	PSPN	complement_phagocytosis	0				
state_predicted	PSPN	lipid_loader	0				
state_predicted	SCF	lysosomal_antigen_processing	0				
state_predicted	SCF	interferon_apc	0				
state_predicted	SCF	metabolic_hif_nampt	0				
state_predicted	SCF	inflammatory_cytokine	0				
state_predicted	SCF	complement_phagocytosis	0				
state_predicted	SCF	lipid_loader	0				
state_predicted	TGF-beta1	lysosomal_antigen_processing	0				
state_predicted	TGF-beta1	interferon_apc	0				
state_predicted	TGF-beta1	metabolic_hif_nampt	0				
state_predicted	TGF-beta1	inflammatory_cytokine	0				
state_predicted	TGF-beta1	complement_phagocytosis	0				
