gene	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	fdr
ARHGAP9	10.549288727676705	11.309458535034183	-0.7601698073574781	-2.3107365561690165	-5.52084000931335	2.5471695955456642e-05	0.4388518496165625
LINC01410	8.508208556800858	9.494320857825228	-0.9861123010243702	-2.156988730007425	-5.1180415671953225	6.835779021072147e-05	0.5888681837702601
BCAR3	9.9528776446729	9.061387662475243	0.8914899821976583	2.0285568858917826	4.842161361983456	0.00011494502652174607	0.6601292873143876
SLC12A9	10.266982783729336	11.16538146843712	-0.8983986847077841	-1.877704761476197	-4.510515274502069	0.0002408338464118046	0.7061565610737713
RHBDF2	12.900536160409747	13.458636170292847	-0.5581000098831002	-1.884013631548376	-4.504580599906272	0.00024364050549754795	0.7061565610737713
ABCC3	8.49868216013768	6.418599858718229	2.0800823014194503	1.9368816754436624	4.567670318685381	0.0002625963831746537	0.7061565610737713
PDHX	7.883668396277	7.3730259385766885	0.5106424577003112	1.8395424160925817	4.382956004166366	0.00032843138178011356	0.7061565610737713
STAB1	13.509984996688507	14.280523039168264	-0.7705380424797568	-1.8406490907930226	-4.363221512693483	0.0003673247084598273	0.7061565610737713
MRC1	8.439797304708069	10.129554625138129	-1.6897573204300596	-1.7696842520694158	-4.2573674994031165	0.0004313855553958208	0.7061565610737713
LOC727751	1.342639944279906	5.31310150965836	-3.9704615653784536	-1.7994441044535243	-4.275180067098945	0.0004324088776034036	0.7061565610737713
IGLL5	7.38120233928326	1.29422404425271	6.08697829503055	1.8975456393036527	4.436476450986827	0.00045085159741200794	0.7061565610737713
SMO	5.568128636912815	7.271021381877705	-1.70289274496489	-1.9865405147554587	-4.596306954963174	0.0005014422605521142	0.7144250374746858
NR3C1	11.667215877543446	11.081582910648809	0.5856329668946376	1.725959305320591	4.206253539532008	0.0005969471314259997	0.7144250374746858
JCHAIN	5.91517810675573	0.20361725317431406	5.711560853581416	2.2293252634185783	5.062833869557533	0.0006165121687809337	0.7144250374746858
LPL	11.66635803040474	9.906759583788999	1.7595984466157422	1.873091309632819	4.358772893758869	0.0006219963760009453	0.7144250374746858
HRH2	6.45213132192473	7.479706572071365	-1.0275752501466346	-1.6993301133878498	-4.14622247656402	0.0007000193908166655	0.7168919016752815
LRRC8B	9.551830069636585	8.6623310706932	0.8894989989433846	1.709316128892254	4.0590742198496645	0.0007073633019025936	0.7168919016752815
SPATA6	7.466240252293517	8.51024310363313	-1.044002851339613	-1.6561990388390377	-3.982168150042039	0.0008046509843549219	0.7701851005250526
EEPD1	8.885407742706878	7.441552123008878	1.4438556196979997	1.7933835301569698	4.161484823550258	0.0010084872648170526	0.8088937516149148
NAP1L1	13.638563026270267	12.896842611467093	0.741720414803174	1.7895103200866482	4.154030053987026	0.0010101333701302436	0.8088937516149148
ATAT1	6.586338738549384	7.397845253843908	-0.811506515294524	-1.8238768521286763	-4.214416425277491	0.0010634293339002998	0.8088937516149148
ABCC10	9.24624249977104	9.742868967727647	-0.4966264679566077	-1.61117298574103	-3.844795898780603	0.0011031779445370442	0.8088937516149148
CCDC6	9.840415526156207	9.20660942389157	0.6338061022646375	1.6620648690178839	3.9143214477263406	0.0011142088407190597	0.8088937516149148
RAD54L	1.2948417429318806	4.922942597280427	-3.6281008543485465	-1.6054873831847063	-3.834053985428177	0.0011267891368482185	0.8088937516149148
FAM106B	1.3324160986151365	4.603746854772934	-3.2713307561577976	-1.5983657018401463	-3.7957343623842372	0.0012792928255588897	0.8344760564031432
LINC00638	1.308377000936368	4.542434253970753	-3.234057253034385	-1.619472058596658	-3.810463187685015	0.0014207706234936834	0.8344760564031432
UBR7	9.261250795812611	8.543969817118578	0.7172809786940331	1.6860507458717886	3.921210506339878	0.0015006323041073936	0.8344760564031432
VIPAS39	8.83619065068455	8.169477026462408	0.6667136242221421	1.5450035522999928	3.7559018260800814	0.001511987996163973	0.8344760564031432
ALDH2	11.861286403575907	11.373198356321986	0.4880880472539211	1.5291177728831937	3.673140222030866	0.001621442086209084	0.8344760564031432
ADAMTS2	1.2909788961933946	5.518080310679962	-4.227101414486567	-1.5538008663745821	-3.6844902471996064	0.0016678330756400473	0.8344760564031432
TRMT1	9.984730185578107	10.619510157646998	-0.6347799720688911	-1.5944525259648155	-3.744877786503159	0.001694296233845309	0.8344760564031432
RRAGD	9.437573924512908	8.168117704997279	1.2694562195156287	1.500455400866826	3.606673319810863	0.0018898524643652737	0.8344760564031432
TNFSF8	9.301068499139063	8.497141793467936	0.8039267056711275	1.4979919831605408	3.615286446141526	0.0018950422996060043	0.8344760564031432
CD9	11.760812351042658	10.650782753690923	1.1100295973517351	1.5008958517704267	3.5876300725249526	0.001968630590698875	0.8344760564031432
PAK6	1.6605084274749207	4.7920524998122325	-3.131544072337312	-1.4979571672809653	-3.5773239105827357	0.0020205938258670672	0.8344760564031432
LGALS1	10.982592256106305	9.96921103116567	1.013381224940634	1.540425888122349	3.631768087598907	0.0020231848864174233	0.8344760564031432
VSIG4	11.818722476809498	12.87028962093613	-1.0515671441266328	-1.515830262996964	-3.5943835946298353	0.0020407308358746964	0.8344760564031432
MPO	1.2727965329308475	4.254552411800115	-2.9817558788692677	-1.531010728355848	-3.608596650115335	0.002137030150259274	0.8344760564031432
PABPN1	8.187233512056917	8.919389274852715	-0.7321557627957986	-1.490483735407394	-3.5475288715703575	0.002197665227642094	0.8344760564031432
PPARG	8.767852834259473	7.4292386534930435	1.33861418076643	1.4721350014716328	3.5138994228581533	0.0023372069061631277	0.8344760564031432
TMEM63C	5.663378446455274	7.304797406711279	-1.6414189602560043	-1.513008722438491	-3.5613246048529876	0.002419303234514789	0.8344760564031432
RGCC	11.453828158997169	10.531875595973817	0.9219525630233516	1.5044943433337354	3.541712328958341	0.0025194175613479893	0.8344760564031432
