query_name	mode	pert_id	cmap_name	target	moa	best_rank	min_qval	max_abs_combined_score	n_signatures
gse111972_ms_wm_full_top150	opposite	BRD-K94353609	fluocinolone			1	0.566910809286373	7.492613130981653	1
gse111972_ms_wm_full_top150	opposite	BRD-K88378636	withaferin-a	NAMPT	IKK inhibitor	2	0.596745389998244	6.217142808229098	1
gse111972_ms_wm_full_top150	opposite	BRD-A79803969	memantine	GRIN1	Glutamate receptor antagonist	3	0.566910809286373	7.187086554972128	1
gse111972_ms_wm_full_top150	opposite	BRD-K11742128	triprolidine	HRH1	Histamine receptor antagonist	4	0.805603902146875	5.276130949829359	1
gse111972_ms_wm_full_top150	opposite	BRD-K89329876	BRD-K89329876	KIF11	Kinesin inhibitor	5	0.74950198399974	5.727363806201572	1
gse111972_ms_wm_full_top150	opposite	BRD-K06426971	ryuvidine	CDK4	Histone lysine methyltransferase inhibitor	6	0.768581834015827	5.252295932848271	1
gse111972_ms_wm_full_top150	opposite	BRD-K81142122	STK-249718			7	0.844712216679552	4.684185153620095	3
gse111972_ms_wm_full_top150	opposite	BRD-K43637719	KU-C104141			8	0.879621510318152	4.703804360071263	1
gse111972_ms_wm_full_top150	opposite	BRD-A06352508	SB-218078	CHEK1	CHK inhibitor	9	0.869167133307089	4.890005052864237	1
gse111972_ms_wm_full_top150	opposite	BRD-K44779798	miglitol	GAA	Glucosidase inhibitor	10	0.885415802724685	4.595228987965119	1
gse111972_ms_wm_full_top150	opposite	BRD-A01346607	flumetasone	NR3C1	Glucocorticoid receptor agonist	11	0.805603902146875	5.690286336193343	1
gse111972_ms_wm_full_top150	opposite	BRD-A47513740	calyculin	PPP1CA	Protein phosphatase inhibitor	12	0.800757396434433	5.864511375214246	1
gse111972_ms_wm_full_top150	opposite	BRD-K30697463	BRD-K30697463			13	0.805603902146875	5.146876653537675	1
gse111972_ms_wm_full_top150	opposite	BRD-K14791739	fluticasone	NR3C1	Glucocorticoid receptor agonist	14	0.988109102987716	4.295545639855284	1
gse111972_ms_wm_full_top150	opposite	BRD-K38775274	dexamethasone	NR3C1	Glucocorticoid receptor agonist	15	0.879621510318152	4.628704135749876	1
gse111972_ms_wm_full_top150	opposite	BRD-K60230970	MG-132	PSMB1	Proteasome inhibitor	16	0.843182058232008	5.206287510626712	1
gse111972_ms_wm_full_top150	opposite	BRD-K56287385	ST-001903			17	1.0	3.4813378860617656	1
gse111972_ms_wm_full_top150	opposite	BRD-K88429204	pyrimethamine			18	1.0	3.875496799881182	1
gse111972_ms_wm_full_top150	opposite	BRD-A41451487	PK-11195	TSPO	Benzodiazepine receptor antagonist	20	1.0	3.8094366876773122	2
gse111972_ms_wm_full_top150	opposite	BRD-K32398298	alprazolam	GABRA1	Benzodiazepine receptor agonist	21	1.0	4.049253381662196	1
gse111972_ms_wm_full_top150	opposite	BRD-K05979026	BRD-K05979026			22	1.0	3.6878730755483815	1
gse111972_ms_wm_full_top150	opposite	BRD-K83643280	BG-FA-0953			23	1.0	4.250938051917775	1
gse111972_ms_wm_full_top150	opposite	BRD-K72381041	BRD-K72381041			24	1.0	3.947999512621361	1
gse111972_ms_wm_full_top150	opposite	BRD-A77216878	manumycin-a	FNTA	NFKB pathway inhibitor	25	0.909831846556634	4.887911434391583	1
gse111972_ms_wm_full_top150	opposite	BRD-A35108200	dexamethasone	NR3C1	Glucocorticoid receptor agonist	26	1.0	3.5997912158887857	1
gse111972_ms_wm_full_top150	opposite	BRD-A14985772	L-ascorbyl-6-palmitate			27	1.0	3.4951130708215055	1
