check	status	detail	score_values_read
handoff_manifest_exists	PASS	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
receipt_handoff_exists	PASS	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
commands_present	PASS	26 handoff commands	false
receipt_examples_present	PASS	8 receipt branch examples	false
readme_exists	PASS	analysis/v46_returned_package_quickstart_readme/RETURNED_PACKAGE_QUICKSTART.md	false
boundary_text_present	PASS	analysis/v46_returned_package_quickstart_readme/RETURNED_PACKAGE_QUICKSTART.md	false
no_score_values_read	PASS	all rows	false
referenced_scripts_exist	PASS	all referenced scripts exist	false
no_forbidden_result_language	PASS	none	false
readme_mentions_v46_returned_package_regression_suite	PASS	scripts/v46_returned_package_regression_suite.py	false
readme_mentions_v46_operator_smoke_test_bundle	PASS	scripts/v46_operator_smoke_test_bundle.py	false
readme_mentions_v46_returned_package_handoff_bundle_manifest	PASS	scripts/v46_returned_package_handoff_bundle_manifest.py	false
readme_mentions_v46_returned_package_command_order_planner	PASS	scripts/v46_returned_package_command_order_planner.py	false
