donor	gene	active_edge_log2_cpm1	inactive_edge_log2_cpm1	delta_active_minus_inactive	active_edge_n_immune	inactive_edge_n_immune
09_034	ABHD6	5.358351701470579	5.556505641650241	-0.1981539401796617	312	290
09_034	APOE	9.435863631037726	8.705303651116012	0.7305599799217148	312	290
09_034	C1QA	6.311876465275259	6.848434740463114	-0.536558275187855	312	290
09_034	CTSD	0.0	0.0	0.0	312	290
09_034	GPNMB	8.726695207308616	6.390813415229044	2.3358817920795723	312	290
09_034	LIPA	7.68591487381429	7.022089926252414	0.663824947561876	312	290
09_034	LPL	7.519665044189404	6.292505280377336	1.2271597638120681	312	290
09_034	MGLL	7.047391851633715	6.292505280377336	0.754886571256379	312	290
09_034	PLA2G7	7.243035666194966	6.452817374151728	0.7902182920432379	312	290
09_034	TREM2	6.820991394215529	6.5410961978927045	0.27989519632282445	312	290
12_078	ABHD6	5.164909437876272	3.1416215751754777	2.023287862700794	742	84
12_078	APOE	9.274553878667993	8.447989838561945	0.8265640401060477	742	84
12_078	C1QA	5.4084757135561246	6.077110845063128	-0.6686351315070036	742	84
12_078	CTSD	0.0	0.0	0.0	742	84
12_078	GPNMB	7.186702399253993	4.613264318641946	2.573438080612047	742	84
12_078	LIPA	5.309079373829917	3.671036531065643	1.638042842764274	742	84
12_078	LPL	5.486375549917183	4.361970915868205	1.124404634048978	742	84
12_078	MGLL	4.204573587349491	2.296480129446115	1.9080934579033757	742	84
12_078	PLA2G7	6.273294128741053	5.460688546343058	0.8126055823979952	742	84
12_078	TREM2	3.9643823157733022	3.671036531065643	0.29334578470765926	742	84
13_047	ABHD6	5.04574066984112	4.805768931044031	0.239971738797089	1807	128
13_047	APOE	10.507000750526057	9.682354387267317	0.82464636325874	1807	128
13_047	C1QA	7.8965399606467415	7.3808347348159185	0.515705225830823	1807	128
13_047	CTSD	0.0	0.0	0.0	1807	128
13_047	GPNMB	8.786229664208749	8.473514243874499	0.3127154203342499	1807	128
13_047	LIPA	7.618503672637073	7.859005929146704	-0.24050225650963153	1807	128
13_047	LPL	7.146485589162836	7.12617712960768	0.0203084595551557	1807	128
13_047	MGLL	5.5105472346007165	5.674848268477104	-0.16430103387638795	1807	128
13_047	PLA2G7	7.273776141318294	7.625636864278754	-0.35186072296046067	1807	128
13_047	TREM2	7.27138520758796	6.660658378296494	0.6107268292914654	1807	128
