feature	n_samples	n_donors	n_foamy	n_non_foamy	mean_foamy	mean_non_foamy	raw_mean_delta	gee_coef_foamy	gee_se	gee_p	model_status	modality	fdr_bh	adequate_reporting_coverage
ISCU	8	8	6	2	21.517496980474466	21.82710102288255	-0.30960404240808614	7.069297646022128	0.12616924723928008	0.0	ok	proteomics	0.0	False
SYT7	8	8	1	7	20.3098531612091	20.56266126342827	-0.25280810221916994	6.685681686329975	0.0303654770162478	0.0	ok	proteomics	0.0	False
SPTLC1	7	7	6	1	19.889238083363683	17.5124511736825	2.376786909681183	2.347034353097	0.24025959588817394	1.5334204291784617e-22	ok	proteomics	1.625936795072229e-19	False
MTMR6	12	8	7	5	19.316849174233045	18.619283793120218	0.6975653811128275	0.9099349904211478	0.0956584263310198	1.8643017215574737e-21	ok	proteomics	1.4825859440685808e-18	False
PLP1	32	20	17	15	30.08912168779351	30.501040276515294	-0.41191858872178244	-1.0613470071951892	0.12667313973268512	5.354861550741367e-17	ok	proteomics	3.4067629185816575e-14	True
ARL6IP5	32	20	17	15	22.654682991787443	22.355666020852777	0.29901697093466595	0.32867069775853214	0.04564976291639346	6.028607703103191e-13	ok	proteomics	3.196166850595208e-10	True
SNX5	32	20	17	15	22.20531367237956	21.96992486866194	0.23538880371761906	0.2588404108017618	0.03633784533345262	1.0547762821149988e-12	ok	proteomics	4.793204790582587e-10	True
STX7	32	20	17	15	23.331192620422947	22.953531392944726	0.37766122747822095	0.37716200093941316	0.05410998378329499	3.16299867969139e-12	ok	proteomics	1.257687350012289e-09	True
EFHD1	30	20	15	15	21.983157630120655	21.2256216403776	0.7575359897430545	0.748854534039367	0.11074449620929823	1.3609757704396773e-11	ok	proteomics	4.810293250854015e-09	True
ITGB2	32	20	17	15	22.537023316635988	22.008653907103657	0.5283694095323312	0.5389538271795676	0.08205980171283583	5.105795660313278e-11	ok	proteomics	1.6241535995456537e-08	True
PLD2	32	20	17	15	19.961466970078177	20.429938478704024	-0.4684715086258464	-0.6477724447223788	0.09926757679159383	6.776652904987507e-11	ok	proteomics	1.959684808251387e-08	True
ASAH1	32	20	17	15	23.775976382500033	22.616537646777168	1.1594387357228655	1.1539482798038743	0.17995485099687333	1.4321613177288706e-10	ok	proteomics	3.652512093397224e-08	True
FERMT3	32	20	17	15	22.01646172812042	21.32103960514021	0.695422122980208	0.7050568113762259	0.110059883707351	1.492695919967429e-10	ok	proteomics	3.652512093397224e-08	True
HCN2	28	19	15	13	20.020182222206465	20.501319661908784	-0.48113743970231937	-0.9521862749563207	0.1501041018633596	2.2459418027152566e-10	ok	proteomics	4.7957008295196924e-08	True
MMGT1	32	20	17	15	19.2083478530906	18.904918494169262	0.3034293589213384	0.5467767569764073	0.08620909102756236	2.2614118969756486e-10	ok	proteomics	4.7957008295196924e-08	True
GPNMB	32	20	17	15	25.831375455824496	23.68541774430345	2.1459577115210458	2.1642275544802123	0.3449050566044707	3.4997113266664475e-10	ok	proteomics	6.95786358132873e-08	True
PRKCSH	32	20	17	15	23.77006343087753	23.60215636440194	0.16790706647559261	0.1990814122703901	0.03202200493300931	5.066885128558555e-10	ok	proteomics	9.481036231732213e-08	True
ARHGAP1	32	20	17	15	22.487894130477944	22.159446155197177	0.32844797528076697	0.3241355206470929	0.052613372796165896	7.242134407626475e-10	ok	proteomics	1.2798460861477678e-07	True
PTPRF	32	20	17	15	21.576172896838518	21.883703038839872	-0.30753014200135453	-0.2727381746935345	0.044766167011606454	1.111561557608701e-09	ok	proteomics	1.860988060396462e-07	True
YBX1	31	20	16	15	20.759636148236993	20.31556899345956	0.4440671547774322	0.4410391402554818	0.07318085058999707	1.6733967416564397e-09	ok	proteomics	2.6615375176045674e-07	True
GPX1	32	20	17	15	24.96405533563101	24.51573612113396	0.4483192144970509	0.4035645282044056	0.06778107761422222	2.617614105394271e-09	ok	proteomics	3.9650621282186555e-07	True
TMED10	32	20	17	15	21.73361941967224	21.525966676068734	0.20765274360350716	0.23790278838177079	0.0403691045009661	3.788112409326809e-09	ok	proteomics	5.477266170031172e-07	True
CA4	6	6	5	1	22.26742986662184	21.474111674719	0.7933181919028378	0.7933181919028396	0.1350882317479702	4.290311131047248e-09	ok	proteomics	5.933686829504911e-07	False
HEXB	32	20	17	15	21.938860794553417	21.458726869453336	0.48013392510008046	0.47567146901882207	0.08147995930906489	5.286436833292436e-09	ok	proteomics	6.902283208163153e-07	True
TBXAS1	32	20	17	15	20.153583298245074	19.608961220523433	0.5446220777216411	0.5572421200542303	0.0955229596487077	5.424617422322503e-09	ok	proteomics	6.902283208163153e-07	True
IFI30	32	20	17	15	20.49186490086434	19.354451601856844	1.1374132990074948	1.1168267050192042	0.19287896339364774	7.026158968130041e-09	ok	proteomics	8.596235260623716e-07	True
SOD3	29	19	14	15	21.59898004910161	22.107535663592877	-0.508555614491268	-0.5153796125821827	0.08957942056136674	8.750449039406924e-09	ok	proteomics	1.030932533124201e-06	True
ANP32A	32	20	17	15	22.66395948453342	22.264011849227597	0.3999476353058249	0.3805230868402532	0.06731053811425995	1.5744494381269303e-08	ok	proteomics	1.788687022386345e-06	True
GNB4	32	20	17	15	24.02176509155687	23.619022844352102	0.4027422472047668	0.39595845377372146	0.07088766782481191	2.327379246255363e-08	ok	proteomics	2.552894269771831e-06	True
TPP1	32	20	17	15	24.512527906628183	23.893629930612637	0.6188979760155462	0.617050167780905	0.11108262654005838	2.778095945975051e-08	ok	proteomics	2.899233760664353e-06	True
ARPC1B	32	20	17	15	24.5291203006112	24.113484230440744	0.4156360701704571	0.4069990381126173	0.07330773376693955	2.8254085690221612e-08	ok	proteomics	2.899233760664353e-06	True
FBP1	30	18	17	13	22.452880080642913	21.71234944953532	0.7405306311075925	0.7352981042191126	0.1334480681758847	3.588451779029779e-08	ok	proteomics	3.5671453465917894e-06	True
C1orf198	32	20	17	15	22.762954613084194	22.91578244667895	-0.15282783359475616	-0.2761271219528743	0.05029599321078154	4.018378700542269e-08	ok	proteomics	3.873473529219684e-06	True
FYN	32	20	17	15	21.949690287095912	21.49112871993564	0.4585615671602703	0.47733320271877633	0.08775953950826432	5.354939548068604e-08	ok	proteomics	4.8703072196576895e-06	True
CKB	32	20	17	15	29.65487787905856	30.149264390001704	-0.49438651094314423	-0.460664253852625	0.0846968453701171	5.358715897139866e-08	ok	proteomics	4.8703072196576895e-06	True
OTUD7B	32	20	17	15	21.32699224613346	21.106125007473224	0.2208672386602366	0.2522658153466873	0.04657601092902671	6.087297412801356e-08	ok	proteomics	5.319286115327527e-06	True
UGGT1	32	20	17	15	22.523994061038476	22.3260955928799	0.19789846815857715	0.19031376317372134	0.03515666059508866	6.187160838325008e-08	ok	proteomics	5.319286115327527e-06	True
LAMP1	32	20	17	15	22.283128581817802	21.916565597592673	0.3665629842251299	0.34435771880336713	0.06406772204933198	7.662440304509837e-08	ok	proteomics	6.370082719115206e-06	True
VAT1	32	20	17	15	26.63327306805219	26.171189466149713	0.4620836019024779	0.45732906118293154	0.08514045541155738	7.809909652483277e-08	ok	proteomics	6.370082719115206e-06	True
FKBP15	32	20	17	15	19.652781384794352	19.18682843582927	0.4659529489650822	0.4848939145836982	0.09047225214448254	8.341237643614405e-08	ok	proteomics	6.633369236084356e-06	True
IQGAP2	17	11	12	5	21.631523828227518	20.73941386826156	0.892109959965957	0.8718252554190068	0.16331712365373804	9.385553822441821e-08	ok	proteomics	7.28181627053352e-06	False
EML1	5	5	2	3	21.52595830587355	21.132305896258867	0.39365240961468473	0.4994462991762507	0.0939198510123671	1.0503362942607261e-07	ok	proteomics	7.95504702867469e-06	False
SNX3	32	20	17	15	23.0465211509005	22.84234666563939	0.2041744852611096	0.20662168703468303	0.039862728121915846	2.179585280221528e-07	ok	proteomics	1.612386227066205e-05	True
MAP2K2	32	20	17	15	23.482132562193087	23.328309634750347	0.1538229274427394	0.17422393287849738	0.03364613992751572	2.2412652652781895e-07	ok	proteomics	1.6203329111022547e-05	True
SAR1A	32	20	17	15	21.614330486419483	21.37528815701528	0.239042329404203	0.23245632765664023	0.045049900406794754	2.46983763884356e-07	ok	proteomics	1.7459007842580813e-05	True
PPP1R1B	32	20	17	15	23.502370764457307	24.160771990802154	-0.6584012263448464	-0.6628676517046165	0.12954331207179046	3.105031773418788e-07	ok	proteomics	2.1471969720098188e-05	True
RBM4	32	20	17	15	19.258567886038122	18.925735140305402	0.3328327457327198	0.3172786718817483	0.06224952526029307	3.452879273142356e-07	ok	proteomics	2.3369380782693265e-05	True
SUPT16H	10	8	7	3	20.7144426364526	20.0570437199513	0.6573989165013003	0.9639276719873678	0.18957572597626773	3.682896882143664e-07	ok	proteomics	2.4406864546039573e-05	False
CMTM5	32	20	17	15	22.052848210053327	22.223053217745196	-0.17020500769186953	-0.41393466453599076	0.08184491882408224	4.246799499850754e-07	ok	proteomics	2.756952899801071e-05	True
RANBP1	32	20	17	15	22.609409938847186	22.831083582407015	-0.22167364355982855	-0.21786125364660838	0.043446354822038805	5.31746880677353e-07	ok	proteomics	3.3829736548693196e-05	True
ACBD7	32	20	17	15	21.640918938142118	22.43360822103817	-0.7926892828960526	-0.5807525813044353	0.1185771043401011	9.697533437129507e-07	ok	proteomics	6.048598796766463e-05	True
UNC93B1	25	15	17	8	18.684292833250268	17.69698377665741	0.9873090565928564	0.9863091885045513	0.20158829216888943	9.946659409604927e-07	ok	proteomics	6.073731721051775e-05	True
FBP2	25	18	15	10	20.914818464368192	19.97648418383293	0.9383342805352619	0.9115891971885598	0.1864458864729385	1.011970390492751e-06	ok	proteomics	6.073731721051775e-05	True
MYL6	32	20	17	15	24.28385387983086	24.087422293824034	0.19643158600682753	0.19728899994714197	0.040522278803526844	1.1236030808949783e-06	ok	proteomics	6.618854445049863e-05	True
MYH9	32	20	17	15	24.642920935810967	24.388477365981636	0.2544435698293306	0.2604065074054699	0.0538043278452938	1.2991734308176438e-06	ok	proteomics	7.513946697147137e-05	True
PGLS	32	20	17	15	24.915310684338777	25.086239717643465	-0.170929033304688	-0.17433923323797496	0.03608526205357979	1.3563486681701047e-06	ok	proteomics	7.704544845444826e-05	True
CLCN6	31	20	17	14	19.22614463701018	18.895876670423096	0.33026796658708335	0.4098109582155348	0.08548189701530172	1.6338582011908042e-06	ok	proteomics	9.118075329803417e-05	True
EXOC7	32	20	17	15	20.70667724962105	20.524347263879964	0.1823299857410845	0.1862799094827731	0.038893307314159666	1.6718852772471503e-06	ok	proteomics	9.169425977453768e-05	True
DIAPH1	27	18	13	14	19.61929498515281	20.042987933817052	-0.4236929486642431	-0.4969275985604021	0.10403860212555686	1.7848153481985465e-06	ok	proteomics	9.622877326473859e-05	True
PARP4	16	12	14	2	19.745905102874843	19.0119028573357	0.7340022455391448	0.7652062332123942	0.16118203777052983	2.05981070968308e-06	ok	proteomics	0.00010920429779169795	False
SEC22B	32	20	17	15	23.323534535756934	23.122832212582427	0.2007023231745073	0.16760310580081803	0.03533648535795455	2.1051283951428684e-06	ok	proteomics	0.00010977726926146663	True
DHRS7	32	20	17	15	21.894234220242293	21.669842787274323	0.2243914329679697	0.18692705452662411	0.03979485681572152	2.6366611745158842e-06	ok	proteomics	0.0001352777289699198	True
MTFR1L	32	20	17	15	19.326378554984256	19.7012716845918	-0.3748931296075426	-0.37825656399585655	0.08073861477962112	2.800250550132931e-06	ok	proteomics	0.00013911299024818607	True
OSTF1	27	17	15	12	22.4552477100514	22.152218665699976	0.3030290443514225	0.30473351949325006	0.06506390634867486	2.8187544340731003e-06	ok	proteomics	0.00013911299024818607	True
MLF2	32	20	17	15	20.37766839647252	20.511666630915517	-0.1339982344429984	-0.36906714890912534	0.07882889860344104	2.8426106149425006e-06	ok	proteomics	0.00013911299024818607	True
FABP5	32	20	17	15	26.777833838676738	27.31712207932378	-0.5392882406470427	-0.5078946718708693	0.10880687681457064	3.043612778495574e-06	ok	proteomics	0.00014669291285446094	True
ARHGAP35	32	20	17	15	20.931678608678208	20.739660884054572	0.19201772462363564	0.22997497928535976	0.049438730773388756	3.2918279512126775e-06	ok	proteomics	0.00015615510554907062	True
SACM1L	32	20	17	15	21.487423779361748	21.22924951469593	0.2581742646658185	0.2538679888152693	0.05460892257120091	3.3381160570062252e-06	ok	proteomics	0.00015615510554907062	True
PLXNB3	26	19	13	13	20.024689189346784	20.356704126930115	-0.332014937583331	-0.9107817709511987	0.19636861697983898	3.5158778241769673e-06	ok	proteomics	0.0001620870631696657	True
PRKCD	32	20	17	15	19.82059799642772	19.341537738494885	0.4790602579328329	0.5666126937201851	0.12242174326026922	3.685613574038383e-06	ok	proteomics	0.00016748481112880138	True
IPO7	32	20	17	15	21.850402450982152	21.969894159879757	-0.11949170889760552	-0.1889725440975481	0.04089436964968739	3.8190999442530225e-06	ok	proteomics	0.0001711064355305474	True
SLC14A1	31	20	16	15	24.478624745017605	24.992124658002595	-0.5134999129849902	-0.4800468413476368	0.1050918602462217	4.926856374115424e-06	ok	proteomics	0.00021767125175084948	True
ITGA3	32	20	17	15	20.99522150044886	20.534669373877236	0.46055212657162414	0.45952542538674446	0.10088421339900468	5.239093074321556e-06	ok	proteomics	0.00022829527492351876	True
USP10	7	7	4	3	20.513650440464424	20.695605507271903	-0.18195506680747897	-0.2874489375961735	0.06318452489937516	5.381017957580912e-06	ok	proteomics	0.00023018501991149752	False
TMEM63A	24	15	12	12	21.095631897974332	20.5736112137923	0.5220206841820314	0.4993261049695226	0.10980092101831522	5.427185316995383e-06	ok	proteomics	0.00023018501991149752	True
GLYR1	22	14	14	8	20.926718730479713	20.657248221214587	0.26947050926512617	0.28422582064659896	0.06272772055900817	5.86762636271727e-06	ok	proteomics	0.00024559104552373206	False
ILVBL	32	20	17	15	21.333148247315826	21.238996119270674	0.0941521280451525	0.11977193502974244	0.026572521197177786	6.563902750895478e-06	ok	proteomics	0.0002711659045532275	True
