cell_type	gene	paired_donors	mean_delta_active_minus_inactive	paired_dz	positive_fraction	wilcoxon_p
astrocytes	ALOX5AP	3	1.0307192919468868	0.9267652214856685	0.6666666666666666	0.5
astrocytes	APOE	3	0.6231800521083635	0.8291927237575202	0.6666666666666666	0.5
astrocytes	C1QA	3	2.098903681098276	1.7029418864873194	1.0	0.25
astrocytes	GPNMB	3	0.5777605712144402	0.24501719591472784	0.6666666666666666	0.75
astrocytes	PTGS1	3	0.7278588033142568	1.027795759828766	0.6666666666666666	0.5
astrocytes	PTGS2	3	0.35473070924386185	0.7716027885407608	0.6666666666666666	0.5
astrocytes	TBXA2R	3	-0.08308432942945182	-0.09316009215122417	0.6666666666666666	1.0
astrocytes	TBXAS1	3	0.958468905505426	0.563114992605477	0.6666666666666666	0.5
astrocytes	TREM2	3	1.1001148217476058	1.0309216483370487	0.6666666666666666	0.5
immune	ALOX5AP	3	0.5520813565051487	1.012389713437968	0.6666666666666666	0.5
immune	APOE	3	0.7939234610955008	14.465807656075876	1.0	0.25
immune	C1QA	3	-0.22982939362134522	-0.35411736629286156	0.3333333333333333	0.5
immune	GPNMB	3	1.7406784310086232	1.401125076066889	1.0	0.25
immune	PTGS1	3	-0.009310871862882783	-0.025189253609745273	0.6666666666666666	1.0
immune	PTGS2	3	1.487148928431887	1.1032603435245472	0.6666666666666666	0.5
immune	TBXA2R	3	-1.1857900234004974	-1.0310495517305647	0.0	0.5
immune	TBXAS1	3	0.3591310185666871	0.3832868164435696	0.3333333333333333	1.0
immune	TREM2	3	0.39465593677398303	2.1077127855519473	1.0	0.25
neurons	ALOX5AP	1	-1.0275791740640818		0.0	1.0
neurons	APOE	1	-0.8671817755858662		0.0	1.0
neurons	C1QA	1	-2.6306391810932843		0.0	1.0
neurons	GPNMB	1	-1.621618805175779		0.0	1.0
neurons	PTGS1	1	0.0		0.0	1.0
neurons	PTGS2	1	0.4765478965789658		1.0	1.0
neurons	TBXA2R	1	0.0		0.0	1.0
neurons	TBXAS1	1	-2.3658052063890413		0.0	1.0
neurons	TREM2	1	-2.0411735423309647		0.0	1.0
oligodendrocytes	ALOX5AP	3	0.658399097928044	0.958831244796768	0.6666666666666666	0.5
oligodendrocytes	APOE	3	1.8516551673558521	1.424392670805999	1.0	0.25
oligodendrocytes	C1QA	3	0.9351071474630887	0.6257585706056604	0.6666666666666666	0.5
oligodendrocytes	GPNMB	3	1.7150239732796952	6.059479288796728	1.0	0.25
oligodendrocytes	PTGS1	3	0.18441165501753556	0.7987205551671186	0.6666666666666666	0.5
oligodendrocytes	PTGS2	3	-0.03147186670596106	-0.07803377467150008	0.6666666666666666	1.0
oligodendrocytes	TBXA2R	3	-0.29051413917252017	-0.5621981724433162	0.3333333333333333	0.5
oligodendrocytes	TBXAS1	3	0.6045292804162155	2.1934156846409154	1.0	0.25
oligodendrocytes	TREM2	3	0.8048579548226561	1.5025656856405443	1.0	0.25
opc	ALOX5AP	3	0.3507614448580732	0.19680263122358688	0.3333333333333333	1.0
opc	APOE	3	1.8338511522679344	2.5050523901929926	1.0	0.25
opc	C1QA	3	0.9756972847612566	0.37870275846690343	0.6666666666666666	0.75
opc	GPNMB	3	0.5056434444848638	0.4470965393434218	0.6666666666666666	0.5
opc	PTGS1	3	0.3138795467739118	0.5773502691896256	0.3333333333333333	1.0
opc	PTGS2	3	0.0		0.0	1.0
opc	TBXA2R	3	0.21787153761357195	0.12049113311339285	0.6666666666666666	1.0
opc	TBXAS1	3	-0.4039906275167761	-0.32975072644717845	0.3333333333333333	0.5
opc	TREM2	3	0.9501453568650567	0.5773502691896257	0.3333333333333333	1.0
vascular_cells	ALOX5AP	3	2.030073969673686	1.1226529672889862	0.6666666666666666	0.5
vascular_cells	APOE	3	0.32328369367742277	0.29177613562475674	0.6666666666666666	0.75
vascular_cells	C1QA	3	0.6524368211573858	0.16299047760535912	0.6666666666666666	1.0
vascular_cells	GPNMB	3	0.533026590826427	0.20736613677866786	0.3333333333333333	1.0
vascular_cells	PTGS1	3	0.0		0.0	1.0
vascular_cells	PTGS2	3	-2.059398037758964	-1.0914933444937978	0.0	0.25
vascular_cells	TBXA2R	3	1.4736543344599031	1.1087332784645727	0.6666666666666666	0.5
vascular_cells	TBXAS1	3	0.7406791898420785	0.3584120517080357	0.3333333333333333	1.0
vascular_cells	TREM2	3	0.04598128549831652	0.013256184922477206	0.6666666666666666	1.0
