donor	sample	reconstructed_state	n_cells	mean_mims2_score	mean_hmg_score	mean_state_axis	EGLN1	GPNMB	APOE	P2RY12	CX3CR1	TMEM119	SALL1	LPL	SPP1	TREM2	CTSD	PLIN2	LGALS3	PPARG	FTL	HSPB1	MGLL	TBXAS1
ms10	ms10r0	HMG_like	74	-0.638978555048375	1.00859982896541	-1.64757838401378	0.401337270176497	0.0150584088410259	0.169117943072237	2.32106962039768	1.81095428696035	0.561295590865437	0.752215674060919	0.0443349546417972	2.43607560235242	0.146385100321416	0.251930048931237	0.0531278864191613	0	0.551470567230879	1.07453193774847	0.0443722357527167	0.390796107377106	2.56038309631167
ms10	ms10r0	MIMS2_like	37	0.474572116777425	-0.141583192322577	0.616155309100002	0.53036195747062	0.932589121588256	1.6843518714226	1.13031412850043	0.405292776722992	0.0390986863168215	0.114663339952956	0.342138964629796	2.44996078009858	0.233269729364681	0.550006157105394	0.125850720306008	0.135845996444053	0.741886289048711	1.49122971688674	0	0.303560106100773	2.42954120180711
ms11	ms11r1	HMG_like	550	-0.483794466248756	0.654454324763993	-1.13824879101275	0.337004118175173	0.0523278050940574	0.504562335219603	1.69082001424879	1.01169834508554	0.587300298278825	0.647777351849624	0.4341684871768	3.07977964597621	0.26751229460073	0.73079524769761	0.0688716757068099	0.083700578361459	0.671884610261593	1.60907063925443	0.0543007465178598	0.512314112982861	2.09669002143397
ms11	ms11r1	MIMS2_like	796	1.16011611644438	-0.382609605142023	1.5427257215864	0.24547337392986	1.90245282667194	2.06161097136157	0.413078000032898	0.178728612667781	0.0323591912541401	0.0534741133979671	0.91559440762243	3.18859988556701	0.267779205167964	1.2799005651137	0.176547346137344	0.245619853294943	0.815187447778947	2.25327685391357	0.0592439805804224	0.43896913680433	1.81033503145139
ms12	ms12r0	HMG_like	20	-0.672788730172222	0.51851921007191	-1.19130794024413	0.303062727007919	0	0.105552424686849	0.79964732677623	0.453243498407688	0.952837153899405	0.624222098642941	0	2.01394211986579	0	0.583927386969713	0	0	0.784309751266353	0.938206250747525	0.0666309286258769	0	2.49079537923842
ms15	ms15r0	HMG_like	313	-0.580200109114877	0.917163103475665	-1.49736321259054	0.342840880735313	0.0108947899504416	0.321249414074518	1.9359856816152	2.09713822846257	0.475492863156592	0.695136088384258	0.0200760714436538	2.32848492258901	0.189024749757315	0.303347102031106	0.0201531259933929	0.0290581510020295	0.44193006282607	1.15358413218083	0.0869079604988382	0.401284533965094	1.98749096912006
ms15	ms15r0	MIMS2_like	288	0.542204524975632	-0.143588090324526	0.685792615300158	0.336174187296724	0.855389586898323	1.95872989424859	0.873337492361118	0.741953497669295	0.0269105412627288	0.0789678402252324	0.116499445732106	2.63320469037603	0.216250518839169	0.469231134849477	0.0346923332813688	0.0542608022754768	0.449451875921766	1.55423919073768	0.0508082020944608	0.252035733668152	1.74254935238588
ms15	ms15r1	HMG_like	508	-0.65752781208413	0.506362023691119	-1.16388983577525	0.500639311145528	0.0138681249349519	0.124543728902228	1.41816426109895	1.30479962832655	0.346611988305899	0.593851158629063	0.0301806455857747	2.88550059800741	0.163001607590285	0.361287880969465	0.0123177257750591	0.0211671347579323	0.290469467668759	1.30393224245954	0.118555255276187	0.235226945405603	1.90369160467953
ms15	ms15r1	MIMS2_like	432	0.405265440478034	-0.270815956996888	0.676081397474922	0.452516392735182	0.817449748995277	1.66965435861453	0.673362005434288	0.472188640809688	0.0199208009156658	0.0393588575129391	0.0632385884100096	2.97975633628995	0.225512894496291	0.421572510639224	0.0477404798412338	0.0561128233174434	0.337683295678516	1.37430185240351	0.1388503553208	0.219126318896257	1.79911043536168
ms16	ms16r0	HMG_like	203	-0.590319316676328	0.978956429310733	-1.56927574598706	0.421377503613642	0.00785962964596146	0.300205647610984	2.41884231614534	1.69875838056402	0.576851567635932	0.674727264668347	0.0326714868219634	1.55989462498608	0.175751697036915	0.299070576971055	0.0417464541397742	0.0230944760929536	0.463596780335709	1.55790294584525	0.203475367171527	0.329629156297066	2.22642070735299
ms16	ms16r0	MIMS2_like	160	0.46445337962335	-0.0684969247214279	0.532950304344778	0.360015326807309	0.761113709372657	1.89437620600704	1.50900142390671	0.402239200941527	0.0394791344328044	0.091579018704267	0.193224473279906	1.66102098022349	0.164515048126837	0.509432969920738	0.0907038458225349	0.070911683574456	0.653584824594886	1.84284723279286	0.205719035180466	0.460963450094022	2.21895098612443
ms1	ms1r1	HMG_like	374	-0.478455869961681	1.02409959513649	-1.50255546509817	0.375136079245697	0.0174088143055549	0.56576301758237	2.19060533891972	2.25894681451365	0.512829221431964	0.679675926716825	0.0503436752266187	1.56585408952465	0.288874961045806	0.213455403961344	0.0180870919984395	0.0154173849701684	0.382789200381953	1.65923910980207	0.162511990684594	0.945510020659856	2.15941340393283
ms1	ms1r1	MIMS2_like	309	0.480932487217796	-0.0279623327973504	0.508894820015146	0.292241063240871	0.592231919316677	2.16709905145949	1.05318200289255	1.0215300077792	0.0432917508162054	0.0855165172389514	0.0869305219388442	1.74786894884598	0.305674788193998	0.438269461142527	0.0186112276917661	0.035880626494328	0.376876277108662	1.91176878102252	0.343906512541537	0.823551333758573	1.80926528386951
ms1	ms1r2	HMG_like	366	-0.619025515020931	0.953133208477063	-1.57215872349799	0.276832299672098	0.0154361095065103	0.218303749585825	2.14197177449854	2.32007820604965	0.507045414823083	0.517890537046066	0.0399487584119734	2.34152105077524	0.195488521292685	0.19668594634111	0.0115424954579413	0.0166280449948512	0.317083498760548	2.04066712496904	0.0488329598810461	0.602607222131978	2.07880963704986
ms1	ms1r2	MIMS2_like	336	0.592052458531398	-0.270434713532296	0.862487172063694	0.231545703902139	0.732356667199729	2.25168037382148	0.695987970161162	0.434851415651894	0.0269876027567286	0.0395391319781775	0.321891560406505	2.82522199194677	0.28184679005347	0.694691895581812	0.0401562611317077	0.0990158016190806	0.676180284721522	2.53898053059805	0.0768412822223059	0.516903981397243	1.65941392071089
ms4	ms4r1	HMG_like	406	-0.562007195720009	0.65335794273058	-1.21536513845059	0.202485218281297	0.0263243419293635	0.345402481935932	1.67992880764758	2.03889648595573	0.259966630580899	0.521442777281119	0.104577312883072	1.68092167092819	0.275246762069056	0.274499567335808	0.0375179145323702	0.0563788978393911	0.438324087482842	1.85511196245551	0.149959661447951	0.754725444897248	1.77079318078252
ms4	ms4r1	MIMS2_like	399	0.835747129769944	-0.319228033820568	1.15497516359051	0.22866043448708	1.17968984885466	2.24508174407084	0.386634428271505	0.501635132311795	0.0203758422955277	0.0575291469360485	0.218002018421862	2.08755202301506	0.375859505848377	0.472942187848144	0.0946861561176986	0.186211522707186	0.675790584825315	2.34090277204898	0.128663357886732	0.754438272507128	1.57154870808542
ms4	ms4r2	HMG_like	79	0.262507583593078	0.270720319264361	-0.00821273567128261	0.204796125342461	0.0898748807541273	2.31212775121331	0.407244349655042	0.179894084245721	0.608783996001143	0.827381775912096	0.299591256327369	1.18718182539317	0.543104792738459	0.655417143487092	0.114834660333536	0.141624683120552	0.746064571188419	2.98558505589189	3.32434564270156	0.164409486549599	1.41020554138545
ms4	ms4r2	MIMS2_like	476	2.1309897110203	-0.523174905371986	2.65416461639229	0.243931922331899	2.59316741039259	3.53257692064598	0.0329547605267784	0.0185176540823644	0.0231742568563707	0.0197517232543031	0.457128571512667	1.26305491737954	0.711053818548661	1.65166193050901	0.337375299262643	0.921280602499955	1.0714907962676	4.17301935582751	3.26144577559497	0.40711825270711	1.60546476616107
ms5	ms5r1	HMG_like	438	-0.675173095479514	0.364013284807218	-1.03918638028673	0.866210698133731	0.00509925293283196	0.092617688291207	1.62336689735816	0.863596825014743	0.255432760837924	0.509857253401602	0.0733849032573744	2.84504068347648	0.0737729338552714	0.235516584853509	0.0785488711027959	0.013597560541743	0.964258331629297	0.618589427294032	0.168498617464975	0.112001196426911	2.38930990310656
ms5	ms5r1	MIMS2_like	167	0.262999308607437	-0.248703050830162	0.511702359437599	0.857618112954652	0.626761891914209	1.57684917297093	0.792208466641325	0.264986833555148	0.017331395840494	0.141175645519777	0.173478954778853	2.81479875342733	0.0951184613897766	0.380714938508344	0.12614535511529	0.0254019972080548	0.976952046140129	0.820233995281324	0.167442877790176	0.12460711399085	2.14942280245413
ms6	ms6r0	HMG_like	183	0.364663830438748	0.44394367830685	-0.0792798478681018	0.671643223195054	0.615514023315275	1.8455300241202	0.782914996524086	0.688360289944621	0.754830497530842	0.586102530888812	0.111341657540511	3.18850416141523	0.480614186237292	0.945511199940236	0.188854110048509	0.164767408815769	0.937989601849955	2.56854954969691	0.134695830842427	0.38963801354929	2.34021359022282
ms6	ms6r0	MIMS2_like	407	1.71633796291749	-0.472704538039091	2.18904250095658	0.560749868474963	2.58485595353823	2.51106208884232	0.131103470242165	0.063986047697658	0.0262852298790019	0.0576739987424754	0.162118304671388	2.25769054072448	0.365753440734515	1.56722873386239	0.380215476987021	0.636490689024847	1.0223414131181	3.15475784260502	0.128543273865547	0.355664547933868	2.26006176877596
ms7	ms7r1	HMG_like	263	-0.670817201403089	0.740833392695809	-1.4116505940989	0.367256101733504	0.0218695942800448	0.0804628069977039	2.03105239311345	1.70517513787583	0.238676220420577	0.744370876662329	0.106517807228805	1.19980294731224	0.167656482723489	0.332757886448104	0.02898207559751	0.0986962733850432	0.529892977651698	0.612357275512618	0.235217402077883	0.63629845980062	2.1616766533164
ms7	ms7r1	MIMS2_like	184	0.508112307144782	-0.161856167409652	0.669968474554434	0.259079048077623	1.37440864240134	1.16181245293858	0.855026214025021	0.615351982385549	0.0467143579224648	0.0880388744045613	0.113343705463377	1.14207095785811	0.103195359126305	0.464056676146118	0.0754566457601917	0.182118640613503	0.646946894685969	0.903029392567753	0.257467840291761	0.536752206614049	1.94685364307077
ms8	ms8r0	HMG_like	218	-0.427521658363776	1.08461157915756	-1.51213323752133	0.514789063793878	0.0269654804413542	0.679532605980135	2.12400113567708	2.49708372850907	0.558613653341649	0.669894230233924	0.0870277607259966	0.749594667846406	0.188873701989126	0.263415178985979	0.0170909148411014	0.0131974899104078	0.279058670956948	1.66945308623711	0.0656717119695208	0.852359379996077	2.19847133361018
ms8	ms8r0	MIMS2_like	201	0.6347520156551	0.0102889484174567	0.624463067237644	0.31802487732529	0.809357170949962	2.25241736699578	0.96558004968397	1.20705886563341	0.0714010750765659	0.0850125558540411	0.232330636248092	1.28578999019804	0.383949559083428	0.482314065151331	0.0341791374200444	0.091166204825582	0.487195245473237	2.00762847285586	0.169257352307438	0.815617931270771	1.89816123552998
