gene	n_paired_donors	mean_delta	median_delta	sd_delta	dz	positive_fraction	wilcoxon_p	wilcoxon_fdr_bh	n_samples	n_donors	n_foamy	n_non_foamy	mean_foamy	mean_non_foamy	raw_mean_delta	gee_coef_foamy	gee_se	gee_p	model_status	modality	fdr_bh	adequate_reporting_coverage	passes_convergence_gate
ASAH1	10	0.259454006231287	0.188087316075711	0.177282335304838	1.46350738095341	1	0.00592153702414877	0.272182974860348	32	20	17	15	23.7759763825	22.6165376467772	1.15943873572287	1.15394827980387	0.179954850996873	1.43216131772887e-10	ok	proteomics	3.65251209339722e-08	TRUE	TRUE
GPNMB	10	1.16274760234144	0.868710916648304	0.554512748907643	2.09688164001997	1	0.00592153702414877	0.272182974860348	32	20	17	15	25.8313754558245	23.6854177443035	2.14595771152105	2.16422755448021	0.344905056604471	3.49971132666645e-10	ok	proteomics	6.95786358132873e-08	TRUE	TRUE
IFI30	10	0.0336280922979969	0.0284115704419608	0.0392956471229069	0.855771434246055	0.8	0.0144328239388418	0.299322687687737	32	20	17	15	20.4918649008643	19.3544516018568	1.13741329900749	1.1168267050192	0.192878963393648	7.02615896813004e-09	ok	proteomics	8.59623526062372e-07	TRUE	TRUE
TPP1	10	0.0818508221785541	0.0720230947875649	0.0732119765068619	1.11799771135645	0.9	0.00804523748656161	0.272182974860348	32	20	17	15	24.5125279066282	23.8936299306126	0.618897976015546	0.617050167780905	0.111082626540058	2.77809594597505e-08	ok	proteomics	2.89923376066435e-06	TRUE	TRUE
LAMP1	10	0.0697287254330357	0.0625632542857858	0.0585491444413867	1.19094354150368	0.8	0.0144328239388418	0.299322687687737	32	20	17	15	22.2831285818178	21.9165655975927	0.36656298422513	0.344357718803367	0.064067722049332	7.66244030450984e-08	ok	proteomics	6.37008271911521e-06	TRUE	TRUE
CTSD	10	0.342040107334624	0.258487497169755	0.232597970189829	1.47052060280439	1	0.00592153702414877	0.272182974860348	32	20	17	15	26.2653335169325	25.590661078954	0.674672437978487	0.606636933819722	0.136014140660972	8.1920675145397e-06	ok	proteomics	0.000325737084546885	TRUE	TRUE
ALDH1A1	10	0.0468157236662146	0.0288507737259186	0.0436017134162546	1.07371293461054	1	0.00592153702414877	0.272182974860348	32	20	17	15	23.4964663132097	23.1282637224008	0.368202590808878	0.506793356402328	0.115308892899929	1.10725125213686e-05	ok	proteomics	0.000414372498005572	TRUE	TRUE
ACSL1	10	0.197485873551824	0.165284879724725	0.168902109200593	1.16923272590565	1	0.00592153702414877	0.272182974860348	32	20	17	15	21.3354014830367	20.9379759725012	0.397425510535523	0.366170096192296	0.0873440669929001	2.76174452656208e-05	ok	proteomics	0.000836677079904189	TRUE	TRUE
NAMPT	10	0.0553247179251469	0.0435662857905698	0.0545286462927759	1.01459914533907	0.8	0.0190588916017305	0.338796700953688	32	20	17	15	24.2690219898475	23.6227820738463	0.646239916001157	0.630770532294644	0.16122637672194	9.14104899359346e-05	ok	proteomics	0.00210707803250875	TRUE	TRUE
SLC25A24	10	0.0388389120924181	0.0473468741701856	0.039343373949564	0.987177971625092	0.8	0.0249324556028632	0.363845543463064	32	20	17	15	21.5590876816504	21.3486721915742	0.210415490076223	0.21926885961516	0.0597962233916888	0.000245475238590454	ok	proteomics	0.00473276853470478	TRUE	TRUE
CTSL	10	0.0515743960140232	0.0500617738766611	0.050530139232206	1.02066601829491	0.9	0.0249324556028632	0.363845543463064	30	19	16	14	21.796831832203	21.1506033944997	0.646228437703272	0.610386781086414	0.179607395204222	0.000677688094314504	ok	proteomics	0.00971047670276774	TRUE	TRUE
SYT7	10	0.00689760853828871	0.0046320242804066	0.0105547962675053	0.653504659253743	0.7	0.0440109840129514	0.459736360027182	8	8	1	7	20.3098531612091	20.5626612634283	-0.25280810221917	6.68568168632997	0.0303654770162478	0	ok	proteomics	0	FALSE	FALSE
ISCU	10	-0.00362239268541716	-0.00373345784401582	0.0237405279390744	-0.152582650845565	0.4	0.918812683274642	1	8	8	6	2	21.5174969804745	21.8271010228826	-0.309604042408086	7.06929764602213	0.12616924723928	0	ok	proteomics	0	FALSE	FALSE
SPTLC1	10	-0.0436398018325385	-0.02544694254348	0.0805298545001497	-0.541908365579592	0.3	0.153576396549984	0.678424684837983	7	7	6	1	19.8892380833637	17.5124511736825	2.37678690968118	2.347034353097	0.240259595888174	1.53342042917846e-22	ok	proteomics	1.62593679507223e-19	FALSE	FALSE
MTMR6	10	0.0492988425243377	0.0293708431164188	0.0720431160212006	0.684296366495728	0.6	0.126278928554698	0.629396089976903	12	8	7	5	19.316849174233	18.6192837931202	0.697565381112828	0.909934990421148	0.0956584263310198	1.86430172155747e-21	ok	proteomics	1.48258594406858e-18	FALSE	FALSE
PLP1	10	0.0405986313931922	0.0472635520065575	0.206465110953206	0.196636764467163	0.7	0.22127181567247	0.742589494275625	32	20	17	15	30.0891216877935	30.5010402765153	-0.411918588721782	-1.06134700719519	0.126673139732685	5.35486155074137e-17	ok	proteomics	3.40676291858166e-14	TRUE	FALSE
ARL6IP5	10	0.0136619960128571	-0.0146274618224503	0.105620054623343	0.129350397153057	0.4	0.838463781922464	1	32	20	17	15	22.6546829917874	22.3556660208528	0.299016970934666	0.328670697758532	0.0456497629163935	6.02860770310319e-13	ok	proteomics	3.19616685059521e-10	TRUE	FALSE
SNX5	10	-0.0195059569556276	-0.010769391394611	0.0519277103308292	-0.375636761785876	0.4	0.475532659596901	0.905849723120519	32	20	17	15	22.2053136723796	21.9699248686619	0.235388803717619	0.258840410801762	0.0363378453334526	1.054776282115e-12	ok	proteomics	4.79320479058259e-10	TRUE	FALSE
STX7	10	0.0275891909039378	-0.0175672910217302	0.179926303267497	0.153336062615152	0.5	1	1	32	20	17	15	23.3311926204229	22.9535313929447	0.377661227478221	0.377162000939413	0.054109983783295	3.16299867969139e-12	ok	proteomics	1.25768735001229e-09	TRUE	FALSE
EFHD1	10	0.00516899526043878	0.000386206706019576	0.0236113189285154	0.218920225341422	0.6	0.683480902201426	1	30	20	15	15	21.9831576301207	21.2256216403776	0.757535989743054	0.748854534039367	0.110744496209298	1.36097577043968e-11	ok	proteomics	4.81029325085401e-09	TRUE	FALSE
ITGB2	10	0.0106959737717824	0.0291997541810179	0.0885892378653184	0.120736717343064	0.6	0.610298655976554	0.991220451757667	32	20	17	15	22.537023316636	22.0086539071037	0.528369409532331	0.538953827179568	0.0820598017128358	5.10579566031328e-11	ok	proteomics	1.62415359954565e-08	TRUE	FALSE
PLD2	10	0.00168747191151904	0.00136962871666664	0.0384774734883711	0.0438560996482535	0.6	0.918812683274642	1	32	20	17	15	19.9614669700782	20.429938478704	-0.468471508625846	-0.647772444722379	0.0992675767915938	6.77665290498751e-11	ok	proteomics	1.95968480825139e-08	TRUE	FALSE
FERMT3	10	0.0218178019096498	0.0369855286221747	0.0397744303825868	0.548538387596912	0.7	0.102917539402853	0.588505606955251	32	20	17	15	22.0164617281204	21.3210396051402	0.695422122980208	0.705056811376226	0.110059883707351	1.49269591996743e-10	ok	proteomics	3.65251209339722e-08	TRUE	FALSE
MMGT1	10	-0.00162506234741961	-0.0141960750628773	0.0353148340027067	-0.0460164232201984	0.2	0.308063229907199	0.837780909563191	32	20	17	15	19.2083478530906	18.9049184941693	0.303429358921338	0.546776756976407	0.0862090910275624	2.26141189697565e-10	ok	proteomics	4.79570082951969e-08	TRUE	FALSE
HCN2	10	-0.00269479973625222	-0.00316190399727597	0.0188413063863897	-0.14302616182702	0.5	0.610298655976554	0.991220451757667	28	19	15	13	20.0201822222065	20.5013196619088	-0.481137439702319	-0.952186274956321	0.15010410186336	2.24594180271526e-10	ok	proteomics	4.79570082951969e-08	TRUE	FALSE
PRKCSH	10	0.00636313073455059	-0.00103482389803444	0.0453696749832982	0.140250745390903	0.5	0.838463781922464	1	32	20	17	15	23.7700634308775	23.6021563644019	0.167907066475593	0.19908141227039	0.0320220049330093	5.06688512855855e-10	ok	proteomics	9.48103623173221e-08	TRUE	FALSE
ARHGAP1	10	-0.0132187932274508	-0.0160700790981347	0.0210632409260316	-0.627576414943531	0.4	0.126278928554698	0.629396089976903	32	20	17	15	22.4878941304779	22.1594461551972	0.328447975280767	0.324135520647093	0.0526133727961659	7.24213440762647e-10	ok	proteomics	1.27984608614777e-07	TRUE	FALSE
PTPRF	10	0.00473177083847503	0.00437409170110389	0.0249761892133581	0.189451272892516	0.7	0.475532659596901	0.905849723120519	32	20	17	15	21.5761728968385	21.8837030388399	-0.307530142001355	-0.272738174693535	0.0447661670116065	1.1115615576087e-09	ok	proteomics	1.86098806039646e-07	TRUE	FALSE
YBX1	10	0.00548867368414836	-0.00372683980976532	0.0863635877511824	0.0635530994840266	0.4	0.918812683274642	1	31	20	16	15	20.759636148237	20.3155689934596	0.444067154777432	0.441039140255482	0.0731808505899971	1.67339674165644e-09	ok	proteomics	2.66153751760457e-07	TRUE	FALSE
TMED10	10	0.0339319772351773	0.0465994322686229	0.0817421880716069	0.415109725292068	0.7	0.262192602406773	0.806593233815048	32	20	17	15	21.7336194196722	21.5259666760687	0.207652743603507	0.237902788381771	0.0403691045009661	3.78811240932681e-09	ok	proteomics	5.47726617003117e-07	TRUE	FALSE
CA4	10	0.000513881191441427	0	0.00338338668051633	0.151883671588789	0.3	1	1	6	6	5	1	22.2674298666218	21.474111674719	0.793318191902838	0.79331819190284	0.13508823174797	4.29031113104725e-09	ok	proteomics	5.93368682950491e-07	FALSE	FALSE
TBXAS1	10	-0.192939538978768	-0.18698824125503	0.114631058516753	-1.68313493284693	0	0.00592153702414871	0.272182974860348	32	20	17	15	20.1535832982451	19.6089612205234	0.544622077721641	0.55724212005423	0.0955229596487077	5.4246174223225e-09	ok	proteomics	6.90228320816315e-07	TRUE	FALSE
HEXB	10	0.0533752277652634	0.0310222209874946	0.0928043015243146	0.575137433163905	0.7	0.102917539402853	0.588505606955251	32	20	17	15	21.9388607945534	21.4587268694533	0.48013392510008	0.475671469018822	0.0814799593090649	5.28643683329244e-09	ok	proteomics	6.90228320816315e-07	TRUE	FALSE
SOD3	10	-0.000361859081367589	0	0.0034711020291901	-0.104249047802268	0.2	0.787406490666269	1	29	19	14	15	21.5989800491016	22.1075356635929	-0.508555614491268	-0.515379612582183	0.0895794205613667	8.75044903940692e-09	ok	proteomics	1.0309325331242e-06	TRUE	FALSE
ANP32A	10	-0.0260549483683054	-0.0145239508144492	0.110428501412447	-0.23594405461495	0.4	0.414823067184775	0.867355401336879	32	20	17	15	22.6639594845334	22.2640118492276	0.399947635305825	0.380523086840253	0.06731053811426	1.57444943812693e-08	ok	proteomics	1.78868702238634e-06	TRUE	FALSE
GNB4	10	-0.0799017338241556	-0.0396735438846534	0.160459800608227	-0.497954836795797	0.4	0.153576396549984	0.678424684837983	32	20	17	15	24.0217650915569	23.6190228443521	0.402742247204767	0.395958453773721	0.0708876678248119	2.32737924625536e-08	ok	proteomics	2.55289426977183e-06	TRUE	FALSE
ARPC1B	10	-0.00526704593188112	-0.00701959998595569	0.0639935547285942	-0.0823058814941506	0.3	0.540817904242618	0.964263921110291	32	20	17	15	24.5291203006112	24.1134842304407	0.415636070170457	0.406999038112617	0.0733077337669396	2.82540856902216e-08	ok	proteomics	2.89923376066435e-06	TRUE	FALSE
FBP1	10	0.0100796626760121	0.00636920863702195	0.0178890626484318	0.563453931270997	0.7	0.153576396549984	0.678424684837983	30	18	17	13	22.4528800806429	21.7123494495353	0.740530631107593	0.735298104219113	0.133448068175885	3.58845177902978e-08	ok	proteomics	3.56714534659179e-06	TRUE	FALSE
C1orf198	10	-0.00495300072136377	-0.00545298649236081	0.0147242193361072	-0.336384606090312	0.4	0.358951435852626	0.853658649396203	32	20	17	15	22.7629546130842	22.915782446679	-0.152827833594756	-0.276127121952874	0.0502959932107815	4.01837870054227e-08	ok	proteomics	3.87347352921968e-06	TRUE	FALSE
CKB	10	6.15916860046708e-05	0.0362929608589887	0.113878571335024	0.000540854045520747	0.6	0.308063229907199	0.837780909563191	32	20	17	15	29.6548778790586	30.1492643900017	-0.494386510943144	-0.460664253852625	0.0846968453701171	5.35871589713987e-08	ok	proteomics	4.87030721965769e-06	TRUE	FALSE
FYN	10	-0.00745254128687088	-0.00313336381062049	0.0348581757805777	-0.213796078537859	0.4	0.540817904242618	0.964263921110291	32	20	17	15	21.9496902870959	21.4911287199356	0.45856156716027	0.477333202718776	0.0877595395082643	5.3549395480686e-08	ok	proteomics	4.87030721965769e-06	TRUE	FALSE
