paired_effect_size	power	alpha_two_sided	calculated_n	rounded_up_n
0.5	0.9	0.05	43.99548069841475	44
0.6	0.9	0.05	31.171682634669796	32
0.65	0.9	0.05	26.8642751140295	27
0.8	0.9	0.05	18.446224616417744	19
