feature	n_samples	n_donors	n_foamy	n_non_foamy	mean_foamy	mean_non_foamy	raw_mean_delta	gee_coef_foamy	gee_se	gee_p	model_status	modality	fdr_bh	adequate_reporting_coverage
CPVL	34	20	18	16	24.592605621853817	23.245388724680087	1.3472168971737304	1.390307578301911	0.2269870672750371	9.065402539017203e-10	ok	abpp	8.430824361285999e-08	True
ASAH1	34	20	18	16	27.156508998904226	26.094510272422553	1.0619987264816722	1.0755579242255038	0.2188876673954873	8.935348623684145e-07	ok	abpp	4.1549371100131274e-05	True
CTSG	20	11	14	6	23.215960484343267	21.611851095077697	1.6041093892655702	1.8906518535483023	0.47571352556828267	7.057184408057208e-05	ok	abpp	0.0016065452469570204	False
PLA2G15	28	17	17	11	22.36367223343392	21.865251694453754	0.4984205389801666	0.45506012922232836	0.11484328034888587	7.418624357708885e-05	ok	abpp	0.0016065452469570204	True
SCPEP1	34	20	18	16	24.366992138169863	23.711273553233994	0.6557185849358689	0.823780946908716	0.2098275202041078	8.637340037403335e-05	ok	abpp	0.0016065452469570204	True
ABHD6	24	15	12	12	18.039161505220243	18.928125021220577	-0.8889635160003344	1.6773829499266213	0.43640056025478907	0.00012120433510663774	ok	abpp	0.001878667194152885	True
NT5DC1	29	19	15	14	20.214422498463144	20.463536200508468	-0.24911370204532446	-2.1816229474824818	0.6274337262584562	0.0005069496769755366	ok	abpp	0.006735188565532129	True
PLA2G7	28	18	16	12	22.40427929403951	21.297869022549094	1.106410271490418	1.2352673470042372	0.36480979321285645	0.0007090423435834002	ok	abpp	0.007741123500830287	True
LIPA	31	19	18	13	25.52550113952668	24.728949557719314	0.7965515818073641	0.8185885078795615	0.24283737730922306	0.0007491409839513181	ok	abpp	0.007741123500830287	True
LYPLA1	25	17	12	13	24.6811700137627	23.06093125550129	1.620238758261408	1.6029711782422231	0.48097638530505915	0.0008599401831658759	ok	abpp	0.007997443703442646	True
ALDH1A1	34	20	18	16	25.749592004789754	25.08514043549562	0.6644515692941333	0.6578196738438866	0.2039888122154146	0.0012606814347644545	ok	abpp	0.010658488493917661	True
EPHX1	33	20	18	15	22.728567492138488	22.188652269995266	0.5399152221432217	0.5474077244578701	0.17230248825118238	0.0014879893842885612	ok	abpp	0.011531917728236349	True
SEC23IP	34	20	18	16	23.12834550824536	22.368256419997778	0.7600890882475824	0.9158663362899232	0.29389840646042825	0.0018315544547133835	ok	abpp	0.012701830428950508	True
MGLL	34	20	18	16	25.91252752263499	24.802135650792508	1.1103918718424808	1.1786787852814475	0.37978337268382	0.0019121035054334096	ok	abpp	0.012701830428950508	True
ALDH4A1	34	20	18	16	23.947095522814273	23.291592882058808	0.6555026407554649	0.5818226875023066	0.19333705182086672	0.002617902471070404	ok	abpp	0.016230995320636505	True
DPP7	32	18	17	15	23.73877375858536	22.98934320526451	0.749430553320849	0.756394559194539	0.2544274629852225	0.002949735213312986	ok	abpp	0.01714533592738173	True
CTSZ	18	11	13	5	22.798314866525036	21.788449018883078	1.009865847641958	0.9749251124655328	0.33289299689304813	0.003404439829066115	ok	abpp	0.018624288476655804	False
NCEH1	34	20	18	16	26.908896251086738	26.324603448395223	0.5842928026915146	0.5910008838298864	0.21400616499281544	0.005751769868416876	ok	abpp	0.028983814984800346	True
ALDH7A1	34	20	18	16	25.432917165047574	25.8024485583613	-0.369531393313725	-0.40484472330950655	0.14710387283283888	0.005921424566787167	ok	abpp	0.028983814984800346	True
PPT1	34	20	18	16	28.280430195673297	27.683840882585894	0.5965893130874029	0.5491099673373402	0.20320761673997254	0.006887992317429993	ok	abpp	0.03202916427604947	True
KLK6	13	11	6	7	23.24041407686963	22.514286361010857	0.7261277158587731	0.793946250241824	0.2983920694725831	0.0077967171040266405	ok	abpp	0.03452831860354655	False
ALDH6A1	34	20	18	16	25.087543693919223	24.823422628045755	0.26412106587346784	0.30553503209369004	0.12589249469920505	0.015226273452540174	ok	abpp	0.06436561050391983	True
DPP9	32	20	18	14	22.194270116669273	21.701315725171526	0.4929543914977472	0.5473345116889282	0.23771113025445012	0.021305893289132533	ok	abpp	0.08315250384797108	True
CMBL	28	18	17	11	22.850780597353697	23.427072508640787	-0.5762919112870897	-0.809959062424431	0.35218446195148934	0.02145871067044415	ok	abpp	0.08315250384797108	True
LYPLA2	17	12	11	6	19.552255103375018	20.110157810587	-0.5579027072119835	-1.0211945987679647	0.4479767715185554	0.022633178782960405	ok	abpp	0.08419542507261271	False
PNPLA6	34	20	18	16	25.741774124289165	25.31540485667884	0.4263692676103261	0.621789457716436	0.3141666543965183	0.04779678326447902	ok	abpp	0.1709654170614057	True
ABHD16A	34	20	18	16	26.269030984767124	26.278782793240044	-0.009751808472920231	0.6810091028819129	0.3519198002345823	0.05297485397185805	ok	abpp	0.18246894145862214	True
NIT1	30	19	18	12	22.197911156679442	21.822094415398457	0.3758167412809854	0.41617607232226267	0.22769389664192086	0.06758144057835463	ok	abpp	0.22446692763524934	True
ALDH5A1	34	20	18	16	23.877588583889963	24.146044704884513	-0.26845612099454996	-0.7390066867957281	0.4105047775520193	0.0718229171790597	ok	abpp	0.2303286654362949	True
CTSA	29	17	18	11	23.72472482016387	23.324629661609286	0.4000951585545849	0.47611519562036364	0.27210117076739887	0.08015754613324008	ok	abpp	0.24848839301304426	True
PRCP	33	20	18	15	24.906151648709184	24.492898155391348	0.41325349331783556	0.45936435170661555	0.2700282647149592	0.08891081317935852	ok	abpp	0.26673243953807557	True
ABHD10	34	20	18	16	26.510303086844317	26.061305025522223	0.44899806132209363	0.5308855628874181	0.31932707145433104	0.09640986151997565	ok	abpp	0.2801911600424292	True
PAFAH1B2	34	20	18	16	25.047580466084643	24.714610917727796	0.33296954835684645	0.6017558706237026	0.36992738247106294	0.10380370222591302	ok	abpp	0.2925377062730276	True
PSMB8	32	20	18	14	22.64120242312339	22.28185509357838	0.3593473295450096	0.34739224619974396	0.21853492182902542	0.11191556963678587	ok	abpp	0.3061219993006202	True
BCHE	29	19	15	14	22.015285175823983	22.298869447095903	-0.2835842712719199	-0.5982371676310395	0.38013862633966405	0.11554890527729132	ok	abpp	0.3070299483082312	True
NDRG1	29	19	14	15	22.83498833573422	22.532248218258438	0.302740117475782	0.2743278724397246	0.18686816745717413	0.14209636979417586	ok	abpp	0.3670822886349543	True
DAGLB	30	19	16	14	22.726495565201326	22.30292810949813	0.4235674557031963	0.47749870737920164	0.3328208318984243	0.15137203901431528	ok	abpp	0.3804756656305763	True
USP9X	34	20	18	16	23.467951766834958	23.225377070565486	0.2425746962694717	0.30221137559292177	0.21495727986572696	0.15974976520564543	ok	abpp	0.3909665306348691	True
USP7	30	18	16	14	21.459451122061985	21.283754112406182	0.17569700965580282	0.2968145661682331	0.21460554806778231	0.1666433021613558	ok	abpp	0.3966369797578182	True
ABAT	28	18	14	14	21.56248892396133	21.037171043074107	0.5253178808872221	0.5439835927779529	0.3971219028142129	0.1707446164053701	ok	abpp	0.3966369797578182	True
ALDH1L1	33	20	18	15	22.280702311879548	21.730256686131018	0.5504456257485302	0.5485306641453945	0.40429827731026274	0.17486146419430693	ok	abpp	0.3966369797578182	True
TXN	32	20	17	15	22.195203759489033	22.544301343905165	-0.3490975844161319	-0.44312059855784963	0.3424175836635327	0.19563289524887317	ok	abpp	0.42513138197363903	True
PAFAH2	20	14	11	9	21.622260599476	21.057908435908654	0.5643521635673459	1.2974883627349671	1.004717041185689	0.19656612284802666	ok	abpp	0.42513138197363903	False
ACHE	24	15	13	11	21.444205087251795	20.8306344394707	0.6135706477810956	1.0343806064771452	0.8567084995174468	0.22728228533875827	ok	abpp	0.48039210310237546	True
UCHL1	34	20	18	16	24.700326475048954	24.221663138143093	0.4786633369058606	0.5284735086315687	0.4461305369100737	0.23618692041032252	ok	abpp	0.4881196355146666	True
BTD	34	20	18	16	24.730259671346673	25.017318080303216	-0.28705840895654333	-0.34268813084919203	0.292641427926143	0.2415918837425023	ok	abpp	0.48843576495766766	True
ACOT1	34	20	18	16	25.61798212329041	24.823928949978463	0.7940531733119478	0.854650572383493	0.7420039304395093	0.24939748194874733	ok	abpp	0.49284627896738875	True
NDRG2	34	20	18	16	26.50345646101383	26.84515118669448	-0.3416947256806502	-0.33316167455041235	0.29388833979752843	0.25694830435661575	ok	abpp	0.49284627896738875	True
ESD	34	20	18	16	29.249355068127937	29.418797329761112	-0.16944226163317566	-0.22301237255557843	0.19785203623995187	0.2596716953699145	ok	abpp	0.49284627896738875	True
APEH	34	20	18	16	28.629668288010862	28.480108614933673	0.14955967307718865	0.16896653845860082	0.1518969139145859	0.2659763580920811	ok	abpp	0.4947160260512708	True
GAPDH	34	20	18	16	27.488804276677396	27.801595659137707	-0.31279138246031124	0.387825035176027	0.3717240567926333	0.2968027364668284	ok	abpp	0.5335290750116269	True
PTGDS	34	20	18	16	24.951992250395463	25.383253808981276	-0.4312615585858133	-0.2929399002514558	0.2852054776026613	0.30436453980716094	ok	abpp	0.5335290750116269	True
OTUB1	34	20	18	16	22.683867146621107	22.832337364950646	-0.148470218329539	-0.12930502494721302	0.12606299948091917	0.3050247620320694	ok	abpp	0.5335290750116269	True
DDHD2	34	20	18	16	25.717657196102056	25.415765353590597	0.3018918425114592	0.27276891291656635	0.2685630762414061	0.30979107581320275	ok	abpp	0.5335290750116269	True
PNPLA4	24	15	12	12	22.5604252241426	22.649954434387478	-0.08952921024487637	0.5506757499752319	0.567272189311022	0.33167605983465576	ok	abpp	0.5602969471264456	True
ALDH2	34	20	18	16	24.654392611731293	24.388559326181248	0.2658332855500447	0.19879052166962044	0.2072140412575538	0.337383107947107	ok	abpp	0.5602969471264456	True
DDAH2	34	20	18	16	22.37396726638688	21.83047411746958	0.5434931489172996	0.4628776939629015	0.49048972997007706	0.34532033138329576	ok	abpp	0.563417382783272	True
USP14	33	19	18	15	22.72048668955896	22.856919365282042	-0.13643267572308204	-0.19761370377188456	0.22201117579215868	0.3734084295165855	ok	abpp	0.5938804536084904	True
ABHD11	13	11	7	6	22.924019121913847	23.485595531112935	-0.5615764091990876	-0.5429672743672321	0.6143021749590685	0.37676286841828965	ok	abpp	0.5938804536084904	False
CTSD	29	17	16	13	22.638376632913523	22.437644842952725	0.20073178996079832	0.19933479611858065	0.24779633260205955	0.4211486991264717	ok	abpp	0.6527804836460311	True
LONP1	27	16	16	11	21.200820232878073	21.381271446403	-0.180451213524929	-0.16366867982455005	0.2141666341242665	0.4447410055417945	ok	abpp	0.6739096564994598	True
FAM63A	20	14	11	9	20.5151169746614	21.209017802246944	-0.6939008275855443	1.9257097213871779	2.5887197067633263	0.45694605962403145	ok	abpp	0.6739096564994598	False
USP4	29	19	16	13	21.94233640444798	22.373999767729938	-0.43166336328195953	0.4905112231504781	0.6666672958487971	0.4618730305832015	ok	abpp	0.6739096564994598	True
ACSL3	32	19	17	15	20.938017931839354	20.7891380518595	0.1488798799798552	0.14729354673846268	0.2010394086868529	0.4637657851179078	ok	abpp	0.6739096564994598	True
LIPE	34	20	18	16	21.833436372994314	22.55928782013934	-0.7258514471450255	-0.48695010514609716	0.709838470625561	0.4927122961744643	ok	abpp	0.7049575929880797	True
PNPLA7	29	18	17	12	21.870635717456384	22.146412718504834	-0.27577700104844993	-0.2111191003712081	0.3210846578728652	0.5108475840205831	ok	abpp	0.7198306865744579	True
PREP	34	20	18	16	25.965409585643485	26.705379248260407	-0.7399696626169217	1.2938271383661928	2.0299750701081365	0.5238896622690222	ok	abpp	0.7271901282241652	True
CAD	23	15	12	11	21.18546137291625	20.74095893776153	0.4445024351547211	0.34868589727726657	0.5687309336199691	0.5398137521833423	ok	abpp	0.7382746904860416	True
TPP1	32	19	17	15	22.531642861211864	22.231166345605214	0.30047651560665045	0.15690531568741442	0.27856961012234804	0.5732622580219113	ok	abpp	0.7674864634999856	True
PAFAH1B3	34	20	18	16	24.75701846682676	24.599781651109556	0.15723681571720505	0.26989789647000084	0.48474812642247334	0.5776779832795591	ok	abpp	0.7674864634999856	True
USP5	34	20	18	16	23.967646375275834	23.9281107895588	0.03953558571703297	0.09727605180291944	0.19458732327468947	0.6171388015658446	ok	abpp	0.8083649090932894	True
FAAH	34	20	18	16	25.073004937612428	25.08134607213492	-0.00834113452249241	0.17765615623004435	0.40338298618045904	0.6596361349029809	ok	abpp	0.852030007583017	True
CES2	25	16	15	10	23.15193097843281	23.285252062626228	-0.13332108419341893	-0.15385317521189415	0.37052056346579915	0.6779697429208903	ok	abpp	0.8579217535492681	True
SIAE	33	20	18	15	26.063382609686535	25.98574171232018	0.07764089736635427	0.11882187510274138	0.3084881766996521	0.7001079043914539	ok	abpp	0.8579217535492681	True
TPP2	31	20	18	13	21.60528428686478	21.653240209874525	-0.04795592300974505	-0.040725319481025826	0.11225713475949244	0.7167647335757427	ok	abpp	0.8579217535492681	True
NDRG3	27	18	16	11	23.89930138779483	24.491741656192616	-0.5924402683977874	-0.0869003247512092	0.24454473536854762	0.7223232573366969	ok	abpp	0.8579217535492681	True
IAH1	32	19	17	15	23.08202155817612	22.984365573834324	0.09765598434179523	0.048901470411802886	0.13780288840062876	0.7226904668961962	ok	abpp	0.8579217535492681	True
NIT2	34	20	18	16	25.5950332224216	25.476312756841025	0.11872046558057292	0.1153320084414305	0.3314845278321085	0.7278959338942654	ok	abpp	0.8579217535492681	True
GANAB	26	16	17	9	21.59716889049047	21.145138854508122	0.4520300359823466	-0.6114578610887405	1.763350149754706	0.7287722422622815	ok	abpp	0.8579217535492681	True
DAGLA	33	20	18	15	23.461922647825062	23.572906502857823	-0.1109838550327602	-0.08501308244393131	0.274210761517299	0.7565394738840777	ok	abpp	0.8644049170561768	True
FASN	34	20	18	16	26.333696193202965	26.822299881991405	-0.48860368878844085	0.08421106220197339	0.274443604344503	0.7589629784745746	ok	abpp	0.8644049170561768	True
LYPLAL1	32	19	17	15	22.156772584774476	21.987208644634038	0.16956394014043852	0.20178590948686417	0.6757897605519806	0.7652508131781277	ok	abpp	0.8644049170561768	True
