analysis	gene	donor	delta_log10k
t_near_vs_t_far_pathological	ABCA1	ms15	0.4921853089611181
t_near_vs_t_far_pathological	ABCA1	ms4	0.21809968722291617
t_near_vs_t_far_pathological	ABCA1	ms5	0.27496096235543455
t_near_vs_t_far_pathological	ABCA1	ms6	-0.4928841175661969
t_near_vs_t_far_pathological	ABCG1	ms1	0.6986791457634205
t_near_vs_t_far_pathological	ABCG1	ms11	0.12103610067641934
t_near_vs_t_far_pathological	ABCG1	ms15	-0.3931320119301988
t_near_vs_t_far_pathological	ABCG1	ms4	-0.052200308876218404
t_near_vs_t_far_pathological	ABCG1	ms5	-0.08659322530252966
t_near_vs_t_far_pathological	ABCG1	ms6	-0.4504776774389603
t_near_vs_t_far_pathological	NR1H3	ms1	0.9998058922206287
t_near_vs_t_far_pathological	NR1H3	ms11	-0.02924057042613315
t_near_vs_t_far_pathological	NR1H3	ms15	0.6407439165663311
t_near_vs_t_far_pathological	NR1H3	ms4	-0.2268452166568367
t_near_vs_t_far_pathological	NR1H3	ms5	0.6943632159861126
t_near_vs_t_far_pathological	NR1H3	ms6	0.05587512586865806
t_near_vs_t_far_pathological	LAMP1	ms1	0.0775847768645308
t_near_vs_t_far_pathological	LAMP1	ms11	0.28242072153104836
t_near_vs_t_far_pathological	LAMP1	ms15	0.13792501593634254
t_near_vs_t_far_pathological	LAMP1	ms4	-0.09081598791851242
t_near_vs_t_far_pathological	LAMP1	ms5	0.3383928008212589
t_near_vs_t_far_pathological	LAMP1	ms6	-0.15373053115351443
t_near_vs_t_far_pathological	CTSD	ms1	-0.08827992504279947
t_near_vs_t_far_pathological	CTSD	ms11	0.030268770648837595
t_near_vs_t_far_pathological	CTSD	ms15	-0.19858648573933868
t_near_vs_t_far_pathological	CTSD	ms4	-0.033188487711843795
t_near_vs_t_far_pathological	CTSD	ms5	0.6417599185350964
t_near_vs_t_far_pathological	CTSD	ms6	0.5919096232041827
t_near_vs_t_far_pathological	GPNMB	ms1	0.00296816066681993
t_near_vs_t_far_pathological	GPNMB	ms11	0.1306181353417566
t_near_vs_t_far_pathological	GPNMB	ms15	0.3767313227520228
t_near_vs_t_far_pathological	GPNMB	ms4	1.714824823931023
t_near_vs_t_far_pathological	GPNMB	ms5	0.6452370709676281
t_near_vs_t_far_pathological	GPNMB	ms6	-0.22247037034591344
t_near_vs_t_far_pathological	SPP1	ms1	0.07544514812092329
t_near_vs_t_far_pathological	SPP1	ms11	-0.09014680077283188
t_near_vs_t_far_pathological	SPP1	ms15	-0.3622247974153243
t_near_vs_t_far_pathological	SPP1	ms4	0.33389246193408084
t_near_vs_t_far_pathological	SPP1	ms5	-0.5150631594696442
t_near_vs_t_far_pathological	SPP1	ms6	-0.21418727922227987
t_near_vs_t_far_pathological	APOE	ms1	0.2643601848002013
t_near_vs_t_far_pathological	APOE	ms11	0.204829274410268
t_near_vs_t_far_pathological	APOE	ms15	0.23041294562703163
t_near_vs_t_far_pathological	APOE	ms4	0.03256211852650903
t_near_vs_t_far_pathological	APOE	ms5	0.035323731993441854
t_near_vs_t_far_pathological	APOE	ms6	0.2939360517041987
