analysis	gene	informative_donors	mean_delta_log10k	sd_delta_log10k	paired_dz	positive_direction_fraction	wilcoxon_p	fdr_bh	registered_gate_pass
pathological_vs_homeostatic	SOAT1	6	0.18118704022810617	0.8105269978516417	0.22354226411748782	0.5	0.6875	0.9453125	False
pathological_vs_homeostatic	LIPA	6	-0.049194538141585066	1.112499586833237	-0.044219825988087574	0.6666666666666666	1.0	1.0	False
pathological_vs_homeostatic	PLIN2	6	0.8072592068739608	0.9297152784841037	0.8682864803407265	0.6666666666666666	0.15625	0.2864583333333333	False
pathological_vs_homeostatic	ABCA1	6	0.26149101389680657	0.4459224063515662	0.5864047425565928	0.8333333333333334	0.15625	0.2864583333333333	False
pathological_vs_homeostatic	ABCG1	6	-0.03539260597158689	0.3800451464662384	-0.09312737263105929	0.5	0.84375	1.0	False
pathological_vs_homeostatic	NR1H3	6	0.3057655304688061	0.60385846831163	0.5063529726157807	0.6666666666666666	0.3125	0.49107142857142855	False
pathological_vs_homeostatic	LAMP1	6	0.16685755221001777	0.26221878778471447	0.6363295079642055	0.8333333333333334	0.15625	0.2864583333333333	False
pathological_vs_homeostatic	CTSD	6	0.2649975239253177	0.3310310902353188	0.8005215574674269	0.8333333333333334	0.0625	0.2864583333333333	False
pathological_vs_homeostatic	GPNMB	6	2.3494319961602863	1.3476950324236474	1.7432964725967346	1.0	0.03125	0.2864583333333333	False
pathological_vs_homeostatic	SPP1	6	0.747935009976589	0.9603378592821044	0.7788248716297658	0.6666666666666666	0.15625	0.2864583333333333	False
pathological_vs_homeostatic	APOE	6	-0.014742966875816776	0.3320420168864669	-0.04440090749375778	0.5	1.0	1.0	False
t_near_vs_t_far_pathological	SOAT1	6	0.16911947938463093	1.1113201559887	0.15217890044851354	0.5	0.84375	0.84375	False
t_near_vs_t_far_pathological	LIPA	6	-0.051744433735197215	0.2726814145196053	-0.18976149814375	0.3333333333333333	0.6875	0.84375	False
t_near_vs_t_far_pathological	PLIN2	6	0.22308069970771763	1.0671079090751312	0.20905167866393476	0.5	0.84375	0.84375	False
t_near_vs_t_far_pathological	ABCA1	6	0.10420210993650685	0.3511328072614005	0.29675982358131997	0.6666666666666666	0.5625	0.84375	False
t_near_vs_t_far_pathological	ABCG1	6	-0.02711466285134455	0.41619640371645594	-0.06514871971315034	0.3333333333333333	0.84375	0.84375	False
t_near_vs_t_far_pathological	NR1H3	6	0.35578372725979346	0.4874932397321978	0.7298228944779657	0.6666666666666666	0.21875	0.8020833333333334	False
t_near_vs_t_far_pathological	LAMP1	6	0.09862946601352562	0.19638118529717216	0.5022348035239497	0.6666666666666666	0.4375	0.84375	False
t_near_vs_t_far_pathological	CTSD	6	0.15731390231568912	0.3641358053216421	0.43201986735891945	0.5	0.84375	0.84375	False
t_near_vs_t_far_pathological	GPNMB	6	0.4413181905522228	0.69236898329279	0.6374031783650793	0.8333333333333334	0.15625	0.8020833333333334	False
t_near_vs_t_far_pathological	SPP1	6	-0.12871407113751268	0.30602998945667986	-0.4205929992875186	0.3333333333333333	0.3125	0.84375	False
t_near_vs_t_far_pathological	APOE	6	0.17690405117694175	0.11477601198421822	1.5412981172517666	1.0	0.03125	0.34375	False
