gene	n_paired_donors	mean_delta	median_delta	sd_delta	dz	positive_fraction	wilcoxon_p	wilcoxon_fdr_bh
AC130456.1	10	-0.00720841590729685	-0.00639487975433792	0.0046573357980491	-1.54775524460065	0	0.00592153702414871	0.272182974860348
DERL3	10	-0.00980536166970217	-0.00748340404298422	0.00645294071107544	-1.51951832640781	0	0.00592153702414871	0.272182974860348
SHCBP1	10	-0.0112129124828663	-0.00550675502327503	0.0147816190632075	-0.758571333418814	0	0.00592153702414871	0.272182974860348
MYPOP	10	-0.0125469786581838	-0.0074482616720417	0.0113725868191911	-1.10326514606253	0	0.00592153702414871	0.272182974860348
ZNF300	10	-0.0143273514971545	-0.00776196956123745	0.0217221468596655	-0.659573456975292	0	0.00592153702414871	0.272182974860348
TIAF1	10	-0.0146152016254221	-0.0152913422478009	0.00724658980621413	-2.01683854285353	0	0.00592153702414871	0.272182974860348
PPIL1	10	-0.0154322118096984	-0.0107941676626493	0.0110787131076936	-1.39296068592854	0	0.00592153702414871	0.272182974860348
AL158832.2	10	-0.0156165238089009	-0.0098172347561477	0.0199746823890482	-0.781815875954214	0	0.00592153702414871	0.272182974860348
SSPO	10	-0.0163146454172515	-0.0156140767744922	0.0090835487176897	-1.79606516399033	0	0.00592153702414871	0.272182974860348
ZFP41	10	-0.0165570889657402	-0.0105524631360209	0.0143252325989048	-1.1557989618267	0	0.00592153702414871	0.272182974860348
AMACR	10	-0.0169294577289467	-0.0188880752484244	0.0108443879923925	-1.56112615491284	0	0.00592153702414871	0.272182974860348
SNUPN	10	-0.0171450150199623	-0.0134454488650553	0.0124340864388651	-1.37887211129338	0	0.00592153702414871	0.272182974860348
AL161725.1	10	-0.0174483918976978	-0.016939774792142	0.0116422496967812	-1.49871307969986	0	0.00592153702414871	0.272182974860348
PPM1N	10	-0.0181238129382264	-0.0120135387377677	0.0154992225436328	-1.16933690623546	0	0.00592153702414871	0.272182974860348
AC092650.1	10	-0.0184207404794978	-0.00930755966239508	0.0232232089277133	-0.793203925298865	0	0.00592153702414871	0.272182974860348
