NBB_case	pathology	n_nuclei	library_size	ALOX5AP_raw	ALOX5AP	APOE_raw	APOE	C1QA_raw	C1QA	GPNMB_raw	GPNMB	PTGS1_raw	PTGS1	PTGS2_raw	PTGS2	TBXA2R_raw	TBXA2R	TBXAS1_raw	TBXAS1	TREM2_raw	TREM2
09_034	MS_periplaque_white_matter	79	322598.0	17.0	5.746774013573573	97.0	8.236893528619412	15.0	5.569779627466607	37.0	6.854168110161553	38.0	6.892314064349572	0.0	0.0	0.0	0.0	414.0	10.326801300363575	21.0	6.046501925950377
09_034	chronic_active_MS_lesion_edge	312	624645.0	46.0	6.221912424326518	432.0	9.435863631037726	49.0	6.311876465275259	264.0	8.726695207308616	59.0	6.576728455057137	0.0	0.0	0.0	0.0	1038.0	10.699350237297121	70.0	6.820991394215529
09_034	chronic_inactive_MS_lesion_edge	290	542741.0	26.0	5.611909653994582	226.0	8.705303651116012	62.0	6.848434740463114	45.0	6.390813415229044	41.0	6.258188700906777	0.0	0.0	0.0	0.0	1028.0	10.888050228163838	50.0	6.5410961978927045
09_067	MS_lesion_core	285	555555.0	16.0	4.8972418198579755	583.0	10.036724547327815	83.0	7.23266218989365	68.0	6.94720001526661	4.0	3.035625176488053	0.0	0.0	1.0	1.485427754617683	344.0	9.276591156094845	36.0	6.040017099618185
09_067	MS_periplaque_white_matter	175	597126.0	13.0	4.509122545860973	431.0	9.497434154868067	40.0	6.0871984000547075	256.0	8.747253908601696	20.0	5.108263848409804	0.0	0.0	1.0	1.419370841040769	496.0	9.699824809002505	27.0	5.530338832730833
12_002	control_white_matter	142	292286.0	55.0	7.5635536811984565	1040.0	11.797320583896845	103.0	8.465136072406182	174.0	9.219912275146376	39.0	7.0707215669139005	0.0	0.0	0.0	0.0	489.0	10.709100094448093	130.0	8.800155227664696
12_078	MS_periplaque_white_matter	368	994533.0	47.0	5.592707026797961	414.0	8.704857373163623	86.0	6.450761687759386	41.0	5.4000384721401105	114.0	6.853330317235326	1.0	1.0039598457275385	0.0	0.0	105.0	6.735754897356029	10.0	3.4666232733525386
12_078	chronic_active_MS_lesion_edge	742	2121860.0	124.0	5.893345070821533	1312.0	9.274553878667993	88.0	5.4084757135561246	307.0	7.186702399253993	243.0	6.852025868858451	11.0	2.628570858166225	0.0	0.0	477.0	7.818919357310554	31.0	3.9643823157733022
12_078	chronic_inactive_MS_lesion_edge	84	255586.0	7.0	4.827211420400736	89.0	8.447989838561945	17.0	6.077110845063128	6.0	4.613264318641946	28.0	6.7885834864384735	0.0	0.0	1.0	2.296480129446115	21.0	6.377889410016459	3.0	3.671036531065643
13_015	MS_periplaque_white_matter	150	342187.0	41.0	6.916685947513302	432.0	10.303172951222503	81.0	7.893075018445336	41.0	6.916685947513302	15.0	5.48657538919658	0.0	0.0	0.0	0.0	420.0	10.26256359074521	39.0	6.8451483963056825
13_015	chronic_inactive_MS_lesion_edge	345	721935.0	22.0	4.9760729410116005	430.0	9.220672132235661	123.0	7.42101663825173	99.0	7.109898118118219	26.0	5.210011721661538	0.0	0.0	2.0	1.9146917617331185	723.0	9.969350834254083	58.0	6.345886749550256
13_047	MS_lesion_core	366	1181384.0	75.0	6.010888614553943	230.0	7.612403440373514	104.0	6.476257596976574	46.0	5.319667855373507	45.0	5.288761526309861	2.0	1.4291765406753614	2.0	1.4291765406753614	1591.0	10.396311006012818	36.0	4.9760305893227645
13_047	chronic_active_MS_lesion_edge	1807	3902492.0	430.0	6.796831386955068	5675.0	10.507000750526057	926.0	7.8965399606467415	1719.0	8.786229664208749	248.0	6.01232590936933	10.0	1.8328759271294357	4.0	1.0179119949126834	5540.0	10.472290493038853	599.0	7.27138520758796
13_047	chronic_inactive_MS_lesion_edge	128	259555.0	29.0	6.816723738192355	213.0	9.682354387267317	43.0	7.3808347348159185	92.0	8.473514243874499	22.0	6.422240661528316	0.0	0.0	1.0	2.2788019356680604	416.0	10.64722739376617	26.0	6.660658378296494
14_043	control_white_matter	137	167929.0	14.0	6.398633683465512	42.0	7.972150964101722	15.0	6.497028912260239	7.0	5.415633048398584	11.0	6.055366470818467	0.0	0.0	1.0	2.798029274641945	349.0	11.021853944756106	8.0	5.604047026756058
