gene	n_paired_donors	mean_delta	median_delta	sd_delta	dz	positive_fraction	wilcoxon_p	role
EGLN1	10	-0.0507125518995414	-0.062726491346863	0.0893103279903851	-0.567824047236742	0.2	0.126278928554698	target
CTSD	10	0.324649542020241	0.258487497169755	0.198225798904475	1.63777643381672	1	0.00592153702414877	withheld_state_control
LGALS3	10	0.152674521899234	0.080695541071817	0.169936385372343	0.898421615622295	1	0.00592153702414877	withheld_state_control
LPL	10	0.160226888257236	0.140391942942069	0.137911886675405	1.16180622366767	1	0.00592153702414877	withheld_state_control
PLIN2	10	0.0711280911310612	0.0482769378476272	0.0581372824929651	1.22345056530064	1	0.00592153702414877	withheld_state_control
SPP1	10	0.0514836930049805	0.104973297414107	0.389117890139925	0.132308727790612	0.7	0.22127181567247	withheld_state_control
TREM2	10	0.0343742866972447	0.0331070277642177	0.0909351077036605	0.378008973269859	0.7	0.262192602406773	withheld_state_control
FTL	10	0.4210095072754	0.35679846252174	0.204619811344945	2.05752074790875	1	0.00592153702414877	reported_only
HSPB1	10	0.0136143455804217	0.00059396416707018	0.0518609033562722	0.262516552920305	0.5	0.838463781922464	reported_only
MGLL	10	-0.0252196813958726	-0.0550432124519186	0.0874061462024554	-0.288534416532417	0.3	0.475532659596901	reported_only
PPARG	10	0.14313487340313	0.159947384430598	0.0839695454906573	1.70460459880726	1	0.00592153702414877	reported_only
TBXAS1	10	-0.182136457132873	-0.194792201635826	0.127513767697189	-1.42836699457739	0	0.00592153702414871	reported_only
APOE	10	1.44391671790301	1.55855642596288	0.328417871452798	4.39658387503598	1	0.00592153702414877	state_definition_mims2
GPNMB	10	1.15450841820242	0.870784461625667	0.542480633431207	2.12820209064445	1	0.00592153702414877	state_definition_mims2
CX3CR1	10	-1.06425212239749	-1.09186050732268	0.329999272349913	-3.22501354266327	0	0.00592153702414871	state_definition_hmg
P2RY12	10	-1.02249763973259	-1.03413098911587	0.22221250240676	-4.6014406419892	0	0.00592153702414871	state_definition_hmg
SALL1	10	-0.57106851586014	-0.585105974508729	0.0822915110629293	-6.93957989692809	0	0.00592153702414871	state_definition_hmg
TMEM119	10	-0.453536617788707	-0.48100510980307	0.156380478355258	-2.90021249812514	0	0.00592153702414871	state_definition_hmg
