sample	donor	n_dmwm_myeloid	n_pathological_microglia	n_homeostatic_microglia	n_pathological_t_near	n_pathological_t_far
ms11r1	ms11	4766	2882	1366	690	2192
ms15r0	ms15	163	94	44	51	43
ms15r1	ms15	1141	828	207	135	693
ms1r1	ms1	630	204	287	148	56
ms1r2	ms1	2384	989	1097	401	588
ms4r1	ms4	690	291	298	166	125
ms4r2	ms4	1062	949	28	484	465
ms5r1	ms5	1161	708	318	163	545
ms6r0	ms6	851	455	211	399	56
