donor	reconstructed_state	n_samples	n_cells	mean_mims2_score	mean_hmg_score	mean_state_axis	EGLN1	GPNMB	APOE	P2RY12	CX3CR1	TMEM119	SALL1	LPL	SPP1	TREM2	CTSD	PLIN2	LGALS3	PPARG	FTL	HSPB1	MGLL	TBXAS1
ms1	HMG_like	2	740	-0.548740692491306	0.988616401806776	-1.53735709429808	0.325984189458898	0.0164224619060326	0.392033383584097	2.16628855670913	2.28951251028165	0.509937318127523	0.598783231881445	0.045146216819296	1.95368757014995	0.242181741169246	0.205070675151227	0.0148147937281904	0.0160227149825098	0.34993634957125	1.84995311738556	0.10567247528282	0.774058621395917	2.11911152049135
ms1	MIMS2_like	2	645	0.536492472874597	-0.149198523164823	0.68569099603942	0.261893383571505	0.662294293258203	2.20938971264048	0.874584986526854	0.728190711715547	0.035139676786467	0.0625278246085645	0.204411041172675	2.28654547039637	0.293760789123734	0.56648067836217	0.0293837444117369	0.0674482140567043	0.526528280915092	2.22537465581029	0.210373897381921	0.670227657577908	1.7343396022902
ms10	HMG_like	1	74	-0.638978555048375	1.00859982896541	-1.64757838401378	0.401337270176497	0.0150584088410259	0.169117943072237	2.32106962039768	1.81095428696035	0.561295590865437	0.752215674060919	0.0443349546417972	2.43607560235242	0.146385100321416	0.251930048931237	0.0531278864191613	0	0.551470567230879	1.07453193774847	0.0443722357527167	0.390796107377106	2.56038309631167
ms10	MIMS2_like	1	37	0.474572116777425	-0.141583192322577	0.616155309100002	0.53036195747062	0.932589121588256	1.6843518714226	1.13031412850043	0.405292776722992	0.0390986863168215	0.114663339952956	0.342138964629796	2.44996078009858	0.233269729364681	0.550006157105394	0.125850720306008	0.135845996444053	0.741886289048711	1.49122971688674	0	0.303560106100773	2.42954120180711
ms11	HMG_like	1	550	-0.483794466248756	0.654454324763993	-1.13824879101275	0.337004118175173	0.0523278050940574	0.504562335219603	1.69082001424879	1.01169834508554	0.587300298278825	0.647777351849624	0.4341684871768	3.07977964597621	0.26751229460073	0.73079524769761	0.0688716757068099	0.083700578361459	0.671884610261593	1.60907063925443	0.0543007465178598	0.512314112982861	2.09669002143397
ms11	MIMS2_like	1	796	1.16011611644438	-0.382609605142023	1.5427257215864	0.24547337392986	1.90245282667194	2.06161097136157	0.413078000032898	0.178728612667781	0.0323591912541401	0.0534741133979671	0.91559440762243	3.18859988556701	0.267779205167964	1.2799005651137	0.176547346137344	0.245619853294943	0.815187447778947	2.25327685391357	0.0592439805804224	0.43896913680433	1.81033503145139
ms12	HMG_like	1	20	-0.672788730172222	0.51851921007191	-1.19130794024413	0.303062727007919	0	0.105552424686849	0.79964732677623	0.453243498407688	0.952837153899405	0.624222098642941	0	2.01394211986579	0	0.583927386969713	0	0	0.784309751266353	0.938206250747525	0.0666309286258769	0	2.49079537923842
ms15	HMG_like	2	821	-0.618863960599503	0.711762563583392	-1.3306265241829	0.42174009594042	0.0123814574426967	0.222896571488373	1.67707497135707	1.70096892839456	0.411052425731246	0.644493623506661	0.0251283585147142	2.60699276029821	0.1760131786738	0.332317491500285	0.016235425884226	0.0251126428799809	0.366199765247415	1.22875818732019	0.102731607887512	0.318255739685348	1.94559128689979
ms15	MIMS2_like	2	720	0.473734982726833	-0.207202023660707	0.68093700638754	0.394345290015953	0.8364196679468	1.81419212643156	0.773349748897703	0.607071069239491	0.0234156710891973	0.0591633488690858	0.0898690170710577	2.80648051333299	0.22088170666773	0.44540182274435	0.0412164065613013	0.0551868127964601	0.393567585800141	1.46427052157059	0.0948292787076302	0.235581026282205	1.77082989387378
ms16	HMG_like	1	203	-0.590319316676328	0.978956429310733	-1.56927574598706	0.421377503613642	0.00785962964596146	0.300205647610984	2.41884231614534	1.69875838056402	0.576851567635932	0.674727264668347	0.0326714868219634	1.55989462498608	0.175751697036915	0.299070576971055	0.0417464541397742	0.0230944760929536	0.463596780335709	1.55790294584525	0.203475367171527	0.329629156297066	2.22642070735299
