analysis	sample	donor	group	n_cells	panel_total	SOAT1_count	SOAT1_log10k	SOAT1_detect	LIPA_count	LIPA_log10k	LIPA_detect	PLIN2_count	PLIN2_log10k	PLIN2_detect	ABCA1_count	ABCA1_log10k	ABCA1_detect	ABCG1_count	ABCG1_log10k	ABCG1_detect	NR1H3_count	NR1H3_log10k	NR1H3_detect	LAMP1_count	LAMP1_log10k	LAMP1_detect	CTSD_count	CTSD_log10k	CTSD_detect	GPNMB_count	GPNMB_log10k	GPNMB_detect	SPP1_count	SPP1_log10k	SPP1_detect	APOE_count	APOE_log10k	APOE_detect
pathological_vs_homeostatic	ms11r1	ms11	pathological	2882	210141	621	4.933175407733414	0.18112421929215822	384	4.268542559659043	0.11727966689798751	350	4.142044441368472	0.10131852879944483	1242	5.909369265394983	0.29909784871616935	32	1.3350184504409812	0.011103400416377515	68	2.082676210262424	0.022900763358778626	671	5.041371858891792	0.20229007633587787	406	4.344854133779076	0.12768910478834142	4187	7.645638059010374	0.6006245662734212	27729	10.366915119657731	0.8733518390006939	4282	7.677846087940749	0.6818181818181818
pathological_vs_homeostatic	ms11r1	ms11	homeostatic	1366	73807	188	4.72638650173955	0.12225475841874085	100	3.862833253757449	0.06808199121522694	41	2.712602087314605	0.030014641288433383	325	5.492935152072348	0.19619326500732065	19	1.837653290458869	0.013909224011713031	24	2.088047978534815	0.01683748169838946	247	5.107087755714019	0.16471449487554904	122	4.131720962413441	0.08565153733528551	359	5.633442046929894	0.2342606149341142	3292	8.80422188716631	0.7298682284040996	1508	7.681706912723357	0.5900439238653001
t_near_vs_t_far_pathological	ms11r1	ms11	t_near	690	47322	141	4.944664822014023	0.1753623188405797	71	4.0003238855972185	0.08985507246376812	89	4.307961791166503	0.09855072463768116	319	6.09614601150639	0.30579710144927535	8	1.4278987707895001	0.011594202898550725	15	2.0599688616446215	0.021739130434782608	176	5.255198706911721	0.21594202898550724	93	4.368251014165886	0.12608695652173912	1011	7.745793318715022	0.6260869565217392	5947	10.296582849555477	0.8217391304347826	1075	7.833946769243091	0.6739130434782609
t_near_vs_t_far_pathological	ms11r1	ms11	t_far	2192	162819	480	4.929818870372575	0.18293795620437955	313	4.3379822435170485	0.1259124087591241	261	4.090012476934008	0.10218978102189781	923	5.850217240281935	0.2969890510948905	24	1.3068626701130808	0.010948905109489052	53	2.0892094320707546	0.023266423357664233	495	4.972777985380673	0.197992700729927	313	4.3379822435170485	0.1281934306569343	3176	7.615175183373266	0.5926094890510949	21782	10.38672965032831	0.8895985401459854	3207	7.629117494832823	0.6843065693430657
pathological_vs_homeostatic	ms15r0	ms15	pathological	94	2438	3	3.733914840302214	0.031914893617021274	0	0.0	0.0	1	2.350984491210359	0.010638297872340425	8	5.079539473502158	0.0851063829787234	0	0.0	0.0	0	0.0	0.0	10	5.392909054954732	0.07446808510638298	3	3.733914840302214	0.031914893617021274	22	6.511561334470277	0.1276595744680851	23	6.575004010054753	0.18085106382978725	24	6.635773909966022	0.22340425531914893
pathological_vs_homeostatic	ms15r0	ms15	homeostatic	44	1102	4	5.221012467315418	0.06818181818181818	1	3.332623469190425	0.022727272727272728	0	0.0	0.0	3	4.818811226167222	0.06818181818181818	0	0.0	0.0	0	0.0	0.0	4	5.221012467315418	0.09090909090909091	1	3.332623469190425	0.022727272727272728	0	0.0	0.0	8	6.201541363158253	0.1590909090909091	18	7.360534444644896	0.29545454545454547
t_near_vs_t_far_pathological	ms15r0	ms15	t_near	51	1256	3	4.637224791292046	0.058823529411764705	0	0.0	0.0	1	3.1637858643449057	0.0196078431372549	5	5.350812526272633	0.09803921568627451	0	0.0	0.0	0	0.0	0.0	6	5.607942793079926	0.09803921568627451	1	3.1637858643449057	0.0196078431372549	14	6.8133318743926745	0.17647058823529413	9	6.183011048558896	0.1568627450980392	13	6.707403098589819	0.2549019607843137
t_near_vs_t_far_pathological	ms15r0	ms15	t_far	43	1182	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	3	4.721411524211526	0.06976744186046512	0	0.0	0.0	0	0.0	0.0	4	5.122711955393961	0.046511627906976744	2	4.163536874096809	0.046511627906976744	8	6.1018579420847745	0.06976744186046512	14	6.900182318179326	0.20930232558139536	11	6.555549393645063	0.18604651162790697
pathological_vs_homeostatic	ms15r1	ms15	pathological	828	49079	113	4.5864107200503295	0.12560386473429952	37	3.0940444709493846	0.04106280193236715	69	3.9125508229359127	0.07125603864734299	406	6.387565403460146	0.321256038647343	3	0.6881887735267751	0.0024154589371980675	4	0.8599795085990384	0.004830917874396135	73	3.9885918685050945	0.0821256038647343	35	3.0234966055101093	0.04106280193236715	736	7.238044552496636	0.44323671497584544	6202	10.30455316965234	0.7657004830917874	481	6.629433224144405	0.40217391304347827
pathological_vs_homeostatic	ms15r1	ms15	homeostatic	207	9729	24	4.681928030486108	0.11594202898550725	9	3.357649654460135	0.03864734299516908	4	2.3537239906636467	0.01932367149758454	54	5.820285253517853	0.22705314009661837	2	1.6115075062280433	0.00966183574879227	0	0.0	0.0	16	4.124797750952069	0.06763285024154589	7	3.0347411446048205	0.033816425120772944	32	5.082845444340572	0.14492753623188406	331	8.414558234757447	0.6473429951690821	76	6.305915267985758	0.2898550724637681
