donor	sample	reconstructed_state	n_cells
ms10	ms10r0	HMG_like	74
ms11	ms11r1	HMG_like	550
ms12	ms12r0	HMG_like	20
ms15	ms15r0	HMG_like	313
ms15	ms15r1	HMG_like	508
ms16	ms16r0	HMG_like	203
ms1	ms1r1	HMG_like	374
ms1	ms1r2	HMG_like	366
ms4	ms4r1	HMG_like	406
ms4	ms4r2	HMG_like	79
ms5	ms5r1	HMG_like	438
ms6	ms6r0	HMG_like	183
ms7	ms7r1	HMG_like	263
ms8	ms8r0	HMG_like	218
ms10	ms10r0	MIMS2_like	37
ms11	ms11r1	MIMS2_like	796
ms15	ms15r0	MIMS2_like	288
ms15	ms15r1	MIMS2_like	432
ms16	ms16r0	MIMS2_like	160
ms1	ms1r1	MIMS2_like	309
ms1	ms1r2	MIMS2_like	336
ms4	ms4r1	MIMS2_like	399
ms4	ms4r2	MIMS2_like	476
ms5	ms5r1	MIMS2_like	167
ms6	ms6r0	MIMS2_like	407
ms7	ms7r1	MIMS2_like	184
ms8	ms8r0	MIMS2_like	201
