gene	donor	hmg_like	mims2_like	delta_mims2_minus_hmg
EGLN1	ms1	0.325984189458898	0.261893383571505	-0.0640908058873927
EGLN1	ms10	0.401337270176497	0.53036195747062	0.129024687294123
EGLN1	ms11	0.337004118175173	0.24547337392986	-0.0915307442453132
EGLN1	ms15	0.42174009594042	0.394345290015953	-0.0273948059244674
EGLN1	ms16	0.421377503613642	0.360015326807309	-0.0613621768063333
EGLN1	ms4	0.203640671811879	0.236296178409489	0.0326555065976099
EGLN1	ms5	0.866210698133731	0.857618112954652	-0.00859258517907968
EGLN1	ms6	0.671643223195054	0.560749868474963	-0.110893354720091
EGLN1	ms7	0.367256101733504	0.259079048077623	-0.108177053655881
EGLN1	ms8	0.514789063793878	0.31802487732529	-0.196764186468588
GPNMB	ms1	0.0164224619060326	0.662294293258203	0.64587183135217
GPNMB	ms10	0.0150584088410259	0.932589121588256	0.91753071274723
GPNMB	ms11	0.0523278050940574	1.90245282667194	1.85012502157788
GPNMB	ms15	0.0123814574426967	0.8364196679468	0.824038210504103
GPNMB	ms16	0.00785962964596146	0.761113709372657	0.753254079726695
GPNMB	ms4	0.0580996113417454	1.88642862962363	1.82832901828188
GPNMB	ms5	0.00509925293283196	0.626761891914209	0.621662638981377
GPNMB	ms6	0.615514023315275	2.58485595353823	1.96934193022295
GPNMB	ms7	0.0218695942800448	1.37440864240134	1.3525390481213
GPNMB	ms8	0.0269654804413542	0.809357170949962	0.782391690508608
APOE	ms1	0.392033383584097	2.20938971264048	1.81735632905639
APOE	ms10	0.169117943072237	1.6843518714226	1.51523392835036
APOE	ms11	0.504562335219603	2.06161097136157	1.55704863614197
APOE	ms15	0.222896571488373	1.81419212643156	1.59129555494319
APOE	ms16	0.300205647610984	1.89437620600704	1.59417055839606
APOE	ms4	1.32876511657462	2.88882933235841	1.56006421578379
APOE	ms5	0.092617688291207	1.57684917297093	1.48423148467973
APOE	ms6	1.8455300241202	2.51106208884232	0.665532064722124
APOE	ms7	0.0804628069977039	1.16181245293858	1.08134964594088
APOE	ms8	0.679532605980135	2.25241736699578	1.57288476101564
P2RY12	ms1	2.16628855670913	0.874584986526854	-1.29170357018228
P2RY12	ms10	2.32106962039768	1.13031412850043	-1.19075549189725
P2RY12	ms11	1.69082001424879	0.413078000032898	-1.2777420142159
P2RY12	ms15	1.67707497135707	0.773349748897703	-0.90372522245937
P2RY12	ms16	2.41884231614534	1.50900142390671	-0.909840892238631
P2RY12	ms4	1.04358657865131	0.209794594399142	-0.833791984252169
P2RY12	ms5	1.62336689735816	0.792208466641325	-0.831158430716839
P2RY12	ms6	0.782914996524086	0.131103470242165	-0.651811526281921
P2RY12	ms7	2.03105239311345	0.855026214025021	-1.17602617908843
P2RY12	ms8	2.12400113567708	0.96558004968397	-1.15842108599311
CX3CR1	ms1	2.28951251028165	0.728190711715547	-1.5613217985661
CX3CR1	ms10	1.81095428696035	0.405292776722992	-1.40566151023736
CX3CR1	ms11	1.01169834508554	0.178728612667781	-0.83296973241776
CX3CR1	ms15	1.70096892839456	0.607071069239491	-1.09389785915507
CX3CR1	ms16	1.69875838056402	0.402239200941527	-1.29651917962249
CX3CR1	ms4	1.10939528510073	0.26007639319708	-0.849318891903646
CX3CR1	ms5	0.863596825014743	0.264986833555148	-0.598609991459595
CX3CR1	ms6	0.688360289944621	0.063986047697658	-0.624374242246963
CX3CR1	ms7	1.70517513787583	0.615351982385549	-1.08982315549028
CX3CR1	ms8	2.49708372850907	1.20705886563341	-1.29002486287567
TMEM119	ms1	0.509937318127523	0.035139676786467	-0.474797641341056
TMEM119	ms10	0.561295590865437	0.0390986863168215	-0.522196904548616
TMEM119	ms11	0.587300298278825	0.0323591912541401	-0.554941107024685
