module	n_original_genes	n_globally_unique_genes	globally_unique_genes	removed_shared_genes
hla_ii_apc	7	2	CIITA;RFX5	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1
ifn_apc	8	4	STAT1;IRF1;CXCL10;GBP1	CD74;IFI30;HLA-DRA;HLA-DRB1
lysosomal_apc	7	6	CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3	IFI30
mif_cd74_receptor_state	7	2	CD44;CXCR4	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1
