analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	positive_trend	negative_trend
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	C15ORF48	6	6	10.328874666144609	5.882780117225597	4.446094548919012	3.847759567355839	7.219891321467019	2.9480144785423246e-05	0.505594851549704	0.092635956576086	1.0	8.105827391685104	False	0.0287473526150427	True	False	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	C15ORF48	6	6	9.764352610406153	5.882780117225597	3.8815724931805544	2.769099615621702	5.195906327599254	0.0006135142886959	0.3075494503570052	0.092635956576086	1.0	7.823566363815875	False	0.084811487980697	True	False	True	False	True	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	C15ORF48	5	17	6.0935162414853625	2.884590473634591	3.2089257678507717	1.5142067384236677	4.14573853170532	0.0013719310891858	0.1943037909403783	0.0368179543810072	0.7727272727272727	3.6138917845097662	False	0.1204697420210957	True	False	False	False	True	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	C15ORF48	4	17	5.3592682849474365	2.2657967552449736	3.093471529702463	1.6156827888092162	3.4790424456301854	0.0154343048339554	0.2854127840933968	0.0446689135299662	0.7142857142857143	2.8550294275692525	False	0.3164364198714402	True	False	False	False	True	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	C15ORF48	5	19	6.563774778320166	4.960121289504655	1.6036534888155112	0.9029928950290896	1.9739079553181216	0.0901157137204279	0.3483260800690927	0.149903957426192	0.9583333333333334	5.29421576634122	False	0.5095768187996199	False	False	False	False	True	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	C15ORF48	9	13	7.668165235252717	7.067541414521825	0.6006238207308918	0.64471453240683	1.7558802967659506	0.0964145479568358	0.2038560286588797	0.1891673827313392	1.0	7.31325115936628	False	0.941417255008202	False	False	False	False	True	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	C15ORF48	5	18	8.986534455013267	7.494472160400507	1.4920622946127595	0.9238426209485474	1.9318886018366408	0.0972956322227546	0.6342312614853911	0.3661144732522261	1.0	7.818833528794585	False	0.603627784518603	False	False	False	False	True	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	C15ORF48	6	6	10.106089443005809	10.628590416298564	-0.5225009732927539	-0.8301452089650196	-1.5576748195529049	0.165508026928717	0.5470641784202904	0.6727719864729517	1.0	10.367339929652186	False	0.5070960328575178	False	False	False	False	False	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	C15ORF48	6	6	3.081546851371878	1.8504178878781383	1.2311289634937392	0.7360918441442662	1.3811941791861853	0.2109280927257035	0.0279002293567642	0.0168169296677018	0.9166666666666666	2.4659823696250083	False	0.6101556791049706	False	False	False	False	False	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	C15ORF48	6	6	3.7758936212355767	1.8504178878781383	1.9254757333574384	0.7219127643791762	1.3545887187486687	0.227174142704232	0.0931410532815222	0.0168169296677018	0.8333333333333334	2.813155754556858	False	0.72652862619561	False	False	False	False	False	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	C15ORF48	3	19	7.862353636515059	7.042589592172504	0.8197640443425547	1.0700803859164902	1.4860945024943315	0.2551398566301295	0.5845129510859937	0.4621826321707616	1.0	7.154375598219218	False	0.8365891046684474	False	False	False	False	False	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	C15ORF48	11	14	2.525872190742709	1.874712864053958	0.651159326688751	0.4064400123869389	1.0269498668117747	0.3166056452956435	0.0137812529181056	0.0134521167382996	0.84	2.161222967797008	False	0.8441184433525579	False	False	False	False	False	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	C15ORF48	10	14	1.515165856077237	1.03909755967349	0.476068296403747	0.3979900689196039	0.937588966143069	0.3632007899145169	0.0035061669890744	0.0034965456306553	0.6666666666666666	1.237459349841718	False	0.8977501225891201	False	False	False	False	False	False
