gene	n_patients	n_responders	n_nonresponders	effect_responder_minus_non	hedges_g_responder_minus_non	auc_high_expression_nonresponse	p	nonresponse_high_direction	system	cohort	fdr
C15ORF48	46	32	14	0.24198811216551938	0.28863436475741105	0.4040178571428571	0.2797859039764499	False	RA_GSE198520_baseline_synovium	GSE198520_pre	0.44175952286357334
CD200	46	32	14	-0.6776191175166818	-0.8153369254037557	0.7232142857142857	0.010016993110532032	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.032555227609229104
CD300A	46	32	14	0.010332251757596306	0.011617098260960367	0.4553571428571429	0.9663004657767423	False	RA_GSE198520_baseline_synovium	GSE198520_pre	0.9663004657767422
CD300C	46	32	14	-0.12870427486113245	-0.13843197142545421	0.515625	0.6332440482835947	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.7483793297897029
CD300E	46	32	14	-0.28384209933802323	-0.3533839954961491	0.6383928571428572	0.2745391923961562	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.44175952286357334
CD300LB	46	32	14	-0.17366530741227543	-0.24867668440743282	0.5647321428571428	0.45521046768824563	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.5917736079947193
CD300LF	46	32	14	-0.09088191714748982	-0.10197387948259543	0.5267857142857143	0.713425939446693	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.7728781010672506
CD300LG	46	32	14	-0.42881430249921293	-0.6077967181949765	0.6852678571428572	0.04351591871608469	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.11314138866182019
CHI3L1	46	32	14	0.7150486122478623	0.82430845075918	0.2834821428571429	0.0032625892767870887	False	RA_GSE198520_baseline_synovium	GSE198520_pre	0.021206830299116075
NRCAM	46	32	14	-0.49731256194955686	-0.7143234664490772	0.7321428571428572	0.009550747276709551	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.032555227609229104
PLEK2	46	32	14	-0.2701812332480351	-0.32310269537865477	0.59375	0.3058335158286277	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.44175952286357334
ROMO1	46	32	14	0.7747643853802954	1.1494128427412433	0.2098214285714286	0.0015598660549158885	False	RA_GSE198520_baseline_synovium	GSE198520_pre	0.02027825871390655
SEL1L3	46	32	14	-0.5115488649431342	-0.6035523789654254	0.6852678571428572	0.07309097424520805	True	RA_GSE198520_baseline_synovium	GSE198520_pre	0.1583637775312841
