dataset	disease	tissue	treatment	feature_class	gene	n_subjects	n_pasi75_responders	n_pasi75_nonresponders	mean_score_responder	mean_score_nonresponder	effect_responder_minus_non	hedges_g_responder_minus_non	auc_high_score_response	auc_high_expression_nonresponse	p	t	spearman_score_vs_pct_pasi_improvement	spearman_p	nonresponse_high_direction	system	cohort	fdr_within_treatment
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	C15ORF48	14	9	5	0.5629955868181805	0.9206212444969555	-0.35762565767877497	-0.373994754288628	0.4222222222222222	0.5777777777777777	0.5465373442685846	-0.6381190067115824	-0.16483516483516483	0.5733464050131384	True	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.8881231844364499
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD200	14	9	5	0.14884493921502726	-0.2764374838472412	0.4252824230622685	0.8109673931189776	0.7111111111111111	0.28888888888888886	0.16465647604058564	1.5291870341407392	0.27472527472527475	0.34182974371948144	False	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.5101228902850712
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD300A	14	9	5	0.1785020547183723	0.8165862094081179	-0.6380841546897456	-0.6577175865359111	0.28888888888888886	0.7111111111111111	0.14096476109621126	-1.5835646653052384	-0.3318681318681319	0.24637718314961166	True	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.5101228902850712
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD300C	14	9	5	0.19046586605996763	0.11743144837118055	0.07303441768878707	0.06519203611631028	0.4444444444444444	0.5555555555555556	0.881543673227965	0.1522581213267314	-0.002197802197802198	0.9940505286658997	False	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.9229772416500344
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD300E	14	9	5	0.13683871484275872	-0.5431393508047277	0.6799780656474865	0.7995588908397493	0.6666666666666666	0.33333333333333337	0.08773546995654717	1.860252881426433	0.3010989010989011	0.2955144656072167	False	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.5101228902850712
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD300LB	14	9	5	-0.2798800208713749	-0.5025251633041504	0.2226451424327755	0.20062449546387093	0.6222222222222222	0.37777777777777777	0.7262372488966119	0.3641119285695052	0.16923076923076924	0.5630172739962107	False	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.9229772416500344
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD300LF	14	9	5	0.08131535307895787	-0.11211679290422735	0.19343214598318523	0.18103538971164368	0.5111111111111111	0.48888888888888893	0.689294641823888	0.4096416240697806	0.3010989010989011	0.2955144656072167	False	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.9229772416500344
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CD300LG	14	9	5	-0.6580649941991937	-0.28407750414986493	-0.3739874900493288	-0.5617175624485536	0.28888888888888886	0.7111111111111111	0.23544133397772515	-1.2498525545582029	-0.2175824175824176	0.45491937317003306	True	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.5101228902850712
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	CHI3L1	14	9	5	-0.16256950540266485	0.20748412393541765	-0.3700536293380825	-0.5895174779444039	0.26666666666666666	0.7333333333333334	0.20539616270284408	-1.3389811665626155	-0.4681318681318682	0.09137636506833101	True	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.5101228902850712
GSE85034	psoriasis	skin_lesional_baseline	ADA	gene	NRCAM	14	9	5	0.008083856167015173	0.7391144897279753	-0.7310306335609602	-0.8404582547666236	0.26666666666666666	0.7333333333333334	0.13297213093610644	-1.6512978868303045	-0.3186813186813187	0.26678496081136144	True	psoriasis_GSE85034_baseline_skin	GSE85034_ADA	0.5101228902850712
