gene	foundation_files	foundation_rows	foundation_supportive_text_hits	foundation_do_not_promote_text_hits
CD300A	results_v3/wave70c_inhibitory_receptor_geneformer_direction/geneformer_direction_metrics.tsv	6	0	0
CD300E	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
CD300LF	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv;results_v3/wave70c_inhibitory_receptor_geneformer_direction/geneformer_direction_metrics.tsv	19	0	0
CHI3L1	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
SEL1L3	results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	1	2	1
