cohort	package_family	n_donors	n_ms	n_control	adjusted_standardized_beta	hc3_se	hc3_ci_low	hc3_ci_high	hc3_p	study_fixed_effects
GSE111972	GEO_GSE111972	21	10	11	1.3165305529575493	0.37821820364035696	0.5752364955250137	2.057824610390085	0.0004997773729845745	False
Macnair_validation	zenodo_8338963	31	18	13	1.6349494684819104	0.35871988605448324	0.9318714112768113	2.3380275256870093	5.1708708722161265e-06	True
Macnair_discovery	zenodo_8338963	80	54	26	0.6464715940554246	0.23820822523306992	0.17959205177740228	1.113351136333447	0.006649767529073336	False
