source	analysis	dataset	disease_name	compartment	unit_id	group_label	group	axis_family	module	n_cells	mean_score	high_fraction	cell_types
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	OSM_OSMR	osm_ligand_inflammatory	81.0	0.34079754408268376	0.48148148148148145	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	OSM_OSMR	osmr_receptor_response	81.0	0.12349176604752306	0.345679012345679	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	OSM_OSMR	osm_osmr_core	81.0	0.3055403570819943	0.5061728395061729	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	C1Q_COMPLEMENT	c1q_core	81.0	-0.6574977883984704	0.024691358024691357	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	C1Q_COMPLEMENT	c1q_phagolysosomal	81.0	-0.22070167564695453	0.037037037037037035	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	COVARIATE	ifn_apc	81.0	0.8298671940947998	0.5308641975308642	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	COVARIATE	inflammatory_nfkb	81.0	0.5452014953681757	0.5061728395061729	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	COVARIATE	hif_nampt_metabolic	81.0	0.6256955167285362	0.6172839506172839	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	COVARIATE	lipid_loader_repair	81.0	-0.00810220639623059	0.25925925925925924	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	COVARIATE	lysosomal_apc	81.0	0.20264520821540036	0.345679012345679	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	OSM_OSMR	osm_ligand_inflammatory	38.0	0.5147222122733526	0.4473684210526316	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	OSM_OSMR	osmr_receptor_response	38.0	0.3299389105431388	0.47368421052631576	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	OSM_OSMR	osm_osmr_core	38.0	0.28021060766241257	0.42105263157894735	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	C1Q_COMPLEMENT	c1q_core	38.0	-0.19445544586720803	0.18421052631578946	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	C1Q_COMPLEMENT	c1q_phagolysosomal	38.0	0.0899097840712294	0.2631578947368421	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	COVARIATE	ifn_apc	38.0	0.6912462662631276	0.6842105263157895	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	COVARIATE	inflammatory_nfkb	38.0	0.6772239762204292	0.4473684210526316	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	COVARIATE	hif_nampt_metabolic	38.0	0.5008719256697737	0.6052631578947368	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	COVARIATE	lipid_loader_repair	38.0	0.12484038923224113	0.39473684210526316	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	COVARIATE	lysosomal_apc	38.0	0.23690647053723	0.3684210526315789	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	OSM_OSMR	osm_ligand_inflammatory	406.0	0.4579451775389645	0.4802955665024631	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	OSM_OSMR	osmr_receptor_response	406.0	0.20726848385953178	0.43103448275862066	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	OSM_OSMR	osm_osmr_core	406.0	0.2926886009335466	0.4458128078817734	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	C1Q_COMPLEMENT	c1q_core	406.0	0.055710683504490044	0.21674876847290642	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	C1Q_COMPLEMENT	c1q_phagolysosomal	406.0	0.11949065925854385	0.26108374384236455	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	COVARIATE	ifn_apc	406.0	0.8460982323714901	0.6650246305418719	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	COVARIATE	inflammatory_nfkb	406.0	0.7135594821495264	0.4827586206896552	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	COVARIATE	hif_nampt_metabolic	406.0	0.4613086542756409	0.49507389162561577	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	COVARIATE	lipid_loader_repair	406.0	0.07182422167128362	0.3522167487684729	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	COVARIATE	lysosomal_apc	406.0	0.1992188117233549	0.33251231527093594	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	OSM_OSMR	osm_ligand_inflammatory	323.0	0.1118512096234729	0.29102167182662536	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	OSM_OSMR	osmr_receptor_response	323.0	-0.07442207416636629	0.23529411764705882	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	OSM_OSMR	osm_osmr_core	323.0	0.10449097288417694	0.29721362229102166	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	C1Q_COMPLEMENT	c1q_core	323.0	0.016505390902830853	0.21362229102167182	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	C1Q_COMPLEMENT	c1q_phagolysosomal	323.0	0.08347639107703884	0.22910216718266255	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	COVARIATE	ifn_apc	323.0	0.7000482186614274	0.56656346749226	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	COVARIATE	inflammatory_nfkb	323.0	0.28357013193311414	0.3126934984520124	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	COVARIATE	hif_nampt_metabolic	323.0	0.1575243138099639	0.33436532507739936	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	COVARIATE	lipid_loader_repair	323.0	0.12898426549389203	0.39628482972136225	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	COVARIATE	lysosomal_apc	323.0	0.07359079604037658	0.22910216718266255	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	OSM_OSMR	osm_ligand_inflammatory	647.0	1.2489277746155807	0.9010819165378671	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	OSM_OSMR	osmr_receptor_response	647.0	0.9208894976248424	0.8021638330757341	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	OSM_OSMR	osm_osmr_core	647.0	0.40489848836840076	0.5255023183925811	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	C1Q_COMPLEMENT	c1q_core	647.0	-0.6595193487954254	0.02936630602782071	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	C1Q_COMPLEMENT	c1q_phagolysosomal	647.0	-0.1625670396906008	0.07264296754250386	myeloid cell
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	COVARIATE	ifn_apc	647.0	-0.007531655919945884	0.22720247295208656	myeloid cell
