source	analysis	dataset	disease_name	compartment	axis_family	module	metric	compartment_plausible	n_case	n_control	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	False	6	6	0.10645299856859469	0.1194573549315119	-0.013004356362917205	-0.26097971124204733	-0.48969929625053715	0.6357809584748031	0.7742967797065495
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	False	6	6	0.015274181135402414	0.005079781644552766	0.010194399490849649	0.5099102967044519	0.956789752960851	0.36196663184474015	0.6334416057282953
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	OSM_OSMR	osm_ligand_inflammatory	high_fraction	False	6	6	0.31030280250627423	0.265608728760418	0.04469407374585621	0.49722855794144816	0.9329938857728596	0.3737046783792242	0.5709377030793703
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	OSM_OSMR	osm_ligand_inflammatory	mean_score	False	6	6	0.13489056242848205	0.002646136956968005	0.13224442547151405	1.3126045499602834	2.4629559183420655	0.05324661971256615	0.21925078705174297
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	OSM_OSMR	osm_osmr_core	high_fraction	True	6	6	0.4429209594657892	0.2493129975514584	0.1936079619143308	2.32786462807292	4.367978126378452	0.004076692983205126	0.04484362281525638
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	OSM_OSMR	osm_osmr_core	mean_score	True	6	6	0.16614960562607264	0.0006979129333612291	0.16545169269271143	3.8586237993708985	7.2402768401219255	3.0199452361777326e-05	0.002113961665324413
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	OSM_OSMR	osmr_receptor_response	high_fraction	True	6	6	0.4730771304284957	0.2743196241449689	0.19875750628352679	2.1465790642680616	4.027816001923936	0.0025342346372776016	0.04484362281525638
direct_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	OSM_OSMR	osmr_receptor_response	mean_score	True	6	6	0.223325421146946	0.014200868328278509	0.2091245528186675	2.1668102432183005	4.065777550916004	0.0039725822680692375	0.08495960720487966
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	C1Q_COMPLEMENT	c1q_core	high_fraction	True	6	6	0.15976559796040388	0.2589463258334617	-0.09918072787305784	-0.8157341200286171	-1.530634019803475	0.15698313221705126	0.45442485641777997
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	C1Q_COMPLEMENT	c1q_core	mean_score	True	6	6	-0.2029293145424181	0.028995898011914753	-0.23192521255433285	-0.5999092468934769	-1.1256627368457073	0.28694133886837037	0.5907615800231155
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	True	6	6	0.1917825072030204	0.2591240036557593	-0.06734149645273893	-0.5719936184040502	-1.073282176071061	0.3083621274858824	0.5214073913144132
direct_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	6	6	0.00864856841028422	0.027168019639358536	-0.018519451229074314	-0.10103024271478776	-0.1895719729399468	0.8535021056516939	0.9335179280565402
