gene	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	broad_best_positive_fdr	broad_in_lipid_lysosomal_neighborhood	wave62_score	wave62_call	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_relevant_qtl_h4	geneformer_wave57_call	geneformer_support_contexts	geneformer_strong_support_contexts	geneformer_model_priority_score	gse282122_best_cell_state	gse282122_raw_p	gse282122_raw_fdr	gse282122_paired_fdr	gse282122_integrated_score	gse282122_wave68_call	ms_foamy_proteome_passes_convergence_gate	ms_foamy_proteome_mean_delta	ms_foamy_proteome_gee_p	ms_foamy_proteome_fdr_bh
NAAA	0	2		Crohn disease;ulcerative colitis		False										DC	0.1697393038829068	1.0	1.0	1.1483847029518686	DESCRIPTIVE_GENE_SIGNAL	False	0.0051191905402183	9.01294688709173e-05	0.0021067764938539
EPHX2	0	2		psoriasis;ulcerative colitis		False										Mono_macro	0.1201218220122457	1.0	1.0	1.5020860823690692	DESCRIPTIVE_GENE_SIGNAL	False	0.0060246673286895	0.745069182891662	0.891672336635959
GPR183	2	1	Crohn disease;Sjogren syndrome	psoriasis	0.2452077373699298	False	1.240930199623108	NO_GO_WAVE62_TARGET_RESOLUTION	1.0	0.0	0.0					DC	0.0822992639831455	1.0	1.0	2.147547758438998	DESCRIPTIVE_GENE_SIGNAL				
P2RX7	1	1	type 1 diabetes mellitus	ulcerative colitis	0.3568862161623112	False										DC	0.2961735891453396	1.0	1.0	1.741681531856015	DESCRIPTIVE_GENE_SIGNAL	False	0.0143660847536592	0.0204897929317287	0.1044200208244
MFGE8	1	0	type 1 diabetes mellitus		0.2033207085232548	False										Mono_macro	0.0022612143547957	0.5984736235424485	1.0	2.948815730947822	DESCRIPTIVE_GENE_SIGNAL				
GPR65	1	2	Sjogren syndrome	type 1 diabetes mellitus;ulcerative colitis	0.8441184433525579	False	4.2649283939359135	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	2.0	1.0	0.982319288825745					DC	0.0321767641410888	1.0	1.0	2.887984173899131	DESCRIPTIVE_GENE_SIGNAL				
SLC15A4	1	0	Crohn disease		0.2122184894027283	False	2.382724674313512	NO_GO_WAVE62_TARGET_RESOLUTION	1.0	1.0	0.0					Mono_macro	0.0269938464341292	0.8488954332555355	1.0	2.8059017297066005	DESCRIPTIVE_GENE_SIGNAL				
