compartment	feature	auc	exact_p
b_plasma_like	treated_IFN_APC	1.0	0.015873015873015872
b_plasma_like	locked_delta_score	0.95	0.031746031746031744
b_plasma_like	treated_HLAII	0.9	0.06349206349206349
b_plasma_like	hla_delta_score	0.7	0.4126984126984127
b_plasma_like	baseline_HLAII	0.55	0.9047619047619048
b_plasma_like	baseline_IFN_APC	0.5	1.0
epithelial_like	treated_IFN_APC	1.0	0.015873015873015872
epithelial_like	treated_HLAII	0.95	0.031746031746031744
epithelial_like	locked_delta_score	0.9	0.06349206349206349
epithelial_like	hla_delta_score	0.8	0.19047619047619047
epithelial_like	baseline_HLAII	0.65	0.5555555555555556
epithelial_like	baseline_IFN_APC	0.5	1.0
myeloid_apc_like	treated_IFN_APC	1.0	0.015873015873015872
myeloid_apc_like	locked_delta_score	0.8	0.19047619047619047
myeloid_apc_like	baseline_IFN_APC	0.65	0.5555555555555556
myeloid_apc_like	treated_HLAII	0.65	0.5555555555555556
myeloid_apc_like	hla_delta_score	0.6	0.7301587301587301
myeloid_apc_like	baseline_HLAII	0.55	0.9047619047619048
stromal_endothelial_like	treated_IFN_APC	0.9	0.06349206349206349
stromal_endothelial_like	locked_delta_score	0.75	0.2857142857142857
stromal_endothelial_like	baseline_HLAII	0.65	0.5555555555555556
stromal_endothelial_like	treated_HLAII	0.65	0.5555555555555556
stromal_endothelial_like	hla_delta_score	0.55	0.9047619047619048
stromal_endothelial_like	baseline_IFN_APC	0.5	1.0
t_cell_like	treated_IFN_APC	1.0	0.015873015873015872
t_cell_like	locked_delta_score	1.0	0.015873015873015872
t_cell_like	treated_HLAII	0.8	0.19047619047619047
t_cell_like	baseline_HLAII	0.65	0.5555555555555556
t_cell_like	baseline_IFN_APC	0.55	0.9047619047619048
t_cell_like	hla_delta_score	0.55	0.9047619047619048
