event_probability	molecular_hr_per_latent_sd	minimum_analyzable_n_reaching_rule	conditional_gross_n_at_10pct_each_loss	positive_call_probability_at_decision_n_or_largest	minimum_seed_probability_at_decision_n_or_largest	largest_n_simulated
0.15	1.2	not_reached	not_reached	0.5294444444444445	0.505	1500
0.15	1.3	1500	2301	0.8333333333333334	0.82	1500
0.15	1.5	600	921	0.8116666666666666	0.8033333333333333	1500
0.15	1.7	450	690	0.8983333333333333	0.8966666666666666	1500
0.3	1.2	not_reached	not_reached	0.7888888888888889	0.78	1500
0.3	1.3	900	1380	0.8705555555555555	0.845	1500
0.3	1.5	450	690	0.9177777777777778	0.9016666666666666	1500
0.3	1.7	450	690	0.9916666666666667	0.9866666666666667	1500
