n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	seed
600	600	36	0.06	0.043651428759454075	0.08194686813260255	0.016666666666666666	0.043333333333333335	-0.052857741315544604	-0.006742689253293982	61.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	55301
600	600	120	0.2	0.1699473686822437	0.23386965192597675	0.2	0.0	1.1477834306582042	0.14697451967494507	61.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.2	55301
600	600	222	0.37	0.3323095384746026	0.40934450378895965	0.37	0.0	1.6149098788410887	0.2090116622180771	61.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.3	55301
600	600	419	0.6983333333333334	0.6604413808873549	0.7337018110438772	0.6983333333333334	0.0	2.4717134354034624	0.3231561051962383	60.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	55301
600	600	539	0.8983333333333333	0.8715621099533396	0.9200364015724122	0.8983333333333333	0.0	3.1681450841015844	0.4163825171533033	60.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.7	55301
600	600	32	0.05333333333333334	0.038029103590111496	0.07432068264879449	0.03	0.023333333333333334	0.01751495050733412	0.0015768021341225512	121.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	55301
600	600	192	0.32	0.28392122394605246	0.3583689884188799	0.32	0.0	1.5734789849780508	0.1434068882730217	121.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.2	55301
600	600	349	0.5816666666666667	0.541799114298437	0.6204951412026586	0.5816666666666667	0.0	2.188810590188641	0.19786448771825615	121.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.3	55301
600	600	558	0.93	0.9067308408225561	0.9477980963056616	0.93	0.0	3.41212846567556	0.3141868829008264	122.0	405.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	55301
600	600	597	0.995	0.9854037936547144	0.998298122341722	0.995	0.0	4.383238796790851	0.40333934368201396	122.0	406.0	clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.7	55301
600	600	31	0.051666666666666666	0.036634743907307504	0.0724029146683108	0.023333333333333334	0.028333333333333332	-0.01745699692214366	-0.0019033601736551525	81.0	541.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.0	55301
600	600	164	0.2733333333333333	0.23919928040395344	0.3103513573889243	0.2733333333333333	0.0	1.385705293879623	0.1523442653106991	81.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.2	55301
600	600	289	0.4816666666666667	0.44192980844556506	0.5216367872582708	0.4816666666666667	0.0	1.8956982066233556	0.21032559563997483	81.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.3	55301
600	600	484	0.8066666666666666	0.7731570899317954	0.8362744001131348	0.8066666666666666	0.0	2.9712672548534216	0.3348635982765247	80.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.5	55301
600	600	569	0.9483333333333334	0.9275970853316893	0.9633652560926926	0.9483333333333334	0.0	3.6633349625615654	0.4078822926013165	81.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.7	55301
600	600	27	0.045	0.03110848866772835	0.0646806592547393	0.025	0.02	-0.0037805480729402193	-0.0002910213465697398	162.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.0	55301
600	600	231	0.385	0.34691372615333516	0.42454946507981617	0.385	0.0	1.7121138924872559	0.1360410139625189	161.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.2	55301
600	600	430	0.7166666666666667	0.6793205537656973	0.7512560424616991	0.7166666666666667	0.0	2.4770857961069455	0.19461105087452799	162.5	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.3	55301
600	600	581	0.9683333333333334	0.9510727848694855	0.9796350885143483	0.9683333333333334	0.0	3.7709625628718166	0.2991017228134212	162.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.5	55301
600	600	600	1.0	0.9936382989862994	1.0000000000000002	1.0	0.0	5.0011401684066925	0.4040985849990263	162.0	540.0	clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.7	55301
600	600	27	0.045	0.03110848866772835	0.0646806592547393	0.023333333333333334	0.021666666666666667	0.02921551662307233	0.0025598376233786253	121.0	811.0	clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	55301
600	600	237	0.395	0.35667139292040984	0.43466456429246747	0.3933333333333333	0.0016666666666666668	1.6432101867170055	0.14950289286480073	121.0	810.5	clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.2	55301
600	600	366	0.61	0.5703908518919303	0.6482095738850555	0.61	0.0	2.2081930153151483	0.19928197467699518	121.0	810.0	clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.3	55301
600	600	558	0.93	0.9067308408225561	0.9477980963056616	0.93	0.0	3.4275707221200777	0.3147388705523333	122.0	810.0	clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	55301
600	600	599	0.9983333333333333	0.9906204395238613	0.9997057317991506	0.9983333333333333	0.0	4.557766297461336	0.4197144137486518	121.0	810.0	clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.7	55301
