stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_z_across_seeds	median_one_step_log_hr_across_seeds	median_events_across_seeds	median_usable_n_across_seeds
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	1800	1800	94	0.052222222222222225	0.042864943265395736	0.06348667532203556	0.043333333333333335	0.06	0.018333333333333333	0.03388888888888889	0.030947728590823932	0.003815576776621925	61.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.2	1800	1800	356	0.19777777777777777	0.18002845424538086	0.21681432554563976	0.195	0.2	0.19666666666666666	0.0011111111111111111	1.1477834306582042	0.14697451967494507	61.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.3	1800	1800	669	0.37166666666666665	0.3496374740614905	0.39424245632771127	0.35	0.395	0.37166666666666665	0.0	1.6149098788410887	0.2090116622180771	61.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	1800	1800	1238	0.6877777777777778	0.6659893630236522	0.7087664098267799	0.6533333333333333	0.7116666666666667	0.6877777777777778	0.0	2.4717134354034624	0.3231561051962383	61.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.7	1800	1800	1617	0.8983333333333333	0.8835130336246055	0.9114570525699499	0.8966666666666666	0.9	0.8983333333333333	0.0	3.1681450841015844	0.4161465871591754	60.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	1800	1800	87	0.04833333333333333	0.03935131830965567	0.05923908604714537	0.03333333333333333	0.058333333333333334	0.023333333333333334	0.025	-0.037488781408406675	-0.0032278029565263617	121.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.2	1800	1800	593	0.32944444444444443	0.3081147266231711	0.35150059211918794	0.32	0.3416666666666667	0.3288888888888889	0.0005555555555555556	1.5734789849780508	0.1434068882730217	121.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.3	1800	1800	1038	0.5766666666666667	0.5537018826115193	0.5993049122209057	0.5683333333333334	0.5816666666666667	0.5766666666666667	0.0	2.188810590188641	0.19786448771825615	121.5	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	1800	1800	1652	0.9177777777777778	0.9041800190379726	0.9295961383097341	0.9016666666666666	0.93	0.9177777777777778	0.0	3.2753499083931072	0.304823097953297	122.0	405.0
clean	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.7	1800	1800	1785	0.9916666666666667	0.9862958321388443	0.9949433955908372	0.9866666666666667	0.995	0.9916666666666667	0.0	4.2861656892503355	0.3947111552273051	122.0	406.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.0	1800	1800	88	0.04888888888888889	0.039852243095576584	0.059846906151314494	0.045	0.051666666666666666	0.025555555555555557	0.023333333333333334	0.006330143533165984	0.0006976224015180798	81.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.2	1800	1800	453	0.25166666666666665	0.23216183966247703	0.272229194467277	0.225	0.2733333333333333	0.25166666666666665	0.0	1.3044730159573836	0.14463083293283213	81.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.3	1800	1800	846	0.47	0.4470315808233137	0.4930961951118244	0.44666666666666666	0.4816666666666667	0.47	0.0	1.8956982066233556	0.21032559563997483	81.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.5	1800	1800	1461	0.8116666666666666	0.7929480447334715	0.8290578386070385	0.8033333333333333	0.825	0.8116666666666666	0.0	2.8956240991240563	0.320563681186486	81.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.15	1.7	1800	1800	1720	0.9555555555555556	0.9450259374874543	0.9641448723863748	0.9483333333333334	0.96	0.9555555555555556	0.0	3.678897430173091	0.4117753810703225	81.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.0	1800	1800	88	0.04888888888888889	0.039852243095576584	0.059846906151314494	0.045	0.051666666666666666	0.027777777777777776	0.021111111111111112	0.07001235175185425	0.005540238749760616	162.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.2	1800	1800	739	0.41055555555555556	0.3880436451953025	0.4334484275002018	0.385	0.44166666666666665	0.41055555555555556	0.0	1.7593313877834564	0.13838357771640775	162.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.3	1800	1800	1283	0.7127777777777777	0.6914395134325282	0.7332097794719554	0.6916666666666667	0.73	0.7127777777777777	0.0	2.4770857961069455	0.1977675568978404	162.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.5	1800	1800	1738	0.9655555555555555	0.9560900768610553	0.9730381410343943	0.9633333333333334	0.9683333333333334	0.9655555555555555	0.0	3.853332834100665	0.3063578840543554	162.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	600	0.3	1.7	1800	1800	1798	0.9988888888888889	0.9959576709456518	0.9996952403552003	0.9966666666666667	1.0	0.9988888888888889	0.0	4.9882858522424005	0.39925326638130154	162.0	540.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	1800	1800	76	0.042222222222222223	0.03386595714287006	0.0525282534229406	0.03833333333333333	0.045	0.02388888888888889	0.018333333333333333	0.02921551662307233	0.0025598376233786253	121.0	810.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.2	1800	1800	659	0.3661111111111111	0.3441632621112132	0.3886292193770883	0.3466666666666667	0.395	0.365	0.0011111111111111111	1.5763424579929646	0.1447922905832103	121.0	810.5
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.3	1800	1800	1089	0.605	0.5822160086471914	0.6273367755798253	0.5883333333333334	0.6166666666666667	0.605	0.0	2.2081930153151483	0.19928197467699518	121.0	810.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	1800	1800	1683	0.935	0.9226593988757376	0.9454878500647604	0.9266666666666666	0.9483333333333334	0.935	0.0	3.5198597255752606	0.32096122138684413	122.0	810.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.7	1800	1800	1792	0.9955555555555555	0.9912542158971576	0.997746226063154	0.9933333333333333	0.9983333333333333	0.9955555555555555	0.0	4.557611328931476	0.4197144137486518	121.0	810.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	1800	1800	92	0.051111111111111114	0.041859382730838834	0.062274746076412396	0.045	0.058333333333333334	0.02388888888888889	0.02722222222222222	0.014652872302870249	0.0009522707653241565	244.0	810.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.2	1800	1800	1069	0.5938888888888889	0.5710247196293634	0.6163531667958526	0.5683333333333334	0.6216666666666667	0.5938888888888889	0.0	2.1809446195285758	0.13955729945577644	243.0	810.0
clean	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.3	1800	1800	1567	0.8705555555555555	0.8542549988513726	0.8852778428386812	0.845	0.895	0.8705555555555555	0.0	3.1655115011041914	0.20322045417101228	243.0	810.0
