seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor	mean_unique_score_levels
57131	exact_tied	0.0	1	4	5	0.5533988888888889	0.007936507936507936	0.9446954942508259	4.3238
57131	exact_tied	0.0	2	5	5	0.5425687301587302	0.003968253968253968	0.9552778025455133	4.46154
57131	exact_tied	0.0	3	6	6	0.5319109090909091	0.0010822510822510823	0.9661020312892017	4.65834
57131	exact_tied	0.0	4	7	7	0.5243307634032635	0.0002913752913752914	0.9746716590697381	4.78204
57131	exact_tied	0.0	5	8	8	0.5161434296814297	7.77000777000777e-05	0.9822115479536264	4.85782
57131	exact_tied	0.0	6	10	10	0.5135036851847843	2.7062720561172574e-05	0.985510480148554	4.94014
57131	exact_tied	0.0	7	4	5	0.5496430158730159	0.007936507936507936	0.9466026177933907	4.32552
57131	exact_tied	0.0	8	5	5	0.5415088888888888	0.003968253968253968	0.955035788068228	4.46244
57131	exact_tied	0.0	9	6	6	0.5325522077922077	0.0010822510822510823	0.9643202141896385	4.65692
57131	exact_tied	0.0	10	7	7	0.5251907284382284	0.0002913752913752914	0.9747118919729006	4.78104
57131	exact_tied	0.0	11	8	8	0.5198157902097902	7.77000777000777e-05	0.9783339039397624	4.85948
57131	exact_tied	0.0	12	10	10	0.5127716194331984	3.247526467340709e-05	0.9867801759433167	4.9407
57131	exact_tied	0.5	1	4	5	0.3649261904761905	0.007936507936507936	1.2126095863547819	4.27616
57131	exact_tied	0.5	2	5	5	0.3426226984126984	0.003968253968253968	1.3224659410054551	4.3922
57131	exact_tied	0.5	3	6	6	0.3142005844155844	0.0010822510822510823	1.6919569085182866	4.58816
57131	exact_tied	0.5	4	7	7	0.2933300815850816	0.0002913752913752914	2.1378135316575273	4.71844
57131	exact_tied	0.5	5	8	8	0.27321735198135194	7.77000777000777e-05	2.657620711025364	4.81076
57131	exact_tied	0.5	6	10	10	0.24231195663469662	5.412544112234515e-06	4.118293027235528	4.90874
57131	exact_tied	0.5	7	4	5	0.36469285714285715	0.007936507936507936	1.205788409711762	4.27116
57131	exact_tied	0.5	8	5	5	0.3451384126984127	0.003968253968253968	1.3161798214404168	4.39422
57131	exact_tied	0.5	9	6	6	0.31859231601731597	0.0010822510822510823	1.660234863367966	4.59078
57131	exact_tied	0.5	10	7	7	0.29342641025641025	0.0002913752913752914	2.1420879234984316	4.71876
57131	exact_tied	0.5	11	8	8	0.27290111577311577	7.77000777000777e-05	2.65775019479865	4.80522
57131	exact_tied	0.5	12	10	10	0.24247946827166642	5.412544112234515e-06	3.963780577735377	4.91024
57131	exact_tied	0.9	1	4	5	0.24384634920634918	0.007936507936507936	1.7094375926893783	4.16654
57131	exact_tied	0.9	2	5	5	0.2176420634920635	0.003968253968253968	2.1989847869564807	4.2583
57131	exact_tied	0.9	3	6	6	0.18522151515151516	0.0010822510822510823	3.3336430636251206	4.46674
57131	exact_tied	0.9	4	7	7	0.15729182400932404	0.0002913752913752914	4.941976575852811	4.61738
57131	exact_tied	0.9	5	8	8	0.13830488267288268	7.77000777000777e-05	7.264754468627795	4.71586
57131	exact_tied	0.9	6	10	10	0.10433411851306587	5.412544112234515e-06	15.151877578669488	4.84878
57131	exact_tied	0.9	7	4	5	0.24404349206349205	0.007936507936507936	1.7143441196855067	4.1679
57131	exact_tied	0.9	8	5	5	0.219926746031746	0.003968253968253968	2.1950287695518114	4.25792
57131	exact_tied	0.9	9	6	6	0.182923658008658	0.0010822510822510823	3.373555159965576	4.46414
57131	exact_tied	0.9	10	7	7	0.15837941724941723	0.0002913752913752914	4.971412175739283	4.61666
57131	exact_tied	0.9	11	8	8	0.1369792027972028	7.77000777000777e-05	7.278624783338814	4.72106
57131	exact_tied	0.9	12	10	10	0.10581512925155341	5.412544112234515e-06	15.668155493946946	4.84994
57131	v42_plus_one_mc_tied	0.0	1	4	5	0.5504614758524148	0.0051994800519948	0.9458089485840394	4.32754
57131	v42_plus_one_mc_tied	0.0	2	5	5	0.5428106969303069	0.0024997500249975004	0.9553380153628557	4.4636
57131	v42_plus_one_mc_tied	0.0	3	6	6	0.5306589221077893	0.00039996000399960006	0.9675384062926454	4.65522
