scenario	seed	n_screens	stop_probability
clean	20260901	5000	0.2438
clean	20260902	5000	0.2472
clean	20260903	5000	0.2498
common_hidden_drift	20260901	5000	1.0
common_hidden_drift	20260902	5000	1.0
common_hidden_drift	20260903	5000	1.0
control_specific_artifact	20260901	5000	1.0
control_specific_artifact	20260902	5000	0.9998
control_specific_artifact	20260903	5000	0.9996
