n_train	n_test	scenario	seed	n_screens	parent_pass_probability	lodo_pass_probability	median_min_gain	median_min_correlation
12	8	complementary	20260901	800	0.9825	0.945	0.27837226382112007	0.8294183154300885
12	8	complementary	20260902	800	0.9775	0.9425	0.2804953973800631	0.8357042346738599
12	8	complementary	20260903	800	0.9875	0.945	0.2771954100210031	0.8338761335026335
12	8	paired_high_leverage	20260901	800	0.00375	0.0	-0.11356952831519984	-0.13066235807011561
12	8	paired_high_leverage	20260902	800	0.01375	0.0	-0.10951380612934869	-0.1301422077724513
12	8	paired_high_leverage	20260903	800	0.0075	0.0	-0.11566661030145042	-0.11425037463278015
16	12	complementary	20260901	800	0.99875	0.99375	0.3029586544949784	0.8837409245488237
16	12	complementary	20260902	800	0.9925	0.98375	0.30838013927898367	0.8845000385359718
16	12	complementary	20260903	800	0.9975	0.99125	0.3017331423271666	0.8831202749281877
16	12	paired_high_leverage	20260901	800	0.0	0.0	-0.0776439833023026	-0.09771955728763199
16	12	paired_high_leverage	20260902	800	0.0	0.0	-0.07700895947151432	-0.11797856199256285
16	12	paired_high_leverage	20260903	800	0.0	0.0	-0.07893663082359392	-0.1034048562400543
