gene	n_induced_contexts_tested	negative_effect_fraction	mean_sirna_effect_vs_ctrl	wilcoxon_less_p	nominal_negative_rescue_count	fdr10_negative_rescue_count	ms_expr_delta_log2	ms_expr_fdr	ms_genetic_score	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	wave103_call	wave122_call	promote	blockers
LIFR	21	0.7619047619047619	-0.14425321277744074	0.0024394989013671875	6	0	-0.7967699851217285	0.9203090508605808	0.0	0	0	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	NO_GO_FRESH_SCAN	False	no_fdr10_siRNA_rescue;no_ms_anchor;insufficient_cross_disease_cell_state_anchor;prior_local_no_go
LIF	0				0	0	0.9270266450325462	0.8989378106274888	0.0	2	0	type 1 diabetes mellitus;ulcerative colitis	NO_GO_EXPRESSION_OR_CLASS_ONLY	NO_GO_FRESH_SCAN	False	weak_or_narrow_siRNA_rescue;no_fdr10_siRNA_rescue;no_ms_anchor;insufficient_cross_disease_cell_state_anchor;prior_local_no_go
IL6ST	0				0	0	0.0419912644975433	0.9708581480143637	0.1300268173217773	2	0	Crohn disease;ulcerative colitis	NO_GO_NO_MS_ANCHOR	NO_GO_FRESH_SCAN	False	weak_or_narrow_siRNA_rescue;no_fdr10_siRNA_rescue;no_ms_anchor;insufficient_cross_disease_cell_state_anchor;prior_local_no_go
OSMR	0				0	0	-0.1853364301887587	0.9801638168834976	0.0	1	0	psoriasis	NO_GO_PRIOR_OR_SAFETY_BLOCKED	NO_GO_FRESH_SCAN	False	weak_or_narrow_siRNA_rescue;no_fdr10_siRNA_rescue;no_ms_anchor;insufficient_cross_disease_cell_state_anchor;prior_local_no_go
CUX1	21	0.8571428571428571	-0.3068882363597114	6.532669067382812e-05	10	0	0.1267612944107394	0.917114990754058	0.0	1	0	Crohn disease	NO_GO_EXPRESSION_OR_CLASS_ONLY	NO_GO_FRESH_SCAN	False	no_fdr10_siRNA_rescue;no_ms_anchor;insufficient_cross_disease_cell_state_anchor;prior_local_no_go;weak_reachability
STAT3	21	0.9047619047619048	-0.2396477324151221	0.0005879402160644531	3	0	-0.0052452399033047	0.9982687727683835	0.6380651275555957	2	2	Crohn disease;ulcerative colitis	NO_GO_PRIOR_OR_SAFETY_BLOCKED	NO_GO_FRESH_SCAN	False	no_fdr10_siRNA_rescue;prior_local_no_go;weak_reachability
STAT4	21	0.9047619047619048	-0.27462448501819786	9.870529174804688e-05	4	0	0.8684079555977076	0.9239963547089984	0.845672070980072	2	0	Crohn disease;ulcerative colitis	NO_GO_PRIOR_OR_SAFETY_BLOCKED	NO_GO_FRESH_SCAN	False	no_fdr10_siRNA_rescue;insufficient_cross_disease_cell_state_anchor;prior_local_no_go;weak_reachability
ELF3	21	0.5714285714285714	-0.053285027410249305	0.12862396240234375	3	0	-0.394465066483463	0.969578296416576	0.0	1	1	type 1 diabetes mellitus	NO_GO_EXPRESSION_OR_CLASS_ONLY	NO_GO_FRESH_SCAN	False	weak_or_narrow_siRNA_rescue;no_fdr10_siRNA_rescue;no_ms_anchor;insufficient_cross_disease_cell_state_anchor;prior_local_no_go;weak_reachability
