gene	chembl_human_target_count	chembl_exact_human_target_count	chembl_exact_target_ids	chembl_known_activity_total_count	uniprot_accessions	uniprot_primary_accession	uniprot_protein_names	uniprot_locations	uniprot_keywords	europepmc_hit_count	europepmc_top_titles	clinicaltrials_returned_count	clinicaltrials_top_records	chembl_url	uniprot_url	europepmc_url	clinicaltrials_url	google_patents_url
DAB2	1	0		0	P98082	P98082	Disabled homolog 2;;	Cytoplasm;Cytoplasmic vesicle, clathrin-coated vesicle membrane;Membrane, clathrin-coated pit	3D-structure;Acetylation;Alternative splicing;Apoptosis;Coated pit;Cytoplasm;Cytoplasmic vesicle;Developmental protein;Differentiation;Endocytosis;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport;Tumor suppressor;Wnt signaling pathway	1109	Phytochemicals as modulators of dendritic cell functions: implications for tolerogenic cell-based therapy. || Comprehensive Review of Antiphospholipid Syndrome: Over Four Decades of Advances and Challenges. || Receptor-interacting protein kinase 2 (RIPK2): Structural insights, pathophysiological roles, and medicinal chemistry advances in inhibitor design.	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=DAB2	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ADAB2%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22DAB2%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=DAB2%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=DAB2%20autoimmune%20inhibitor%20agonist
CD9	0	0		0	P21926	P21926	CD9 antigen;Tetraspanin;Tetraspanin	Cell membrane;Membrane;Secreted, extracellular exosome	3D-structure;Cell adhesion;Cell membrane;Direct protein sequencing;Disulfide bond;Fertilization;Glycoprotein;Lipoprotein;Membrane;Palmitate;Proteomics identification;Reference proteome;Secreted;Transmembrane;Transmembrane helix	5455	Role of interleukin-16 in human diseases: a novel potential therapeutic target. || Regulatory B Cells at the Crossroads of Epigenetic Control and Immune Homeostasis. || Potential of chimeric antigen receptor (CAR) T cell immunotherapy in systemic lupus erythematosus (SLE).	3	NCT02138331:Effect of Microvesicles and Exosomes Therapy on β-cell Mass in Type I Diabetes Mellitus (T1DM):UNKNOWN || NCT03816189:Role of Eosinophil in Fibrogenesis of Systemic Sclerosis:COMPLETED || NCT07146087:Allogeneic Mesenchymal Stem Cell-Derived Exosome Therapy for Progressive Multiple Sclerosis:SUSPENDED	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD9	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ACD9%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CD9%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=CD9%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=CD9%20autoimmune%20inhibitor%20agonist
PARK7	2	2	CHEMBL5169188;CHEMBL6066048	142	Q99497	Q99497	Parkinson disease protein 7;Parkinson disease protein 7 homolog;Parkinson disease protein 7 homolog	Cell membrane;Cytoplasm;Endoplasmic reticulum;Membrane raft;Mitochondrion;Nucleus	3D-structure;Acetylation;Autophagy;Cell membrane;Chaperone;Copper;Cytoplasm;DNA damage;DNA repair;Direct protein sequencing;Disease variant;Endoplasmic reticulum;Fertilization;Hydrolase;Inflammatory response;Isopeptide bond;Lipoprotein;Membrane;Mitochondrion;Neurodegeneration	979	A curated list of immune system associated genes related to cancer. || Inhibition of DJ-1 protects from lupus onset and severity. || Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy.	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PARK7	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3APARK7%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PARK7%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=PARK7%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=PARK7%20autoimmune%20inhibitor%20agonist
PSAP	1	1	CHEMBL3580523	12	P07602	P07602	Prosaposin;Mitochondrial carrier homolog 1;Pulmonary surfactant-associated protein A1;Pulmonary surfactant-associated protein A2	Lysosome;Mitochondrion outer membrane;Secreted;Secreted, extracellular space, extracellular matrix;Secreted, extracellular space, surface film	3D-structure;Acetylation;Alternative splicing;Apoptosis;Calcium;Collagen;Direct protein sequencing;Disease variant;Disulfide bond;Extracellular matrix;Gangliosidosis;Gaseous exchange;Gaucher disease;Glycoprotein;Hydroxylation;Lectin;Leukodystrophy;Lipid metabolism;Lysosome;Membrane	643	PBMC transcriptomic signatures reflect immune dynamics and disease activity in psoriatic arthritis. || Exploring proteomic immunoprofiles: common neurological and immunological pathways in multiple sclerosis and type 1 diabetes mellitus. || Editorial: NETosis, complement activation and pattern recognition at the intersection of inflammatory disorders.	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PSAP	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3APSAP%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PSAP%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=PSAP%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=PSAP%20autoimmune%20inhibitor%20agonist
LYN	5	2	CHEMBL3905;CHEMBL6066565	6411	P07948	P07948	Tyrosine-protein kinase Lyn;Tyrosine-protein kinase;	Cell membrane;Cytoplasm;Cytoplasm, perinuclear region;Golgi apparatus;Membrane;Nucleus	3D-structure;ATP-binding;Adaptive immunity;Alternative splicing;Cell membrane;Cytoplasm;Disease variant;Golgi apparatus;Host-virus interaction;Immunity;Inflammatory response;Innate immunity;Kinase;Lipoprotein;Membrane;Myristate;Nucleotide-binding;Nucleus;Palmitate;Phosphoprotein	4575	B-1 cells contribute to increased total IgM and shape IgG autoreactivity profiles in Lyn-/- mice but are not a major source of lupus-associated pathogenic autoantibodies. || Paradoxical Expression of Ionotropic Glutamate Receptors in Leucocytes. || Burden of herpes zoster among patients with systemic lupus erythematosus in the USA.	4	NCT06474598:An Adaptive Design Study of MTX228:RECRUITING || NCT00948493:Treatment Use of Generex Oral-lyn™ in Patients With Diabetes:NO_LONGER_AVAILABLE || NCT06278337:X-linked Moesin Associated Immunodeficiency:RECRUITING	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LYN	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ALYN%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22LYN%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=LYN%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=LYN%20autoimmune%20inhibitor%20agonist
HEXA	2	2	CHEMBL1250415;CHEMBL3038485	147	P06865	P06865	Beta-hexosaminidase subunit alpha;Beta-hexosaminidase subunit alpha;Beta-hexosaminidase subunit alpha	Lysosome	3D-structure;Alternative splicing;Direct protein sequencing;Disease variant;Disulfide bond;Gangliosidosis;Glycoprotein;Glycosidase;Hydrolase;Lipid metabolism;Lysosome;Neurodegeneration;Proteomics identification;Reference proteome;Signal;Zymogen	1715	A curated list of immune system associated genes related to cancer. || The EGR1/ZFP36 axis governs glycosphingolipid metabolic reprogramming in monocyte-derived macrophages in guillain-barré syndrome || Hexa classification of erythemato-squamous disease using deep dual features-based neural network.	5	NCT02096263:Study to Determine the Immunogenicity and Safety of GlaxoSmithKline (GSK) Biologicals; Infanrix Hexa at 2, 4 and 6 Months of Age in Healthy Infants:COMPLETED || NCT01144663:Immunogenicity and Safety of Meningococcal Vaccine GSK 134612 Co-administered With Pneumococcal and DTPa-HBV-IPV/Hib Vaccines:COMPLETED || NCT03047369:The Myelin Disorders Biorepository Project:RECRUITING	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=HEXA	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3AHEXA%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXA%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=HEXA%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=HEXA%20autoimmune%20inhibitor%20agonist
HEXB	2	2	CHEMBL5877;CHEMBL3038485	204	P07686	P07686	Beta-hexosaminidase subunit beta;Beta-hexosaminidase;Beta-hexosaminidase subunit beta	Cytoplasmic vesicle, secretory vesicle, Cortical granule;Lysosome	3D-structure;Cytoplasmic vesicle;Direct protein sequencing;Disease variant;Disulfide bond;Gangliosidosis;Glycoprotein;Glycosidase;Hydrolase;Lipid metabolism;Lysosome;Neurodegeneration;Proteomics identification;Reference proteome;Signal;Zymogen	39530	Autoimmune diseases are associated with increased neurodegenerative and cerebrovascular risk, while systemic corticosteroid exposure shows limited neurodegenerative and modest vascular associations. || The Emerging Role of Dimethyl Fumarate in Alzheimer’s Disease—A Systematic Review of Available Preclinical Studies || Heat Shock Protein 70 Deficient Mice Exhibit Reduced Psoriasis-like Skin Inflammation.	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=HEXB	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3AHEXB%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXB%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=HEXB%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=HEXB%20autoimmune%20inhibitor%20agonist
SP140	2	2	CHEMBL3108643;CHEMBL4105997	80	Q13342	Q13342	Nuclear body protein SP140;;	Cytoplasm;Nucleus;Nucleus, PML body	3D-structure;Alternative splicing;Bromodomain;Cytoplasm;DNA-binding;Metal-binding;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Zinc;Zinc-finger	320	Rewiring interferon fate: a bidirectional strategy for immune homeostasis. || SP140 represses specific loci by recruiting polycomb repressive complex 2 and NuRD complex. || Anti-Mi2 autoantibodies target PHD fingers of SP140L and TIF1γ, while anti-TIF1γ autoantibodies primarily bind TIF1γ outside the PHD region.	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SP140	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ASP140%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=SP140%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=SP140%20autoimmune%20inhibitor%20agonist
RGS14	0	0		0	O43566	O43566	Regulator of G-protein signaling 14;	Cell membrane;Cell projection, dendrite;Cell projection, dendritic spine;Cytoplasm;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle;Cytoplasm, cytoskeleton, spindle pole;Membrane;Nucleus;Nucleus, PML body;Postsynaptic density	3D-structure;Alternative splicing;Cell cycle;Cell division;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;GTPase activation;Membrane;Microtubule;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Signal transduction inhibitor;Synapse	141	InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF insulator disruption across seven autoimmune diseases || Immune cell-based transcriptomic Mendelian randomization and colocalization study on type 1 diabetes. || Mendelian randomization studies in atopic dermatitis: causal insights across omics layers	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=RGS14	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ARGS14%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22RGS14%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=RGS14%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=RGS14%20autoimmune%20inhibitor%20agonist
STAT4	2	2	CHEMBL4523296;CHEMBL4523706	27	Q14765	Q14765	Signal transducer and activator of transcription 4;Signal transducer and activator of transcription;Signal transducer and activator of transcription	Cytoplasm;Nucleus	Acetylation;Activator;Coiled coil;Cytoplasm;DNA-binding;Disease variant;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;SH2 domain;Systemic lupus erythematosus;Transcription;Transcription regulation	6781	Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis and Four Autoimmune Diseases. || Identification of genetic risk loci associated with aquaporin 4-positive neuromyelitis optica spectrum disorder: a genome-wide association study. || Genetic Polymorphisms in Systemic Lupus Erythematosus and Their Clinical Implications: A Narrative Review.	3	NCT02535689:Safety of Tofacitinib, an Oral Janus Kinase Inhibitor, in Systemic Lupus Erythematosus:COMPLETED || NCT01603121:Lisofylline as Continuous Subcutaneous and Intravenous Administration in Subjects With Type 1 Diabetes Mellitus:TERMINATED || NCT03893344:STAT4 in Multiple Sclerosis by PCR and Flow Cytometry:COMPLETED	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=STAT4	https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ASTAT4%20AND%20organism_id%3A9606&format=json&size=5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22STAT4%22%20AND%20%28autoimmune%20OR%20%22multiple%20sclerosis%22%20OR%20Crohn%20OR%20psoriasis%20OR%20lupus%29&format=json&pageSize=5	https://clinicaltrials.gov/api/v2/studies?query.term=STAT4%20autoimmune&pageSize=5&format=json	https://patents.google.com/?q=STAT4%20autoimmune%20inhibitor%20agonist
