analysis	disease_name	compartment	role	gene	metric	n_case	n_control	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	positive_nominal	negative_nominal	residual_layer	residual_model	covariate_set	covariate_count	n_complete_for_model	covariate_slope	covariate_r2	raw_n_case	raw_n_control	raw_mean_case	raw_mean_control	raw_delta_case_minus_control	raw_hedges_g	raw_welch_t	raw_p	residual_n_case	residual_n_control	residual_mean_case	residual_mean_control	residual_delta_case_minus_control	residual_hedges_g	residual_welch_t	residual_p	residual_fdr	retains_nominal_positive	retains_direction_only
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IFI30	mean_z_vs_controls	6.0	6.0	-0.0105752354950879	-0.0186882479827698	0.0081130124876819	0.1054844986092524	0.197929886919	0.8470686562777052	0.924633791490264	False	False	raw																									
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IFI30	detection_fraction	6.0	6.0	0.0362029422650102	0.0297446833173316	0.0064582589476786	0.3478163685986116	0.6526385906266413	0.5295101366473	0.7316336660703161	False	False	raw																									
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IL7R	mean_z_vs_controls	6.0	6.0	0.0683729612026662	0.0148682890286375	0.0535046721740286	0.4871517227652415	0.9140858293927818	0.3919049750622724	0.6384817647521116	False	False	raw																									
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	IL7R	detection_fraction	6.0	6.0	0.0096293504093994	0.0046814243851763	0.0049479260242231	0.9003863077613752	1.6894744007722204	0.137949993456136	0.4386476170991602	False	False	raw																									
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	SP140	mean_z_vs_controls	6.0	6.0	0.0295289188592049	-0.0063950418360174	0.0359239606952223	0.6854719510723569	1.2862116002890809	0.2434480211529528	0.5332352057265723	False	False	raw																									
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	SP140	detection_fraction	6.0	6.0	0.0032614036205845	0.0011402310654409	0.0021211725551435	0.7698697658379998	1.444574678779451	0.2014831588214288	0.4998468231453288	False	False	raw																									
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IFI30	mean_z_vs_controls	6.0	6.0	0.3254092181828267	0.0701134073330303	0.2552958108497963	0.843991694790414	1.5836562045884257	0.1451503592112551	0.4450808611492625	False	False	raw																									
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IFI30	detection_fraction	6.0	6.0	0.2340546948451127	0.1759849306946798	0.0580697641504328	0.5249882287849218	0.985081809433668	0.3479383367077197	0.6121652467245979	False	False	raw																									
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL7R	mean_z_vs_controls	6.0	6.0	2.001066654060919	-0.0079677930166141	2.009034447077533	1.758679434285177	3.2999656456091184	0.0212751863242561	0.2541004442066553	True	False	raw																									
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	IL7R	detection_fraction	6.0	6.0	0.1205290117528586	0.0117729523038989	0.1087560594489597	1.8694584479369485	3.507830099004456	0.016042152256962	0.2394511151571207	False	False	raw																									
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SP140	mean_z_vs_controls	6.0	6.0	0.2826887982554745	-0.0047924306562632	0.2874812289117378	1.807305793183574	3.391207580158146	0.0144148874238971	0.2322665907078581	True	False	raw																									
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SP140	detection_fraction	6.0	6.0	0.054905317871675	0.0079866194500094	0.0469186984216656	2.1949580149910313	4.118593702648745	0.0077919143413309	0.1948003112909815	False	False	raw																									
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	IFI30	mean_z_vs_controls	6.0	6.0	0.0511072693729637	-0.0056686878532475	0.0567759572262113	0.4413612878759061	0.8281651896863613	0.4298549201270262	0.6627389029944104	False	False	raw																									
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	IFI30	detection_fraction	6.0	6.0	0.0374633003144728	0.0278178847220636	0.0096454155924092	0.4086176430545925	0.7667253951928981	0.4613893815273566	0.6856510689150347	False	False	raw																									
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	IL7R	mean_z_vs_controls	6.0	6.0	2.2440447672753674	0.0316325578569176	2.2124122094184497	0.8529034639707042	1.6003781446778136	0.1700721738084828	0.4726901527763948	False	False	raw																									
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	IL7R	detection_fraction	6.0	6.0	0.1329195828034927	0.014266360524493	0.1186532222789996	0.9030419701542516	1.6944574548137832	0.1499682374454773	0.449515431665832	False	False	raw																									
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	SP140	mean_z_vs_controls	6.0	6.0	-0.0538942085000461	0.0002988599048058	-0.0541930684048519	-1.3374317042926234	-2.50954130211228	0.0529047297734011	0.3290823400149597	False	False	raw																									
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	SP140	detection_fraction	6.0	6.0	0.0004578754578754	0.0035851435932761	-0.0031272681354006	-1.1815178945916138	-2.2169864421081917	0.0673152037443143	0.3543080709772909	False	False	raw																									
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	IFI30	mean_z_vs_controls	6.0	6.0	-0.0642028880679874	-0.0186882479827698	-0.0455146400852175	-0.4950319047840366	-0.9288721113246792	0.3770099523526453	0.6282976684128057	False	False	raw																									
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	IFI30	detection_fraction	6.0	6.0	0.0186899070122754	0.0297446833173316	-0.0110547763050561	-0.6163069747851126	-1.1564312428357932	0.2752451152258735	0.5595500689298467	False	False	raw																									
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	IL7R	mean_z_vs_controls	6.0	6.0	0.0819758490107941	0.0148682890286375	0.0671075599821566	0.2724168691367977	0.5111598463657568	0.629734101221291	0.7946589854856471	False	False	raw																									
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	IL7R	detection_fraction	6.0	6.0	0.0106106106106106	0.0046814243851763	0.0059291862254342	0.3453322778707226	0.6479774716627171	0.5448193030497481	0.7422052438139423	False	False	raw																									
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	SP140	mean_z_vs_controls	6.0	6.0	-0.008932901421262	-0.0063950418360174	-0.0025378595852445	-0.0641357124862133	-0.120343505322897	0.907387553410284	0.9560364330504316	False	False	raw																									
