analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	source	context_id
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD58	6	6	6.0699488307882765	5.474090002778293	0.5958588280099839	1.4012154714050575	2.6292244212272293	0.0267286956448329	0.2076289435402258	0.1379814825516686	1.0	5.772019416783285	False	0.3234287881663937	True	False	False	False	broad_h5ad	ibd_crohn_myeloid|Crohn disease|colon myeloid|myeloid_apc
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	SP140	6	6	4.007048447250946	1.5621109258222308	2.444937521428715	2.454851928675138	4.606255620984103	0.0009903277300131	0.054905317871675	0.0079866194500094	0.9166666666666666	2.784579686536588	False	0.1025245952197308	True	False	False	False	broad_h5ad	ibd_crohn_myeloid|Crohn disease|colon myeloid|myeloid_apc
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	IL7R	6	6	7.609437390854926	1.8954962194986265	5.7139411713563	3.2214309337822713	6.04465555458369	0.0001254425203311	0.1205290117528586	0.0117729523038989	0.8333333333333334	4.752466805176775	False	0.0602010321592944	True	False	True	False	broad_h5ad	ibd_crohn_myeloid|Crohn disease|colon myeloid|myeloid_apc
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	GALC	6	6	5.08824110042382	5.717634941829007	-0.6293938414051867	-0.7612596796393336	-1.4284188131296771	0.1852982218908776	0.1105775690575199	0.1512418130682693	1.0	5.402938021126414	False	0.5703361021765271	False	False	False	False	broad_h5ad	ibd_crohn_myeloid|Crohn disease|colon myeloid|myeloid_apc
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	IFI30	6	6	7.650095286193615	6.932822319095586	0.7172729670980287	1.1369441493013954	2.133348784621375	0.0587351072424498	0.2340546948451127	0.1759849306946798	1.0	7.291458802644601	True	0.4169029247437675	False	False	False	False	broad_h5ad	ibd_crohn_myeloid|Crohn disease|colon myeloid|myeloid_apc
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CD58	6	6	6.438995790372672	5.474090002778293	0.9649057875943798	2.198765638727077	4.125738283562925	0.0022384124118792	0.2353892093232123	0.1379814825516686	1.0	5.956542896575482	False	0.1376522803917813	True	False	False	False	broad_h5ad	ibd_uc_myeloid|ulcerative colitis|colon myeloid|myeloid_apc
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	SP140	6	6	3.4575295061817024	1.5621109258222308	1.8954185803594716	2.03958736843958	3.827058027664144	0.0033488903960987	0.0445887737258794	0.0079866194500094	0.9166666666666666	2.5098202160019665	False	0.155119870590193	True	False	False	False	broad_h5ad	ibd_uc_myeloid|ulcerative colitis|colon myeloid|myeloid_apc
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	IL7R	6	6	8.66210145861639	1.8954962194986265	6.766605239117763	4.82118302584632	9.04641178280069	4.390851964127251e-05	0.1944498652825372	0.0117729523038989	0.8333333333333334	5.278798839057507	False	0.0299719555071326	True	False	True	False	broad_h5ad	ibd_uc_myeloid|ulcerative colitis|colon myeloid|myeloid_apc
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	GALC	6	6	5.06766505315279	5.717634941829007	-0.6499698886762175	-0.7240513111204206	-1.3586014629930478	0.2041953584924129	0.1104771155597353	0.1512418130682693	1.0	5.392649997490899	False	0.5899841342091898	False	False	False	False	broad_h5ad	ibd_uc_myeloid|ulcerative colitis|colon myeloid|myeloid_apc
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	IFI30	6	6	8.035497426193542	6.932822319095586	1.102675107097956	1.6895542762856646	3.170260002728038	0.0099920114564987	0.3637401906579744	0.1759849306946798	1.0	7.484159872644565	True	0.234125173330645	True	False	False	False	broad_h5ad	ibd_uc_myeloid|ulcerative colitis|colon myeloid|myeloid_apc
