n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations	seed
800	800	775	0.96875	0.9542750723897365	0.9787447311674423	0.96875	0.0	3.765237193990914	0.31861011363515174	142.0	1350.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	225.0	175.0	17.0	0.0	55401
800	800	51	0.06375	0.04881779223829133	0.08285177725116102	0.0325	0.03125	-0.026753187455595268	-0.0015808001350291442	293.0	1351.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	449.5	361.0	36.0	0.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	5.201471538337785	0.3046284205552868	294.0	1350.0	independent_miss_10pct	independent	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	363.0	36.0	0.0	55401
800	800	63	0.07875	0.06203471192750583	0.09949149127577626	0.01125	0.0675	-0.46266920780023213	-0.07072551415307218	43.0	405.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	68.0	52.0	5.0	0.0	55401
800	800	270	0.3375	0.3055790153571029	0.37097411940974195	0.3375	0.0	1.533383659269375	0.23638463847212682	42.0	405.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	67.0	52.0	5.0	0.0	55401
800	800	92	0.115	0.09470945302633342	0.13897028165203718	0.0025	0.1125	-0.7816391783929904	-0.0844999297074508	88.0	406.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	11.0	0.0	55401
800	800	396	0.495	0.4604609062223737	0.5295868825396832	0.495	0.0	1.9310775921267105	0.2056031018433125	88.0	405.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	108.0	11.0	0.0	55401
800	800	89	0.11125	0.09129138845499783	0.13492418779491533	0.0025	0.10875	-0.7116960691587899	-0.07702835382399745	84.0	810.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	104.0	10.0	0.0	55401
800	800	464	0.58	0.5454961365286989	0.6137392432783929	0.58	0.0	2.197136077874596	0.23350113614337586	85.0	810.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	105.0	10.0	0.0	55401
800	800	188	0.235	0.20692826584616647	0.2656045385428419	0.00125	0.23375	-1.1424442898154372	-0.08648446563760497	175.0	811.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	269.0	217.0	21.0	0.0	55401
800	800	650	0.8125	0.7839832379239683	0.8380299644474843	0.8125	0.0	2.858170382376657	0.21495024939423124	177.0	810.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	271.0	218.0	22.0	0.0	55401
800	800	139	0.17375	0.1490700007711781	0.20154821595302552	0.00375	0.17	-1.002276475290374	-0.08254413792004227	142.0	1350.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	175.0	17.0	0.0	55401
800	800	667	0.83375	0.806368457108851	0.8579416430238602	0.83375	0.0	2.9116667741345807	0.24555987099548104	142.0	1350.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	226.0	175.0	17.0	0.0	55401
800	800	262	0.3275	0.2958713566018553	0.360777355689103	0.0	0.3275	-1.4953459760489065	-0.08765518336038353	292.0	1351.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	450.0	360.0	36.0	0.0	55401
800	800	759	0.94875	0.9312118326415617	0.9619991259638441	0.94875	0.0	3.660944381505783	0.21328803802722673	294.0	1350.0	score_miss_10pct	score	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	364.0	36.0	0.0	55401
800	800	26	0.0325	0.022273903860155396	0.04719434539215169	0.0175	0.015	0.04095300822795769	0.006368568855666337	43.0	405.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	67.0	52.0	5.0	0.0	55401
800	800	474	0.5925	0.5580870075909802	0.6260289003109699	0.5925	0.0	2.173297306571399	0.33462283127777764	42.0	405.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	68.0	52.0	5.0	0.0	55401
800	800	41	0.05125	0.038000874036155985	0.06878816735843825	0.02375	0.0275	-0.006055708138905884	-0.0006243397856407333	87.0	406.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	11.0	0.0	55401
800	800	657	0.82125	0.7931838900301581	0.8462456820076952	0.82125	0.0	2.825632997220808	0.3066443279654374	88.0	405.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	135.0	109.0	11.0	0.0	55401
800	800	42	0.0525	0.03907279601307098	0.07020429819100907	0.0225	0.03	-0.0130908024413082	-0.001467009612159465	84.0	811.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	105.0	10.0	0.0	55401
800	800	652	0.815	0.7866096930224873	0.8403796149679368	0.815	0.0	2.9601261654099877	0.32425356313240694	85.0	810.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	136.0	105.0	11.0	0.0	55401
800	800	53	0.06625	0.05100456922837428	0.08564110588004971	0.0325	0.03375	-0.05453387539959075	-0.004087546427865673	176.0	810.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	270.0	217.0	21.0	0.0	55401
800	800	792	0.99	0.9803923891900549	0.9949243121283827	0.99	0.0	4.039995701063063	0.30840702216823823	176.0	810.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	270.0	218.0	22.0	0.0	55401
800	800	37	0.04625	0.033738403716588684	0.06309842644006232	0.025	0.02125	0.026224686191583798	0.002308421713448124	141.0	1351.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	225.0	175.0	18.0	0.0	55401
800	800	777	0.97125	0.9572287422275642	0.9807671669485861	0.97125	0.0	3.8123988421022146	0.3222608677371929	141.5	1350.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	224.0	174.0	17.0	0.0	55401
800	800	31	0.03875	0.027431519536182523	0.05447699376355362	0.01875	0.02	-0.043606024823336934	-0.002572315708491995	292.0	1350.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	450.0	360.0	36.0	0.0	55401
800	800	800	1.0	0.995221123794324	1.0	1.0	0.0	5.2897436108660685	0.31290330620191276	294.0	1349.0	risk_miss_10pct	risk	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	363.0	36.0	0.0	55401
