stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_z_across_seeds	median_one_step_log_hr_across_seeds	median_events_across_seeds	median_usable_n_across_seeds	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations
complete	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	2400	2400	131	0.05458333333333333	0.046186211785358755	0.06440405108127549	0.05125	0.05875	0.030416666666666668	0.024166666666666666	0.014800416956671336	0.0021954536513226542	47.0	405.0	67.0	52.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	450	0.15	1.5	2400	2400	1417	0.5904166666666667	0.5706133605046081	0.6099309921220902	0.5725	0.60125	0.5904166666666667	0.0	2.2013170603105054	0.3236140666609254	47.0	405.0	67.0	52.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	2400	2400	110	0.04583333333333333	0.03816782714647961	0.05495040159499029	0.03875	0.05125	0.025	0.020833333333333332	-0.016608434854929438	-0.0017147205098103674	97.0	405.0	135.0	108.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	450	0.3	1.5	2400	2400	2051	0.8545833333333334	0.8399130816321171	0.8681203012495428	0.84125	0.86125	0.8545833333333334	0.0	2.9930602220768963	0.3046955314046176	98.0	405.0	135.0	109.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.0	2400	2400	109	0.04541666666666667	0.037787901216132236	0.05449832590032985	0.04375	0.0475	0.018333333333333333	0.027083333333333334	-0.03210431401536393	-0.0033093649776022444	94.0	810.0	135.0	104.5	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	900	0.15	1.5	2400	2400	2093	0.8720833333333333	0.8581237558334502	0.8848536952985382	0.86375	0.88625	0.8720833333333333	0.0	3.063372424973265	0.31464456441190936	95.0	810.0	135.0	106.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.0	2400	2400	117	0.04875	0.04083242307898277	0.05810981703754192	0.03875	0.06375	0.022916666666666665	0.025833333333333337	-0.0036643233991914942	-0.00027338267182439133	194.0	810.0	270.0	216.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	900	0.3	1.5	2400	2400	2385	0.99375	0.9897131992343787	0.9962087263998948	0.9925	0.995	0.99375	0.0	4.301771957705347	0.31067573650365415	196.0	810.0	270.0	218.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.0	2400	2400	121	0.050416666666666665	0.04235887434832644	0.05991137226822954	0.04875	0.05375	0.023333333333333334	0.027083333333333334	0.007570787213295306	0.0005938717201690087	157.0	1350.0	225.0	174.0	0.0	0.0
complete	none	none	none	balanced	guarded_within_site_stratified	1500	0.15	1.5	2400	2400	2344	0.9766666666666667	0.9698223291412155	0.9819875298677373	0.97375	0.98	0.9766666666666667	0.0	4.027734296447742	0.3223716859404308	158.0	1350.0	225.0	175.0	0.0	0.0
