query_id	source	status	count	top_ids	query
ms_dmf_response_transcriptome	ncbi_gds	ok	5	200263752;200255952;200215450;200130491;200130478	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	ncbi_pubmed	ok	10	40288545;39863040;37483622;35455458;35183994;33468560;32892947;31300673	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	ncbi_sra	ok	10	28159884;28159883;28159882;28159881;28159880;28159879;28159878;28159877	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	europe_pmc	ok	8	PMC13040110;41981407;42189307;40711150;41948457;PMC13192701;42198681;40537080	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	biostudies_arrayexpress	ok	2	S-EPMC4811964;S-EPMC4338369	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	zenodo	ok	0		"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	figshare	ok	5	14481249;32414622;32660862;32660856;32660817	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_dmf_response_transcriptome	osf_preprints	error: HTTPError: HTTP Error 400: Bad Request	0		"(""multiple sclerosis"" AND ""dimethyl fumarate"" AND (response OR responder OR NEDA) AND (transcriptome OR RNA-seq OR microarray))"
ms_gafson_dmf_neda	ncbi_gds	ok	0		"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	ncbi_pubmed	ok	1	30283812	"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	ncbi_sra	ok	0		"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	europe_pmc	ok	4	30283812;33231810;36454442;37681561	"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	biostudies_arrayexpress	ok	0		"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	ena_study	error: HTTPError: HTTP Error 400: 	0		"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	zenodo	ok	0		"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	figshare	ok	5	14481249;32414622;32660856;32660817;32660824	"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
ms_gafson_dmf_neda	dryad	ok	70903	doi:10.5061/dryad.sxksn03jm;doi:10.5061/dryad.k98sf7mn7;doi:10.5061/dryad.p5hqbzm25;doi:10.5061/dryad.dfn2z35fd;doi:10.5061/dryad.fbg79cp6h	"(""Gafson"" AND ""dimethyl fumarate"" AND ""NEDA"" AND ""RNA"")"
