modality	module_a	module_b	spearman_r	p	perm_p	n_rows	q_bh_within_modality	sign	replicated_significant_modalities	replicated_sign	claim_grade
perturbation_mixscale	hla_ii_apc	ifn_apc	0.5878260869565216	0.0025217833030871	0.0049975012493753	24	0.0099950024987506	1.0	2	1.0	supported
perturbation_mixscale	hla_ii_apc	mif_cd74_receptor_state	0.8739130434782607	2.4350050073740653e-08	0.0004997501249375	24	0.0014992503748125	1.0	4	1.0	supported
perturbation_mixscale	ifn_apc	mif_cd74_receptor_state	0.4765217391304347	0.0185651150143539	0.0189905047476261	24	0.0199900049975012	1.0	3	1.0	supported
treatment_pharmacodynamic	hla_ii_apc	ifn_apc	0.8347826086956521	3.932746200056488e-07	0.0004997501249375	24	0.0019990004997501	1.0	2	1.0	supported
treatment_pharmacodynamic	hla_ii_apc	lysosomal_apc	0.4078260869565216	0.047900920569172	0.0539730134932533	24	0.0962018990504747	1.0	2	1.0	supported
treatment_pharmacodynamic	hla_ii_apc	mif_cd74_receptor_state	0.7582608695652173	1.76264518234738e-05	0.0004997501249375	24	0.0019990004997501	1.0	4	1.0	supported
treatment_pharmacodynamic	hla_ii_apc	mixscale_validated_ifng_readout	0.8182608695652173	1.0339710495710754e-06	0.0004997501249375	24	0.0019990004997501	1.0	2	1.0	supported
treatment_pharmacodynamic	ifn_apc	lysosomal_apc	0.5339130434782609	0.0072047939151818	0.008495752123938	24	0.0182985430361742	1.0	3	1.0	supported
treatment_pharmacodynamic	ifn_apc	mif_cd74_receptor_state	0.646086956521739	0.000648351936992	0.0034982508745627	24	0.0081625853739796	1.0	3	1.0	supported
treatment_pharmacodynamic	ifn_apc	mixscale_validated_ifng_readout	0.9617391304347824	7.423994544863278e-14	0.0004997501249375	24	0.0019990004997501	1.0	3	1.0	supported
treatment_pharmacodynamic	mif_cd74_receptor_state	mixscale_validated_ifng_readout	0.6626086956521738	0.0004186914397087	0.000999500249875	24	0.0031095563329446	1.0	2	1.0	supported
treatment_response_tests	hla_ii_apc	mif_cd74_receptor_state	0.8781954887218045	3.573394790413422e-07	0.0004997501249375	20	0.0024987506246876	1.0	4	1.0	supported
treatment_response_tests	ifn_apc	lysosomal_apc	0.9112781954887216	2.3360131773309556e-08	0.0004997501249375	20	0.0024987506246876	1.0	3	1.0	supported
treatment_response_tests	ifn_apc	mif_cd74_receptor_state	0.5293233082706766	0.0163940847312943	0.0164917541229385	20	0.0412293853073463	1.0	3	1.0	supported
cell_state_h5ad	hla_ii_apc	mif_cd74_receptor_state	0.8321678321678322	0.0007854416778536	0.0004997501249375	12	0.0069965017491254	1.0	4	1.0	supported
cell_state_h5ad	ifn_apc	mixscale_validated_ifng_readout	0.9160839160839164	2.8428045348547155e-05	0.0004997501249375	12	0.0069965017491254	1.0	3	1.0	supported
cross_disease_summary	mif_cd74_receptor_state	mixscale_validated_ifng_readout	0.942857142857143	0.004804664723032	0.0199900049975012	6	0.0381627368134114	1.0	2	1.0	supported
cross_disease_summary	ifn_apc	mixscale_validated_ifng_readout	1.0	0.0	0.0019990004997501	6	0.016791604197901	1.0	3	1.0	supported
cross_disease_summary	ifn_apc	lysosomal_apc	0.8986451052612952	0.0148886220055803	0.0279860069965017	6	0.0405797101449275	1.0	3	1.0	supported
cross_disease_summary	hla_ii_apc	mixscale_validated_ifng_readout	1.0	0.0	0.0049975012493753	6	0.0174912543728135	1.0	2	1.0	supported
cross_disease_summary	hla_ii_apc	lysosomal_apc	0.8986451052612952	0.0148886220055803	0.0289855072463768	6	0.0405797101449275	1.0	2	1.0	supported
