cohort	module	n_genes	n_present_in_existing_v32_panels	fraction_present	present_genes	missing_genes
GSE235357	EBV_LATENCY_APC	9	3	0.3333333333333333	NFKB1;HLA-DRA;CD74	EBNA1;LMP1;LMP2A;CD40;RELA;IRF7
GSE235357	IFN_APC	7	7	1.0	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	
GSE235357	B_CELL_APC	7	7	1.0	MS4A1;CD79A;CD79B;CD74;HLA-DRA;HLA-DPA1;BANK1	
GSE253006_TOF_exact	EBV_LATENCY_APC	9	3	0.3333333333333333	NFKB1;HLA-DRA;CD74	EBNA1;LMP1;LMP2A;CD40;RELA;IRF7
GSE253006_TOF_exact	IFN_APC	7	7	1.0	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	
GSE253006_TOF_exact	B_CELL_APC	7	7	1.0	MS4A1;CD79A;CD79B;CD74;HLA-DRA;HLA-DPA1;BANK1	
