modality_a	modality_b	n_shared_modules	shared_modules
treatment_pharmacodynamic	cell_state_h5ad	8	complement_phagocytosis;hif_nampt_metabolic;hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state;mixscale_validated_ifng_readout
treatment_pharmacodynamic	cross_disease_summary	8	complement_phagocytosis;hif_nampt_metabolic;hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state;mixscale_validated_ifng_readout
treatment_pharmacodynamic	perturbation_mixscale	3	hla_ii_apc;ifn_apc;mif_cd74_receptor_state
cell_state_h5ad	cross_disease_summary	8	complement_phagocytosis;hif_nampt_metabolic;hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state;mixscale_validated_ifng_readout
cell_state_h5ad	perturbation_mixscale	3	hla_ii_apc;ifn_apc;mif_cd74_receptor_state
cross_disease_summary	perturbation_mixscale	3	mif_cd74_receptor_state;ifn_apc;hla_ii_apc
