sample	gsm	treatment	donor	module	score	n_genes_present
Sample1	GSM5617146	Unstimulated	A	ifn_apc	0.044149465112044206	8
Sample2	GSM5617147	Unstimulated	B	ifn_apc	0.2087406563809395	8
Sample3	GSM5617148	Unstimulated	C	ifn_apc	0.4384081926370662	8
Sample4	GSM5617149	Unstimulated	D	ifn_apc	0.3001801532942764	8
Sample5	GSM5617150	anti-SLAMF7	A	ifn_apc	-0.21153806108031736	8
Sample6	GSM5617151	anti-SLAMF7	C	ifn_apc	0.3619019462398394	8
Sample7	GSM5617152	anti-SLAMF7	D	ifn_apc	0.5246158734908515	8
Sample8	GSM5617153	r-SLAMF7	A	ifn_apc	-0.5521103714897092	8
Sample9	GSM5617154	r-SLAMF7	B	ifn_apc	-0.9833231090374823	8
Sample10	GSM5617155	r-SLAMF7	C	ifn_apc	-0.07759325790662569	8
Sample11	GSM5617156	r-SLAMF7	D	ifn_apc	-0.05343148764088132	8
Sample1	GSM5617146	Unstimulated	A	hla_ii_apc	0.03433919376008743	7
Sample2	GSM5617147	Unstimulated	B	hla_ii_apc	-0.08666169999901593	7
Sample3	GSM5617148	Unstimulated	C	hla_ii_apc	1.0291040199830412	7
Sample4	GSM5617149	Unstimulated	D	hla_ii_apc	0.7465284744649222	7
Sample5	GSM5617150	anti-SLAMF7	A	hla_ii_apc	-0.4489726386987335	7
Sample6	GSM5617151	anti-SLAMF7	C	hla_ii_apc	0.710015865735478	7
Sample7	GSM5617152	anti-SLAMF7	D	hla_ii_apc	0.28907891008970044	7
Sample8	GSM5617153	r-SLAMF7	A	hla_ii_apc	-0.7977099228866396	7
Sample9	GSM5617154	r-SLAMF7	B	hla_ii_apc	-1.2997132928615738	7
Sample10	GSM5617155	r-SLAMF7	C	hla_ii_apc	0.2225016983214072	7
Sample11	GSM5617156	r-SLAMF7	D	hla_ii_apc	-0.39851060790867543	7
Sample1	GSM5617146	Unstimulated	A	lysosomal_apc	0.6253402543585277	7
Sample2	GSM5617147	Unstimulated	B	lysosomal_apc	0.543233022129323	7
Sample3	GSM5617148	Unstimulated	C	lysosomal_apc	0.4267250701268619	7
Sample4	GSM5617149	Unstimulated	D	lysosomal_apc	0.8344143082296868	7
Sample5	GSM5617150	anti-SLAMF7	A	lysosomal_apc	0.080577173354599	7
Sample6	GSM5617151	anti-SLAMF7	C	lysosomal_apc	-0.19193341641275286	7
Sample7	GSM5617152	anti-SLAMF7	D	lysosomal_apc	-0.019600409912776118	7
Sample8	GSM5617153	r-SLAMF7	A	lysosomal_apc	-0.4246273622789796	7
Sample9	GSM5617154	r-SLAMF7	B	lysosomal_apc	-1.1954737151619645	7
Sample10	GSM5617155	r-SLAMF7	C	lysosomal_apc	-0.469481546102067	7
Sample11	GSM5617156	r-SLAMF7	D	lysosomal_apc	-0.20917337833044344	7
Sample1	GSM5617146	Unstimulated	A	mif_cd74_receptor_state	-0.13734110511345984	7
Sample2	GSM5617147	Unstimulated	B	mif_cd74_receptor_state	-0.4948398951718679	7
Sample3	GSM5617148	Unstimulated	C	mif_cd74_receptor_state	0.7170753257364816	7
