sensitivity	observed_target	observed_target_rank	n_reps	target_entity_p	target_fwer_p	max_null_p95	max_null_p99	target_null_p95	target_null_p99
source_file_weighted	12.526666666666667	1	20000	4.999750012499375e-05	4.999750012499375e-05	3.5990338164251208	4.075555555555555	2.0234782608695654	2.712389371980673
modality_source_family_collapsed	16.0	1	20000	4.999750012499375e-05	4.999750012499375e-05	7.0	8.0	4.0	5.0
source_family_collapsed	10.0	1	20000	4.999750012499375e-05	4.999750012499375e-05	5.0	6.0	3.0	4.0
