entity	source_file_weighted_recurrence
apc_hla_ifn_monitoring	12.526666666666667
apc_axis	7.655555555555556
ifn_apc	4.173333333333334
hla_ii_apc	4.133333333333333
coupled_apc_axis	3.971111111111111
metabolic_sterol	3.2294685990338166
mif_cd74_receptor_state	2.9155555555555557
lysosomal_apc	2.4155555555555557
mixscale_validated_ifng_readout	2.36
complement_lipid_axis	2.08
tb_readable_compartment	1.642512077294686
layer_transfer_map	1.5333333333333332
genetic_backdrop_ms_uc	1.2555555555555555
lipid_loader_repair	1.08
complement_phagocytosis	1.0
hif_nampt_metabolic	1.0
cell_composition	0.8164251207729468
glucocorticoid_steroid	0.642512077294686
ms_uc_genetic_backdrop	0.3333333333333333
chr1_kif21b_gpr25	0.3111111111111111
postpartum_apc_split	0.3111111111111111
rel_pus10_usp34	0.2
zfp36l1	0.2
hla_ii_apc__mif_cd74_receptor_state	0.16
ifn_apc__mif_cd74_receptor_state	0.12
ifn_apc__mixscale_validated_ifng_readout	0.12
ifn_apc__lysosomal_apc	0.12
lysosomal_apc__mixscale_validated_ifng_readout	0.08
lipid_loader_repair__lysosomal_apc	0.08
mif_cd74_receptor_state__mixscale_validated_ifng_readout	0.08
hla_ii_apc__mixscale_validated_ifng_readout	0.08
hla_ii_apc__lysosomal_apc	0.08
hla_ii_apc__ifn_apc	0.08
kif21b	0.05555555555555555
multi_lineage_and_rpt_lenses_add_prioritization_not_evidence	0.05555555555555555
gpr25	0.05555555555555555
zmiz1	0.05555555555555555
