source_family	modality	source_units
analysis/v32_confounder_audit	treatment_response	25
docs/reports	corpus_synthesis	9
analysis/v26_deep_structure	treatment_pharmacodynamic	7
analysis/v35_tb_compartment_gate	exploratory	5
analysis/v39_immune_tone_anomaly	exploratory	5
analysis/v26_deep_structure	cross_disease_summary	4
analysis/v36_therapy_branch_map	treatment_response	4
analysis/v20_lead_slate	lead_slate	3
analysis/v26_deep_structure	perturbation_mixscale	3
analysis/v26_deep_structure	treatment_response_tests	3
analysis/v28_heterogeneous_response	treatment_response	3
analysis/v26_deep_structure	cell_state_h5ad	2
analysis/v26_deep_structure	deep_structure	2
analysis/v35_lysosomal_apc_specificity	exploratory	1
analysis/v35_lysosomal_apc_specificity	perturbation	1
analysis/v35_metabolic_sterol_setpoint	exploratory	1
