predictor	analysis	disease_name	compartment	role	n_case	rho	p
hif_nampt_metabolic	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.34545454545454546	0.3282265114713673
hif_nampt_metabolic	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.3	0.623837664781073
hif_nampt_metabolic	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
hif_nampt_metabolic	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.3	0.623837664781073
hif_nampt_metabolic	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.7	0.1881204043741873
hif_nampt_metabolic	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.39999999999999997	0.6
osm_ligand_inflammatory_myeloid	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	-0.08571428571428573	0.8717434402332361
osm_ligand_inflammatory_myeloid	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.08571428571428573	0.8717434402332361
osm_ligand_inflammatory_myeloid	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.08571428571428573	0.8717434402332361
osm_ligand_inflammatory_myeloid	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.48571428571428577	0.3287230320699708
osm_ligand_inflammatory_myeloid	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.08571428571428573	0.8717434402332361
osm_ligand_inflammatory_myeloid	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.2571428571428572	0.6227871720116619
osm_ligand_inflammatory_myeloid	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
osm_ligand_inflammatory_myeloid	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	0.5	0.6666666666666666
osm_ligand_inflammatory_myeloid	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	0.5	0.6666666666666666
