predictor	analysis	disease_name	compartment	n_case	n_control	delta_case_minus_control_z	p	positive_nominal
gene:PPIA	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.0603559781844312	0.07864626353500297	True
gene:PPIA	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.3999599639124913	0.5255310685277422	False
gene:PPIA	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.10406240143330406	0.8673968797638323	False
gene:PPIA	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.8247878652138971	0.16626176962003958	False
gene:PPIA	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.6444368696923611	0.28541757278247915	False
gene:PPIA	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.810431055367073	0.17849082456081342	False
gene:PPIA	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.306229692153559	0.15147566393543058	False
gene:PPIA	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.3933300300747145	0.08394433043701012	True
gene:PPIA	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.4067331072748015	0.07427820634148559	True
gene:PPIA	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.631307240062148	0.09871765729404695	True
gene:PPIA	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.14668742795455397	0.7273414628648078	False
gene:PPIA	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.8060063408888987	0.028705704399456397	True
gene:PPIA	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.236930043099656	0.025599349006802344	True
gene:PPIA	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.1390411732686156	0.24523589564245568	False
gene:PPIA	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.8831185156667629	0.07575152898226595	True
gene:PPIA	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.9048056839719554	0.16400259163534237	False
gene:PPIA	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.6409832863609574	0.3090265202254617	False
gene:NOP14	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.6798645607937988	0.001056325633233891	True
gene:NOP14	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.4480693736782543	0.4737884859461077	False
gene:NOP14	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.8388704170749333	0.168010980999342	False
gene:NOP14	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.0839199260165664	0.07724146382462305	True
gene:NOP14	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.05520574823617834	0.9291444752264458	False
gene:NOP14	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.8553804221381435	0.14796788889326132	False
gene:NOP14	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.5377873674459328	0.5764475984893174	False
gene:NOP14	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.1360704929867648	0.8886338970632766	False
gene:NOP14	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6457390998064292	0.01726514286458943	True
gene:NOP14	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.3269195077653841	0.45149683169464533	False
gene:NOP14	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.3967957880028786	0.32511122534623205	False
gene:NOP14	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.4796083999323566	0.28104773624287355	False
gene:NOP14	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.8587865625979181	0.05150717442007724	False
gene:NOP14	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.07336633795277878	0.9348174768941991	False
gene:NOP14	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.66566237910484	0.13377203777611976	False
gene:NOP14	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.14680656356640306	0.7260601304608816	False
gene:NOP14	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.7996326867352391	0.13001761736548023	False
gene:NAMPT	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.5149178688709837	0.003915659211211379	True
gene:NAMPT	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.2528939302805042	0.029983173455173553	True
gene:NAMPT	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.10631172501460741	0.8659733569233427	False
gene:NAMPT	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.315847923025168	0.027273212287971752	True
gene:NAMPT	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.4795259340864941	0.005612042353993169	True
gene:NAMPT	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.1532787473111109	0.8057808352335825	False
gene:NAMPT	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.31286975819485996	0.7512030084368106	False
gene:NAMPT	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.2078826554749771	0.8375221719039535	False
gene:NAMPT	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.5941680362650579	0.5305508643659914	False
gene:NAMPT	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.19048859048599623	0.6610776398445845	False
gene:NAMPT	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.5951876538822469	0.1199431180083272	False
gene:NAMPT	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.20286144270015383	0.6471417745625353	False
gene:NAMPT	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.2616612957896711	0.1456620846294351	False
