predictor	gate	passed
gene:PPIA	circuit_coupling	True
gene:PPIA	disease_up_recurrence	True
gene:PPIA	ms_anchor_nominal	False
gene:PPIA	perturbation_or_model_hint	False
gene:NOP14	circuit_coupling	True
gene:NOP14	disease_up_recurrence	True
gene:NOP14	ms_anchor_nominal	False
gene:NOP14	perturbation_or_model_hint	False
gene:NAMPT	circuit_coupling	True
gene:NAMPT	disease_up_recurrence	True
gene:NAMPT	ms_anchor_nominal	False
gene:NAMPT	perturbation_or_model_hint	False
gene:NMI	circuit_coupling	True
gene:NMI	disease_up_recurrence	True
gene:NMI	ms_anchor_nominal	False
gene:NMI	perturbation_or_model_hint	False
gene:ATOX1	circuit_coupling	True
gene:ATOX1	disease_up_recurrence	True
gene:ATOX1	ms_anchor_nominal	False
gene:ATOX1	perturbation_or_model_hint	False
gene:LRRC59	circuit_coupling	True
gene:LRRC59	disease_up_recurrence	True
gene:LRRC59	ms_anchor_nominal	False
gene:LRRC59	perturbation_or_model_hint	False
c1q_phagocytic_myeloid	circuit_coupling	True
c1q_phagocytic_myeloid	disease_up_recurrence	True
c1q_phagocytic_myeloid	ms_anchor_nominal	False
c1q_phagocytic_myeloid	perturbation_or_model_hint	False
gene:TMEM167A	circuit_coupling	True
gene:TMEM167A	disease_up_recurrence	True
gene:TMEM167A	ms_anchor_nominal	False
gene:TMEM167A	perturbation_or_model_hint	False
gene:IFI16	circuit_coupling	True
gene:IFI16	disease_up_recurrence	True
gene:IFI16	ms_anchor_nominal	False
gene:IFI16	perturbation_or_model_hint	False
gene:RAB11A	circuit_coupling	True
gene:RAB11A	disease_up_recurrence	True
gene:RAB11A	ms_anchor_nominal	False
gene:RAB11A	perturbation_or_model_hint	False
gene:FCGR2B	circuit_coupling	True
gene:FCGR2B	disease_up_recurrence	False
gene:FCGR2B	ms_anchor_nominal	False
gene:FCGR2B	perturbation_or_model_hint	False
gene:STAB1	circuit_coupling	True
gene:STAB1	disease_up_recurrence	True
gene:STAB1	ms_anchor_nominal	True
gene:STAB1	perturbation_or_model_hint	False
gene:PSMA1	circuit_coupling	True
gene:PSMA1	disease_up_recurrence	True
gene:PSMA1	ms_anchor_nominal	False
gene:PSMA1	perturbation_or_model_hint	False
gene:CTSL	circuit_coupling	True
gene:CTSL	disease_up_recurrence	True
gene:CTSL	ms_anchor_nominal	True
gene:CTSL	perturbation_or_model_hint	False
gene:GPNMB	circuit_coupling	True
gene:GPNMB	disease_up_recurrence	False
gene:GPNMB	ms_anchor_nominal	True
gene:GPNMB	perturbation_or_model_hint	False
gene:ENO1	circuit_coupling	True
gene:ENO1	disease_up_recurrence	True
