gene	source	source_call	source_rank_score
APOE	Wave86_IBD_anchor_or_park	PARK_DIRECTIONAL_NONRESPONSE_GENE	11.099440939459706
MERTK	Wave86_IBD_anchor_or_park	PARK_DIRECTIONAL_NONRESPONSE_GENE	10.912264665169442
CTSS	Wave86_IBD_anchor_or_park	PARK_DIRECTIONAL_NONRESPONSE_GENE	10.848527505938575
LAMP3	Wave87_RA_replication	PARK_CROSS_SYSTEM_ANTITNF_RESISTANCE_GENE	0.0023759962619227
IL1B	Wave87_RA_replication	PARK_CROSS_SYSTEM_ANTITNF_RESISTANCE_GENE	0.040690818823545
IL1B	Wave89_primary	PRIMARY_IL1B_LAMP3_CHECK	
LAMP3	Wave89_primary	PRIMARY_IL1B_LAMP3_CHECK	
STAT1	module:ifn_apc	module_coverage	
IRF1	module:ifn_apc	module_coverage	
CXCL10	module:ifn_apc	module_coverage	
GBP1	module:ifn_apc	module_coverage	
CD74	module:ifn_apc	module_coverage	
IFI30	module:ifn_apc	module_coverage	
HLA-DRA	module:ifn_apc	module_coverage	
HLA-DRB1	module:ifn_apc	module_coverage	
CD74	module:hla_ii_apc	module_coverage	
HLA-DRA	module:hla_ii_apc	module_coverage	
HLA-DRB1	module:hla_ii_apc	module_coverage	
HLA-DPA1	module:hla_ii_apc	module_coverage	
HLA-DPB1	module:hla_ii_apc	module_coverage	
CIITA	module:hla_ii_apc	module_coverage	
RFX5	module:hla_ii_apc	module_coverage	
IFI30	module:lysosomal_apc	module_coverage	
CTSS	module:lysosomal_apc	module_coverage	
CTSB	module:lysosomal_apc	module_coverage	
CTSD	module:lysosomal_apc	module_coverage	
LAMP1	module:lysosomal_apc	module_coverage	
LAMP2	module:lysosomal_apc	module_coverage	
LAMP3	module:lysosomal_apc	module_coverage	
CD74	module:mif_cd74_receptor_state	module_coverage	
CD44	module:mif_cd74_receptor_state	module_coverage	
CXCR4	module:mif_cd74_receptor_state	module_coverage	
HLA-DRA	module:mif_cd74_receptor_state	module_coverage	
HLA-DRB1	module:mif_cd74_receptor_state	module_coverage	
HLA-DPA1	module:mif_cd74_receptor_state	module_coverage	
HLA-DPB1	module:mif_cd74_receptor_state	module_coverage	
ACSL1	module:lipid_loader_repair	module_coverage	
APOE	module:lipid_loader_repair	module_coverage	
GPNMB	module:lipid_loader_repair	module_coverage	
LPL	module:lipid_loader_repair	module_coverage	
PLIN2	module:lipid_loader_repair	module_coverage	
CD36	module:lipid_loader_repair	module_coverage	
LIPA	module:lipid_loader_repair	module_coverage	
FABP5	module:lipid_loader_repair	module_coverage	
TREM2	module:lipid_loader_repair	module_coverage	
MSR1	module:lipid_loader_repair	module_coverage	
MERTK	module:lipid_loader_repair	module_coverage	
SPP1	module:lipid_loader_repair	module_coverage	
C1QA	module:complement_phagocytosis	module_coverage	
C1QB	module:complement_phagocytosis	module_coverage	
C1QC	module:complement_phagocytosis	module_coverage	
CD68	module:complement_phagocytosis	module_coverage	
TREM2	module:complement_phagocytosis	module_coverage	
MERTK	module:complement_phagocytosis	module_coverage	
MSR1	module:complement_phagocytosis	module_coverage	
IL1B	module:inflammatory_nfkb	module_coverage	
TNF	module:inflammatory_nfkb	module_coverage	
CXCL8	module:inflammatory_nfkb	module_coverage	
CCL2	module:inflammatory_nfkb	module_coverage	
CCL3	module:inflammatory_nfkb	module_coverage	
CCL4	module:inflammatory_nfkb	module_coverage	
NFKBIA	module:inflammatory_nfkb	module_coverage	
TREM1	module:inflammatory_nfkb	module_coverage	
OSM	module:inflammatory_nfkb	module_coverage	
