analysis	timepoint	module	n_relapse_free	n_not_relapse_free	delta_relapse_free_minus_not	hedges_g	welch_p
baseline_relapse_free_2y	baseline	ifn_apc	16	9	-0.08367644077413708	-0.17270432460044646	0.6303091498847068
baseline_relapse_free_2y	baseline	hla_ii_without_cd74	16	9	-0.09640626138025757	-0.409376558072003	0.3026482329504239
baseline_relapse_free_2y	baseline	receptor_only_cd74_cd44_cxcr4	16	9	-0.1812560007415615	-0.7234423774846679	0.08038933917104127
baseline_relapse_free_2y	baseline	cd74_alone	16	9	-0.8065823298158756	-0.7824946612985015	0.07835972575474921
delta_relapse_free_2y	month_1	ifn_apc	16	9	-0.014473135021223715	-0.022231400438502514	0.950337612840161
delta_relapse_free_2y	month_1	hla_ii_without_cd74	16	9	0.22896300080351073	1.0089237828082185	0.022387938191276928
delta_relapse_free_2y	month_1	receptor_only_cd74_cd44_cxcr4	16	9	0.07422786627694891	0.3742018338345815	0.42568175254580887
delta_relapse_free_2y	month_1	cd74_alone	16	9	0.8569806740560363	0.9275925226189001	0.05009620583954894
delta_relapse_free_2y	month_24	ifn_apc	16	9	-0.128584753292373	-0.1209130795592913	0.7382634882684063
delta_relapse_free_2y	month_24	hla_ii_without_cd74	16	9	0.055645854878147764	0.1843254442632445	0.6494986606431346
delta_relapse_free_2y	month_24	receptor_only_cd74_cd44_cxcr4	16	9	0.15985466381197055	0.5380970691229692	0.1930073209922396
delta_relapse_free_2y	month_24	cd74_alone	16	9	0.44898806265240077	0.3498405281153538	0.39059878126712716
delta_relapse_free_2y	second_injection	ifn_apc	16	9	0.18468072722890083	0.33620000689429475	0.3885935303942876
delta_relapse_free_2y	second_injection	hla_ii_without_cd74	16	9	0.03369916839096665	0.11398587872985166	0.7705661395904494
delta_relapse_free_2y	second_injection	receptor_only_cd74_cd44_cxcr4	16	9	0.04649163410646093	0.1342535419848769	0.7426291930151716
delta_relapse_free_2y	second_injection	cd74_alone	16	9	0.3249661445816461	0.2491004062495068	0.5174640095513847
