dataset	disease_name	compartment	raw_delta	raw_hedges_g	raw_p	raw_fdr	residual_delta	residual_hedges_g	residual_p	residual_fdr	target_vs_ifn_r2	residual_retains_nominal_support
GSE111972_white_matter	MS	white matter microglia	0.6141257454613055	1.3413367086123047	0.00547341915501406	0.03879623417733231	0.45572407980566854	1.247930189567055	0.007887505384977308	0.4417003015587293	0.39373622073256853	True
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	0.20695600030417824	1.0745844475632722	0.020693109377306604	0.06816553677230411	0.04473481222247155	0.6831610382260483	0.07344896860686509	0.97363654262921	0.9015149582126574	True
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	0.09922382261290816	0.7465284709924658	0.08310266426632494	0.1604741103073861	0.06927784754411861	0.5319844135264017	0.21304293675017366	0.97363654262921	0.10525528119747846	False
GSE111972_grey_matter	MS	grey matter microglia	0.8762823001777754	1.0920772212955738	0.09504481576454897	0.17741698942715808	0.39386750445982577	0.7777593089643042	0.23186709194008662	0.97363654262921	0.6632359798033709	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	0.4394729298112865	1.8800736154161475	0.005542319168190329	0.03879623417733231	0.06151803784816044	0.5258959659937139	0.3617635669099835	0.97363654262921	0.8775592967195578	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	0.1887295411445655	0.831089594254275	0.15000345615970184	0.2333387095817584	-0.07168728345150463	-0.4742061489511946	0.39544411456127615	0.97363654262921	0.6153015288713934	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	0.08125683308101724	0.5997381069105394	0.08033840015399758	0.1604741103073861	-0.03282503748313876	-0.4171724099317898	0.5183557288763534	0.97363654262921	0.6744399967892257	False
GSE248205_Graves_disease	Graves disease	thyroid tissue spots	0.7164278365991426	0.983938181217485	0.1936957997339089	0.27550012365441584	0.026540711477473083	0.3929710953666784	0.5330311048361679	0.97363654262921	0.9944527434079572	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	0.4783751733076207	1.5885489189538624	0.015504297048231473	0.06816553677230411	0.012233186799879368	0.17850920714269727	0.7474773006043229	0.9927738892595805	0.97226965093317	False
psoriasis_skin_apc	psoriasis	skin APC	0.08795007652880293	0.34790057697819354	0.6231463124892687	0.6462258055444268	-0.04051191549664044	-0.17160801634863443	0.8062224906901706	0.9927738892595805	0.17167314961231173	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	0.17206188924736993	1.1417987887175864	0.0036400078806350443	0.03879623417733231	-0.006005289814208736	-0.07678379002266221	0.8641988217805151	0.9927738892595805	0.7845436385549208	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	0.504202654994214	2.081391468968664	0.33692289260036024	0.4040493807677269	-0.029276014684673633	-0.23784165463549953	0.8723446424066672	0.9927738892595805	0.8379989325317907	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	0.38568048414836187	1.2870626595899695	0.1597256786171224	0.2417469730421312	0.022731661374158253	0.11592559051728893	0.8729885815300997	0.9927738892595805	0.7809967617893323	False
GSE248205_Hashimoto_thyroiditis	Hashimoto thyroiditis	thyroid tissue spots	1.7902925785741668	19.59045900928689	0.0003272728230005116	0.0061090926960095495	0.006242449962026839	0.05164415880371811	0.9306653973588087	0.9927738892595805	0.993980843420927	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	0.29081693982015516	1.6522797558223667	0.01903878642493007	0.06816553677230411	0.0027617884991219125	0.021420698341393853	0.9688320505889554	0.9927738892595805	0.7263533274511047	False
