artifact_id	check	status	detail	score_values_read
current_action_card	present_in_readme	PASS	scripts/v45_current_action_card.py	false
current_action_card	covered_by_drift_fixture	PASS	scripts/v45_current_action_card.py	false
current_action_card	score_values_read_false	PASS	scripts/v45_current_action_card.py	false
cold_start_operator_sequence	present_in_readme	PASS	scripts/v45_cold_start_operator_sequence.py	false
cold_start_operator_sequence	covered_by_drift_fixture	PASS	scripts/v45_cold_start_operator_sequence.py	false
cold_start_operator_sequence	score_values_read_false	PASS	scripts/v45_cold_start_operator_sequence.py	false
receipt_manifest_schema_linter	present_in_readme	PASS	scripts/v46_receipt_manifest_schema_linter.py	false
receipt_manifest_schema_linter	covered_by_drift_fixture	PASS	scripts/v46_receipt_manifest_schema_linter.py	false
receipt_manifest_schema_linter	score_values_read_false	PASS	scripts/v46_receipt_manifest_schema_linter.py	false
package_manifest_shape_classifier	present_in_readme	PASS	scripts/v46_package_manifest_shape_classifier.py	false
package_manifest_shape_classifier	covered_by_drift_fixture	PASS	scripts/v46_package_manifest_shape_classifier.py	false
package_manifest_shape_classifier	score_values_read_false	PASS	scripts/v46_package_manifest_shape_classifier.py	false
receipt_manifest_to_command_plan_handoff	present_in_readme	PASS	scripts/v46_receipt_manifest_to_command_plan_handoff.py	false
receipt_manifest_to_command_plan_handoff	covered_by_drift_fixture	PASS	scripts/v46_receipt_manifest_to_command_plan_handoff.py	false
receipt_manifest_to_command_plan_handoff	score_values_read_false	PASS	scripts/v46_receipt_manifest_to_command_plan_handoff.py	false
first30_decision_table	present_in_readme	PASS	scripts/v46_first30_returned_package_decision_table.py	false
first30_decision_table	covered_by_drift_fixture	PASS	scripts/v46_first30_returned_package_decision_table.py	false
first30_decision_table	score_values_read_false	PASS	scripts/v46_first30_returned_package_decision_table.py	false
first30_status_board	present_in_readme	PASS	scripts/v46_first30_returned_package_status_board_dryrun.py	false
first30_status_board	covered_by_drift_fixture	PASS	scripts/v46_first30_returned_package_status_board_dryrun.py	false
first30_status_board	score_values_read_false	PASS	scripts/v46_first30_returned_package_status_board_dryrun.py	false
status_board_schema_linter	present_in_readme	PASS	scripts/v46_returned_package_status_board_schema_linter.py	false
status_board_schema_linter	covered_by_drift_fixture	PASS	scripts/v46_returned_package_status_board_schema_linter.py	false
status_board_schema_linter	score_values_read_false	PASS	scripts/v46_returned_package_status_board_schema_linter.py	false
status_board_markdown_roundtrip_renderer	present_in_readme	PASS	scripts/v46_status_board_markdown_roundtrip_renderer.py	false
status_board_markdown_roundtrip_renderer	covered_by_drift_fixture	PASS	scripts/v46_status_board_markdown_roundtrip_renderer.py	false
status_board_markdown_roundtrip_renderer	score_values_read_false	PASS	scripts/v46_status_board_markdown_roundtrip_renderer.py	false
returned_package_preflight_dryrun	present_in_readme	PASS	scripts/v46_returned_package_preflight_dryrun.py	false
returned_package_preflight_dryrun	covered_by_drift_fixture	PASS	scripts/v46_returned_package_preflight_dryrun.py	false
returned_package_preflight_dryrun	score_values_read_false	PASS	scripts/v46_returned_package_preflight_dryrun.py	false
command_order_planner	present_in_readme	PASS	scripts/v46_returned_package_command_order_planner.py	false
command_order_planner	covered_by_drift_fixture	PASS	scripts/v46_returned_package_command_order_planner.py	false
command_order_planner	score_values_read_false	PASS	scripts/v46_returned_package_command_order_planner.py	false
state_transition_validator	present_in_readme	PASS	scripts/v46_returned_package_state_transition_validator.py	false
state_transition_validator	covered_by_drift_fixture	PASS	scripts/v46_returned_package_state_transition_validator.py	false
state_transition_validator	score_values_read_false	PASS	scripts/v46_returned_package_state_transition_validator.py	false
safe_interpretation_classifier	present_in_readme	PASS	scripts/v46_returned_package_safe_interpretation.py	false
safe_interpretation_classifier	covered_by_drift_fixture	PASS	scripts/v46_returned_package_safe_interpretation.py	false
safe_interpretation_classifier	score_values_read_false	PASS	scripts/v46_returned_package_safe_interpretation.py	false
small_n_language	present_in_readme	PASS	scripts/v46_small_n_conclusion_language_table.py	false
small_n_language	covered_by_drift_fixture	PASS	scripts/v46_small_n_conclusion_language_table.py	false
small_n_language	score_values_read_false	PASS	scripts/v46_small_n_conclusion_language_table.py	false
analyzable_pair_confidence_envelope	present_in_readme	PASS	scripts/v46_analyzable_pair_confidence_envelope.py	false
analyzable_pair_confidence_envelope	covered_by_drift_fixture	PASS	scripts/v46_analyzable_pair_confidence_envelope.py	false
analyzable_pair_confidence_envelope	score_values_read_false	PASS	scripts/v46_analyzable_pair_confidence_envelope.py	false
repair_request_templates	present_in_readme	PASS	scripts/v46_return_repair_request_templates.py	false
repair_request_templates	covered_by_drift_fixture	PASS	scripts/v46_return_repair_request_templates.py	false
