gene	raw_auc_delta_high_in_responders	auc_minus_delta_high_in_responders	oriented_auc	exact_p_oriented	mean_delta_responders	mean_delta_nonresponders	direction_in_responders	loo_min_oriented_auc	loo_max_oriented_auc
STAT1	0.0	1.0	1.0	0.015873015873015872	-0.13236242011189456	0.14648297801613808	downshift	1.0	1.0
IRF1	0.1	0.9	0.9	0.06349206349206349	-0.10509195774793625	0.33916962891817093	downshift	0.8666666666666667	1.0
GBP1	0.15	0.85	0.85	0.1111111111111111	-0.05272066928446294	0.1391293602064252	downshift	0.8	1.0
ISG15	0.15	0.85	0.85	0.1111111111111111	-0.13706112504005435	0.05809879396110772	downshift	0.8	1.0
CD74	0.2	0.8	0.8	0.19047619047619047	-0.25452966690063483	0.634476974606514	downshift	0.7333333333333334	1.0
CD44	0.25	0.75	0.75	0.2857142857142857	-0.05292032659053806	0.10835452005267143	downshift	0.6666666666666667	1.0
CXCL10	0.25	0.75	0.75	0.2857142857142857	-0.012130367849022158	0.005348662147298451	downshift	0.6666666666666667	0.8666666666666667
CXCR4	0.25	0.75	0.75	0.2857142857142857	-0.35275272727012635	0.23762410506606102	downshift	0.6666666666666667	0.8666666666666667
HLA-DPB1	0.3	0.7	0.7	0.4126984126984127	-0.31203316748142246	0.32334026135504246	downshift	0.6	0.8125
HLA-DQB1	0.3	0.7	0.7	0.4126984126984127	-0.2692241549491882	0.22329841926693916	downshift	0.6	0.8666666666666667
HLA-DRA	0.3	0.7	0.7	0.4126984126984127	-0.38011742234230045	0.509226206690073	downshift	0.6	0.8125
HLA-DPA1	0.35	0.65	0.65	0.5555555555555556	-0.2786878854036331	0.3592335321009159	downshift	0.5333333333333333	0.8
HLA-DQA1	0.35	0.65	0.65	0.5555555555555556	-0.2376027524471283	0.2437359280884266	downshift	0.5333333333333333	0.8
HLA-DRB1	0.4	0.6	0.6	0.7301587301587301	-0.3521472066640854	0.41256596520543093	downshift	0.5	0.7333333333333334
