source	query	count	top_hits	status	mode	url	raw_path
EuropePMC	PTPN22 R620W gain loss function autoimmune directionality	2	38915894: Based on systematic druggable genome-wide Mendelian randomization identifies therapeutic targets for diabetes. (2024) | 27807193: PTPN22 Is a Critical Regulator of Fcγ Receptor-Mediated Neutrophil Activation. (2016)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PTPN22+R620W+gain+loss+function+autoimmune+directionality&format=json&pageSize=5&resultType=lite	results_v3/wave49_ptpn22_directionality_audit/raw_api/europepmc_PTPN22_R620W_gain_loss_function_autoimmune_directionality.json
EuropePMC	PTPN22 inhibitor autoimmune disease rheumatoid lupus type 1 diabetes	454	41064203: Immune System-Related Genetic Risk Factors for Inhibitory Antibody Development in Patients With Hemophilia: Reviewing an Old Problem From a New Perspective-A Narrative Review. (2025) | 41703739: Neutrophil extracellular traps in rheumatoid arthritis: biomarkers, drivers, and emerging therapeutic targets. (2026) | 41208109: Type I interferon production in myeloid cells is regulated by factors independent of Ptpn22. (2025) | 40839671: Integrative molecular network analysis of genetic risk factors to infer biomarkers and therapeutic targets for rheumatoid arthritis. (2025) | 39944077: Protein phosphatases in systemic autoimmunity. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PTPN22+inhibitor+autoimmune+disease+rheumatoid+lupus+type+1+diabetes&format=json&pageSize=5&resultType=lite	results_v3/wave49_ptpn22_directionality_audit/raw_api/europepmc_PTPN22_inhibitor_autoimmune_disease_rheumatoid_lupus_type_1_diabetes.json
EuropePMC	PTPN22 multiple sclerosis genetics immune cells	658	41757875: Clinical, serological, and targeted genetic analysis of systemic lupus erythematosus in Kazakhstan. (2026) | 41136183: First genome-wide association study reveals immune-mediated aetiopathology in idiopathic achalasia. (2025) | 41283471: Systemic Sclerosis in Kazakh Patients: A Preliminary Case-Control Immunogenetic Profiling Study. (2025) | 39796280: Whole-Exome Sequencing: Discovering Genetic Causes of Granulomatous Mastitis. (2025) | 40839671: Integrative molecular network analysis of genetic risk factors to infer biomarkers and therapeutic targets for rheumatoid arthritis. (2025)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PTPN22+multiple+sclerosis+genetics+immune+cells&format=json&pageSize=5&resultType=lite	results_v3/wave49_ptpn22_directionality_audit/raw_api/europepmc_PTPN22_multiple_sclerosis_genetics_immune_cells.json
EuropePMC	PTPN22 inhibitor selectivity phosphatase autoimmune	131	41585704: Targeting PTPN22 at Nonorthosteric Binding SitesA Fragment Approach. (2026) | 41454526: Discovery of a First-in-Class Covalent Allosteric SHP1 Inhibitor with Immunotherapeutic Activity. (2026) | 41465179: Insights into the Genetic and Epigenetic Landscape of Endocrine Autoimmunity: A Systematic Review. (2025) | 39693863: Structure-activity relationship studies and design of a PTPN22 inhibitor with enhanced isozyme selectivity and cellular efficacy. (2025) | 39461876: Dendritic cell-intrinsic PTPN22 negatively regulates antitumor immunity and impacts anti-PD-L1 efficacy. (2024)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PTPN22+inhibitor+selectivity+phosphatase+autoimmune&format=json&pageSize=5&resultType=lite	results_v3/wave49_ptpn22_directionality_audit/raw_api/europepmc_PTPN22_inhibitor_selectivity_phosphatase_autoimmune.json
ClinicalTrials.gov	PTPN22 autoimmune	5	NCT01276743: Study of PTPN22 C1858T Polymorphism in Children and Adolescents of Greek Origin With T1DM [; COMPLETED] | NCT07510750: rT3 and Inflammation in Hashimoto's Thyroiditis [; COMPLETED] | NCT04139369: Methylation of DNA in Children and Adolescents With Type 1 Diabetes Mellitus (METHYLDIAB) [; COMPLETED] | NCT00958113: Autoimmune Thyroid Disease Genetic Study [; COMPLETED] | NCT03988764: Monogenic Diabetes Misdiagnosed as Type 1 [; RECRUITING]	200	live	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN22+autoimmune&pageSize=5	results_v3/wave49_ptpn22_directionality_audit/raw_api/clinicaltrials_PTPN22_autoimmune.json
ClinicalTrials.gov	PTPN22 inhibitor	0		200	live	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN22+inhibitor&pageSize=5	results_v3/wave49_ptpn22_directionality_audit/raw_api/clinicaltrials_PTPN22_inhibitor.json
