cohort_family	n_rows_collapsed	median_hedges_g	median_auc	direction
GSE85034_MTX	1	-1.0918551066536035	0.1	negative
GSE85034_ADA	1	0.0719447565184434	0.5555555555555556	near_null
GSE253006_TOF	6	1.0515393143197533	0.775	positive
