analysis	dataset_path	disease_name	compartment	donor_id	disease	group	module	n_cells	mean_score	high_fraction	cell_types
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	ifn_apc	81	0.8298671940947998	0.5308641975308642	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	hla_ii_apc	81	0.0831594940745975	0.35802469135802467	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	lysosomal_apc	81	0.20264520821540036	0.345679012345679	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	mif_cd74_receptor_state	81	0.16806972501720427	0.37037037037037035	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	mixscale_validated_ifng_readout	81	0.7078549528393315	0.5185185185185185	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	lipid_loader_repair	81	-0.00810220639623059	0.25925925925925924	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	complement_phagocytosis	81	-0.411162760151742	0.037037037037037035	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	hif_nampt_metabolic	81	0.6256955167285362	0.6172839506172839	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	inflammatory_nfkb	81	0.5452014953681757	0.5061728395061729	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	ifn_apc	38	0.6912462662631276	0.6842105263157895	myeloid cell
