gate	n_pass	n_candidates
progression_specific_association_pass	0	9
pathogenic_direction_resolved	0	9
causal_node_specificity_pass	0	9
selective_perturbation_pass	0	9
collateral_guardrails_pass	0	9
modality_fit_pass	0	9
alphafold_context_eligible	0	9
target_revisit	0	9
